cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials
5.0,100.0,2,500.0,26.0,1,1,500.0,2,4,5.76088706126,3.97645322712,7.0,2.0,10.0,25.0
5.0,100.0,1,500.0,26.0,0,1,500.0,1,14,-1.67520965001,-6.79659272198,7.0,2.0,10.0,25.0
5.0,50.0,2,500.0,26.0,0,0,500.0,1,24,-3.25306220431,6.19819217957,7.0,2.0,10.0,25.0
5.0,50.0,1,500.0,26.0,0,-1,500.0,1,4,5.76088706126,3.97645322712,7.0,2.0,10.0,25.0
5.0,100.0,1,500.0,26.0,0,0,500.0,2,15,-3.25306220431,-6.19819217957,7.0,2.0,10.0,25.0
5.0,50.0,2,500.0,26.0,0,0,500.0,1,16,-4.64185860769,-5.2395752372,7.0,2.0,10.0,25.0
5.0,0.0,1,500.0,26.0,0,0,500.0,2,14,-1.67520965001,-6.79659272198,7.0,2.0,10.0,25.0
5.0,50.0,2,500.0,26.0,0,0,500.0,1,8,6.5451136988,-2.4822342093,7.0,2.0,10.0,25.0
5.0,100.0,2,500.0,26.0,0,0,500.0,1,8,6.5451136988,-2.4822342093,7.0,2.0,10.0,25.0
5.0,50.0,1,500.0,26.0,0,2,500.0,1,2,3.25306220431,6.19819217957,7.0,2.0,10.0,25.0
