cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,245.0,22.0,1,1,94.0,2,15,-4.82104957538,-2.20169956891,5.3,3.0,5.0,500.0,3.75
3.1,0.0,1,245.0,22.0,2,2,94.0,1,16,-5.24605364197,-0.754268642848,5.3,3.0,5.0,500.0,3.75
3.1,0.0,1,245.0,22.0,-1,-1,94.0,1,2,2.86539633251,4.45864372401,5.3,3.0,5.0,500.0,3.75
3.1,0.0,2,245.0,22.0,0,0,94.0,1,14,-4.00547274408,-3.47076188991,5.3,3.0,5.0,500.0,3.75
3.1,0.0,2,245.0,22.0,2,1,94.0,1,21,-1.49318255126,5.08531276016,5.3,3.0,5.0,500.0,3.75
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,1000.0,22.0,0,0.199063062668,0,194.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,100.0,3.75
3.1,0.0,1,1000.0,22.0,2,0.199140071869,2,194.0,1,13,-2.86539633251,-4.45864372401,5.3,3.0,5.0,100.0,3.75
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,500.0,20.0,-1,0.199000120163,0,194.0,2,10,6.49062803548e-16,-5.3,5.3,3.0,5.0,100.0,3.75
3.1,0.0,1,500.0,20.0,-1,0.198872089386,0,194.0,2,2,3.11526183715,4.28779007019,5.3,3.0,5.0,100.0,3.75
3.1,0.0,2,500.0,20.0,-1,0.198754072189,-2,194.0,1,15,-5.3,-9.73594205322e-16,5.3,3.0,5.0,100.0,3.75
3.1,0.0,1,500.0,20.0,0,0.199273109436,1,194.0,1,19,-1.63779007019,5.04059953636,5.3,3.0,5.0,100.0,3.75
3.1,0.0,2,500.0,20.0,-2,0.199004173279,1,194.0,1,17,-4.28779007019,3.11526183715,5.3,3.0,5.0,100.0,3.75
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,400.0,20.0,-1,0.150074005127,1,144.0,2,12,-3.11526183715,-4.28779007019,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,0,0.150128126144,0,144.0,1,0,0.0,5.3,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,2,0.150158882141,1,144.0,2,11,-1.63779007019,-5.04059953636,5.3,3.0,5.0,4.0,3.75
3.1,0.0,1,400.0,20.0,1,0.150082826614,2,144.0,2,11,-1.63779007019,-5.04059953636,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,2,0.150140047073,1,144.0,1,0,0.0,5.3,5.3,3.0,5.0,4.0,3.75
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,400.0,20.0,0,0.150107145309,2,144.0,1,7,4.28779007019,-3.11526183715,5.3,3.0,5.0,4.0,3.75
3.1,0.0,1,400.0,20.0,0,0.150190114975,0,144.0,1,14,-5.04059953636,-1.63779007019,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,-1,0.150146961212,-1,144.0,2,9,1.63779007019,-5.04059953636,5.3,3.0,5.0,4.0,3.75
3.1,0.0,1,400.0,20.0,1,0.150171995163,0,144.0,2,12,-3.11526183715,-4.28779007019,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,-1,0.150219917297,0,144.0,1,3,4.28779007019,3.11526183715,5.3,3.0,5.0,4.0,3.75
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,400.0,20.0,-1,0.100122928619,0,94.0,2,10,6.49041367526e-16,-5.3,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,0,0.100015163422,2,94.0,1,3,4.28779007019,3.11526183715,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,0,0.100115060806,2,94.0,1,0,0.0,5.3,5.3,3.0,5.0,4.0,3.75
3.1,0.0,2,400.0,20.0,1,0.100089073181,-2,94.0,1,14,-5.04059953636,-1.63779007019,5.3,3.0,5.0,4.0,3.75
3.1,0.0,1,400.0,20.0,1,0.100081920624,-1,94.0,2,17,-4.28779007019,3.11526183715,5.3,3.0,5.0,4.0,3.75
