cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,400.0,22.0,0,0.0970578193665,1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0970408916473,-1,94.0,1,2,2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970690250397,2,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0970289707184,2,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0970389842987,0,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0972101688385,2,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0972130298615,-2,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.0972089767456,-2,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0972077846527,1,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970120429993,0,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.097067117691,2,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.0970089435577,2,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0971400737762,-2,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0971989631653,-1,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.097235918045,-2,94.0,2,4,4.82104957538,2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.097011089325,0,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0971429347992,-2,94.0,1,15,-4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.097195148468,0,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.097177028656,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.097186088562,1,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0971920490265,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.0971779823303,2,94.0,2,15,-4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.0971820354462,-2,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0970430374146,1,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970129966736,0,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0971708297729,-1,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.0970320701599,1,94.0,1,20,-2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0971760749817,0,94.0,2,0,0.0,5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.097042798996,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.097177028656,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.0970280170441,-2,94.0,2,3,4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0971751213074,-1,94.0,2,15,-4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970289707184,-2,94.0,2,11,6.49041367526e-16,-5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0971689224243,2,94.0,1,0,0.0,5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0970449447632,-2,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0970301628113,0,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.0970380306244,2,94.0,2,0,0.0,5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0971760749817,-1,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0970799922943,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.0972099304199,-1,94.0,2,13,-2.86539633251,-4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.0972211360931,-1,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0971939563751,0,94.0,1,1,1.49318255126,5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970301628113,1,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0970230102539,-2,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0970718860626,-1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0972049236298,1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0970411300659,2,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0972092151642,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0972189903259,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0972120761871,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0971930027008,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
