cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,1,400.0,22.0,0,-1,0.0971829891205,2,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0970277786255,1,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0971839427948,2,94.0,2,16,-5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,2,0.0970590114594,-1,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0971789360046,2,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,-1,0.0970389842987,-2,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,-1,0.0972890853882,-2,94.0,2,21,-1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,1,0.097207069397,1,94.0,2,15,-4.82104957538,-2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-2,0.0971841812134,-2,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,-1,0.0971748828888,1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,2,0.0972118377686,0,94.0,2,4,4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0970709323883,-2,94.0,1,10,1.49318255126,-5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-1,0.0972349643707,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0970048904419,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,2,0.0969989299774,-2,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-2,0.0970010757446,2,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0971570014954,-1,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-1,0.0972089767456,2,94.0,2,3,4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0972030162811,-2,94.0,1,0,0.0,5.3,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-2,0.0971851348877,0,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0973410606384,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0970318317413,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,2,0.0970358848572,0,94.0,1,2,2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-2,0.0971708297729,0,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0970289707184,-2,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0970349311829,-1,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0971710681915,1,94.0,1,15,-4.82104957538,-2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0970358848572,2,94.0,2,13,-2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0971808433533,-1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-1,0.0970010757446,2,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,-1,0.0972518920898,0,94.0,2,2,2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-1,0.0970191955566,-2,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0970060825348,-2,94.0,1,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0971829891205,-1,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,1,0.0971720218658,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,-2,0.0970051288605,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0972089767456,-1,94.0,2,0,0.0,5.3,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0971930027008,1,94.0,2,16,-5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0971970558167,0,94.0,2,14,-4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0971899032593,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0972099304199,0,94.0,2,4,4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-1,0.0971930027008,-1,94.0,1,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,-2,0.0971648693085,-2,94.0,1,4,4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,2,0.0970280170441,-1,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0971629619598,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,1,0.0972149372101,1,94.0,2,21,-1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,2,0.0970249176025,2,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,2,400.0,22.0,0,0,0.0971789360046,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,300.0
3.1,0.0,1,400.0,22.0,0,0,0.0970718860626,0,94.0,1,20,-2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,300.0
