cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,400.0,22.0,0,0.097177028656,0,94.0,1,16,-5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.0971801280975,-1,94.0,2,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,1,0.0971219539642,-2,94.0,1,21,-1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0971689224243,1,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,1,0.0971689224243,1,94.0,1,3,4.00547274408,3.47076188991,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.0971789360046,-1,94.0,2,21,-1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0970680713654,-2,94.0,1,20,-2.86539633251,4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-2,0.0971438884735,0,94.0,2,21,-1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,2,0.0971741676331,2,94.0,1,15,-4.82104957538,-2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-2,0.0971729755402,-2,94.0,2,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.0971939563751,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-2,0.0971720218658,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,1,0.097179889679,-1,94.0,1,4,4.82104957538,2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,2,0.0971710681915,2,94.0,1,2,2.86539633251,4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-2,0.0971779823303,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-1,0.0971739292145,0,94.0,1,0,0.0,5.3,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0971648693085,0,94.0,1,3,4.00547274408,3.47076188991,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,1,0.0971879959106,-2,94.0,2,19,-4.00547274408,3.47076188991,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,1,0.0970661640167,-1,94.0,1,4,4.82104957538,2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0971801280975,0,94.0,1,0,0.0,5.3,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,2,0.097048997879,2,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0971817970276,-2,94.0,2,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-1,0.0970652103424,-1,94.0,2,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-1,0.097177028656,0,94.0,2,1,1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.09716796875,0,94.0,2,5,5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-1,0.0971789360046,1,94.0,2,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0971820354462,-1,94.0,1,5,5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0971779823303,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-1,0.0970358848572,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,2,0.0970509052277,-1,94.0,1,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,1,0.0970661640167,-2,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0971879959106,-2,94.0,2,14,-4.00547274408,-3.47076188991,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0970799922943,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,-2,0.0971720218658,-2,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.0971868038177,-1,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.0971829891205,0,94.0,1,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0971779823303,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,0,0.0971791744232,0,94.0,1,16,-5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,2,0.0971767902374,1,94.0,1,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-1,0.097244977951,-2,94.0,2,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,0,0.0970351696014,2,94.0,1,17,-5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,3.75
3.1,0.0,1,400.0,22.0,2,0.09716796875,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,3.0,5.0,400.0,3.75
3.1,0.0,2,400.0,22.0,-2,0.0971570014954,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,3.75
