offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,11,13,5.3,400.0,400.0,10.0,-2,100.0,"[6, 8, 2, 0, 1, 2, 1, 4, 3, 6, 2, 4, 0, 5, 2, 4, 6, 3, 0, 7, 9, 6, 4, 0, 3]",0.11114883422851562,-1,1,22.0,2,"[3, 7, 5, 4, 9, 7, 9, 8, 6, 9, 1, 7, 8, 3, 9, 2, 9, 5, 1, 8, 8, 7, 5, 1, 2]",1,0,3.1,2,6.490628035480972e-16,-5.3,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,"[4, 2, 0, 9, 1, 0, 2, 7, 8, 3, 0, 4, 9, 5, 0, 8, 3, 9, 4, 9, 4, 2, 8, 5, 7]",0.11197710037231445,-1,1,22.0,2,"[7, 3, 6, 8, 5, 6, 1, 9, 5, 4, 2, 6, 1, 7, 4, 2, 6, 1, 3, 0, 3, 6, 0, 1, 9]",2,0,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,0,2,5.3,400.0,400.0,10.0,0,100.0,"[5, 4, 9, 8, 1, 5, 1, 0, 3, 9, 1, 8, 0, 3, 7, 2, 1, 4, 6, 0, 3, 7, 6, 3, 2]",0.11248302459716797,-1,1,22.0,2,"[2, 1, 6, 7, 9, 7, 6, 2, 4, 8, 2, 6, 9, 5, 4, 8, 7, 5, 9, 3, 0, 8, 4, 5, 0]",1,0,3.1,2,0.0,5.3,0.0
0,9,11,5.3,400.0,400.0,10.0,0,100.0,"[5, 0, 8, 4, 6, 7, 4, 3, 7, 0, 1, 2, 5, 4, 8, 3, 0, 5, 7, 4, 0, 9, 8, 3, 7]",0.11104702949523926,-1,1,22.0,1,"[3, 7, 9, 2, 1, 5, 0, 9, 6, 4, 8, 5, 6, 1, 2, 2, 8, 1, 6, 9, 4, 2, 5, 1, 6]",2,0,3.1,-2,2.8653963325146665,-4.4586437240052605,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,"[3, 5, 6, 8, 0, 1, 2, 9, 3, 4, 9, 1, 5, 7, 3, 0, 5, 6, 9, 1, 2, 6, 9, 0, 7]",0.1126251220703125,-1,1,22.0,1,"[4, 2, 7, 9, 1, 7, 8, 5, 0, 6, 4, 8, 6, 9, 2, 4, 3, 8, 7, 4, 1, 4, 5, 3, 8]",1,0,3.1,-2,-2.865396332514667,-4.4586437240052605,0.0
0,1,3,5.3,400.0,400.0,10.0,0,100.0,"[9, 3, 2, 8, 7, 3, 1, 7, 5, 0, 5, 7, 9, 8, 6, 4, 5, 0, 6, 9, 3, 4, 2, 0, 7]",0.11155915260314941,-1,1,22.0,2,"[5, 0, 6, 1, 3, 8, 9, 2, 6, 4, 1, 4, 3, 0, 2, 2, 3, 7, 8, 1, 8, 7, 4, 5, 1]",2,0,3.1,2,1.493182551259577,5.085312760156836,0.0
0,21,1,5.3,400.0,400.0,10.0,-1,100.0,"[1, 4, 1, 6, 7, 1, 4, 9, 8, 7, 2, 5, 4, 8, 0, 5, 6, 7, 0, 0, 2, 6, 1, 9, 2]",0.11248493194580078,-1,1,22.0,2,"[8, 9, 9, 4, 0, 0, 5, 3, 2, 6, 7, 9, 3, 6, 1, 2, 1, 9, 3, 3, 7, 5, 0, 3, 6]",1,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,16,18,5.3,400.0,400.0,10.0,2,100.0,"[0, 5, 6, 1, 8, 9, 8, 3, 4, 6, 4, 3, 1, 0, 8, 0, 7, 5, 1, 9, 9, 2, 5, 7, 0]",0.11156511306762695,-1,1,22.0,2,"[3, 2, 4, 9, 7, 7, 0, 2, 1, 5, 7, 9, 8, 5, 6, 2, 4, 9, 3, 6, 1, 3, 8, 6, 4]",1,0,3.1,2,-5.246053641968943,-0.7542686428484117,0.0
0,11,13,5.3,400.0,400.0,10.0,-1,100.0,"[1, 5, 2, 3, 6, 4, 0, 2, 5, 2, 7, 4, 0, 8, 9, 2, 8, 7, 0, 5, 6, 5, 7, 0, 8]",0.11083817481994629,-1,1,22.0,1,"[0, 8, 7, 9, 4, 9, 8, 3, 6, 5, 9, 3, 1, 6, 7, 4, 3, 1, 9, 6, 9, 3, 1, 2, 4]",2,0,3.1,-1,6.490628035480972e-16,-5.3,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[6, 2, 7, 1, 9, 4, 8, 1, 8, 0, 9, 6, 1, 8, 3, 8, 1, 2, 0, 3, 4, 8, 6, 1, 5]",0.11240601539611816,-1,1,22.0,1,"[3, 0, 0, 3, 2, 6, 5, 6, 3, 2, 0, 4, 7, 5, 2, 5, 6, 4, 7, 9, 0, 3, 2, 9, 7]",2,0,3.1,0,4.821049575378947,2.201699568909998,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[1, 4, 0, 1, 5, 7, 9, 6, 2, 0, 3, 0, 6, 5, 7, 5, 1, 0, 4, 5, 3, 9, 6, 5, 1]",0.11184811592102051,-1,1,22.0,1,"[7, 0, 8, 2, 3, 8, 5, 1, 4, 3, 2, 1, 8, 4, 9, 9, 3, 2, 6, 6, 8, 2, 0, 7, 9]",2,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,11,13,5.3,400.0,400.0,10.0,-2,100.0,"[1, 7, 2, 6, 8, 1, 7, 8, 9, 8, 4, 2, 5, 3, 0, 8, 7, 9, 3, 6, 3, 5, 4, 2, 1]",0.1108248233795166,-1,1,22.0,1,"[9, 5, 4, 0, 3, 5, 0, 6, 2, 9, 1, 6, 7, 0, 3, 2, 5, 1, 0, 4, 9, 0, 8, 6, 7]",2,0,3.1,0,6.490628035480972e-16,-5.3,0.0
0,6,8,5.3,400.0,400.0,10.0,1,100.0,"[9, 2, 6, 4, 7, 4, 6, 9, 3, 3, 9, 4, 2, 7, 0, 4, 6, 7, 3, 2, 7, 1, 8, 4, 3]",0.1115870475769043,-1,1,22.0,1,"[7, 8, 1, 0, 0, 8, 2, 5, 1, 1, 3, 1, 8, 5, 6, 8, 9, 1, 0, 5, 6, 2, 5, 0, 9]",2,0,3.1,0,5.246053641968944,-0.7542686428484106,0.0
