offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,11,13,5.3,400.0,400.0,10.0,-1,100.0,"[0, 5, 6, 8, 3, 9, 6, 2, 5, 6, 8, 3, 4, 9, 6, 5, 3, 4, 9, 6, 2, 8, 6, 4, 9]",0.11161017417907715,6,0,22.0,2,"[4, 1, 9, 7, 2, 0, 4, 3, 7, 1, 0, 7, 2, 5, 2, 8, 7, 2, 1, 0, 3, 0, 1, 7, 5]",2,-9,3.1,-2,6.490628035480972e-16,-5.3,0.0
0,20,0,5.3,400.0,400.0,10.0,0,100.0,"[3, 3, 0, 5, 1, 0, 7, 2, 4, 8, 6, 1, 2, 9, 8, 7, 0, 5, 5, 4, 0, 2, 9, 7, 2]",0.11256814002990723,6,0,22.0,1,"[8, 4, 8, 7, 2, 3, 5, 1, 9, 6, 0, 4, 7, 5, 3, 6, 2, 3, 1, 9, 7, 6, 1, 4, 3]",1,-9,3.1,-2,-2.8653963325146705,4.458643724005258,0.0
0,18,20,5.3,400.0,400.0,10.0,2,100.0,"[9, 0, 2, 8, 3, 5, 2, 3, 6, 4, 3, 4, 0, 2, 8, 6, 0, 3, 6, 5, 1, 0, 5, 2, 1]",0.11105179786682129,6,0,22.0,1,"[1, 4, 6, 5, 7, 0, 1, 8, 7, 9, 6, 1, 5, 9, 7, 0, 9, 2, 4, 7, 8, 9, 3, 7, 4]",2,-9,3.1,-1,-4.821049575378947,2.20169956891,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[0, 1, 8, 3, 0, 2, 7, 2, 6, 8, 1, 6, 7, 4, 5, 5, 8, 3, 0, 6, 3, 4, 6, 9, 2]",0.11220693588256836,6,0,22.0,1,"[3, 4, 6, 5, 7, 9, 0, 5, 9, 3, 3, 9, 2, 8, 0, 9, 7, 1, 2, 4, 1, 7, 5, 0, 8]",1,-9,3.1,2,4.005472744077569,3.470761889910011,0.0
0,19,21,5.3,400.0,400.0,10.0,-2,100.0,"[7, 8, 4, 9, 1, 7, 5, 0, 1, 3, 7, 5, 6, 2, 1, 7, 8, 0, 5, 6, 7, 8, 0, 9, 4]",0.11095905303955078,6,0,22.0,1,"[6, 3, 2, 5, 0, 8, 2, 9, 6, 4, 9, 0, 8, 3, 4, 3, 6, 2, 9, 4, 1, 3, 5, 1, 6]",2,-9,3.1,-2,-4.005472744077568,3.470761889910012,0.0
0,15,17,5.3,400.0,400.0,10.0,-2,100.0,"[8, 4, 9, 3, 7, 6, 9, 4, 3, 5, 7, 5, 8, 7, 1, 8, 5, 0, 8, 7, 3, 9, 4, 8, 2]",0.11267709732055664,6,0,22.0,1,"[5, 6, 0, 1, 2, 0, 1, 8, 2, 7, 6, 1, 9, 3, 2, 6, 9, 4, 2, 9, 7, 1, 0, 6, 5]",2,-9,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,"[0, 7, 1, 5, 6, 8, 1, 6, 3, 2, 7, 0, 4, 9, 6, 5, 3, 6, 8, 0, 6, 7, 5, 2, 1]",0.11263918876647949,6,0,22.0,1,"[9, 3, 2, 4, 8, 4, 5, 0, 9, 7, 3, 2, 8, 5, 1, 2, 9, 1, 7, 4, 9, 0, 3, 8, 4]",2,-9,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,13,15,5.3,400.0,400.0,10.0,2,100.0,"[3, 0, 1, 6, 8, 4, 2, 1, 5, 9, 7, 9, 8, 1, 3, 2, 2, 3, 7, 1, 4, 7, 2, 3, 6]",0.11097097396850586,6,0,22.0,2,"[9, 4, 5, 2, 7, 3, 8, 7, 0, 6, 5, 0, 4, 5, 6, 7, 6, 0, 8, 4, 5, 9, 1, 0, 8]",1,-9,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,2,4,5.3,400.0,400.0,10.0,2,100.0,"[3, 4, 8, 5, 6, 5, 2, 0, 4, 3, 6, 2, 1, 0, 5, 7, 3, 0, 1, 9, 3, 2, 9, 0, 1]",0.11224007606506348,6,0,22.0,1,"[9, 1, 0, 2, 7, 8, 1, 9, 7, 6, 4, 3, 8, 9, 7, 2, 8, 5, 4, 6, 5, 4, 7, 8, 6]",2,-9,3.1,-2,2.865396332514667,4.4586437240052605,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[7, 1, 3, 5, 1, 9, 8, 4, 0, 6, 0, 1, 3, 6, 2, 7, 3, 9, 2, 6, 0, 2, 5, 4, 8]",0.11102890968322754,6,0,22.0,2,"[9, 5, 6, 7, 2, 0, 4, 7, 8, 2, 4, 8, 5, 7, 9, 5, 1, 0, 4, 8, 1, 9, 3, 6, 7]",1,-9,3.1,1,4.821049575378947,2.201699568909998,0.0
