offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,17,19,5.3,400.0,400.0,10.0,-1,100.0,"[6, 7, 5, 3, 4, 5, 0, 4, 3, 2, 5, 9, 3, 8, 6, 1, 9, 4, 2, 3, 8, 6, 1, 2, 4]",0.11089515686035156,5,0,22.0,1,"[1, 9, 8, 2, 0, 7, 8, 9, 1, 6, 0, 7, 4, 2, 1, 7, 5, 8, 6, 0, 9, 7, 3, 0, 5]",2,-10.5,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,2,4,5.3,400.0,400.0,10.0,-2,100.0,"[5, 9, 0, 1, 6, 4, 1, 9, 2, 3, 7, 9, 4, 0, 1, 5, 6, 0, 9, 1, 1, 7, 6, 5, 2]",0.11155915260314941,5,0,22.0,2,"[4, 2, 7, 3, 8, 8, 6, 5, 7, 0, 5, 6, 3, 2, 8, 2, 8, 4, 7, 3, 9, 0, 8, 4, 3]",1,-10.5,3.1,-2,2.865396332514667,4.4586437240052605,0.0
0,1,3,5.3,400.0,400.0,10.0,-2,100.0,"[5, 3, 4, 2, 8, 4, 8, 0, 2, 7, 5, 7, 1, 8, 9, 2, 6, 0, 5, 8, 6, 7, 8, 2, 4]",0.1122288703918457,5,0,22.0,2,"[1, 9, 0, 6, 7, 6, 5, 9, 3, 1, 6, 0, 4, 3, 2, 7, 9, 3, 1, 4, 0, 8, 1, 7, 3]",2,-10.5,3.1,2,1.493182551259577,5.085312760156836,0.0
0,21,1,5.3,400.0,400.0,10.0,-2,100.0,"[7, 8, 3, 2, 1, 2, 9, 0, 7, 1, 5, 3, 9, 2, 7, 2, 8, 3, 9, 0, 6, 3, 2, 3, 9]",0.11092901229858398,5,0,22.0,1,"[5, 2, 8, 5, 4, 4, 3, 8, 6, 5, 4, 6, 0, 1, 8, 7, 1, 6, 0, 9, 4, 1, 0, 5, 1]",1,-10.5,3.1,1,-1.4931825512595778,5.085312760156836,0.0
0,11,13,5.3,400.0,400.0,10.0,1,100.0,"[8, 6, 3, 2, 7, 4, 7, 9, 8, 1, 6, 7, 3, 9, 3, 0, 4, 8, 7, 3, 4, 7, 8, 9, 6]",0.11234378814697266,5,0,22.0,1,"[0, 1, 9, 4, 5, 0, 1, 5, 3, 8, 5, 4, 2, 0, 8, 6, 1, 9, 5, 2, 2, 1, 0, 3, 5]",2,-10.5,3.1,-1,6.490628035480972e-16,-5.3,0.0
0,3,5,5.3,400.0,400.0,10.0,2,100.0,"[5, 2, 3, 1, 0, 4, 2, 9, 1, 0, 0, 4, 5, 3, 1, 5, 1, 4, 0, 6, 9, 7, 8, 4, 1]",0.11242008209228516,5,0,22.0,1,"[3, 6, 7, 9, 8, 5, 3, 7, 4, 6, 6, 9, 7, 8, 2, 9, 2, 7, 8, 3, 0, 6, 2, 5, 3]",2,-10.5,3.1,1,4.005472744077569,3.470761889910011,0.0
0,12,14,5.3,400.0,400.0,10.0,-2,100.0,"[0, 5, 3, 1, 8, 7, 8, 3, 5, 1, 0, 5, 7, 6, 8, 4, 9, 7, 5, 0, 9, 2, 0, 3, 1]",0.11261105537414551,5,0,22.0,1,"[9, 4, 2, 6, 7, 2, 6, 4, 9, 0, 3, 4, 2, 9, 1, 1, 3, 6, 2, 8, 8, 5, 7, 6, 4]",1,-10.5,3.1,-1,-1.4931825512595758,-5.085312760156836,0.0
0,18,20,5.3,400.0,400.0,10.0,-2,100.0,"[0, 7, 8, 6, 3, 7, 8, 0, 9, 1, 7, 9, 5, 4, 6, 0, 3, 1, 8, 9, 2, 6, 3, 0, 8]",0.11094284057617188,5,0,22.0,2,"[2, 1, 5, 9, 4, 4, 2, 3, 5, 6, 3, 0, 8, 1, 2, 3, 5, 7, 6, 4, 0, 9, 4, 1, 5]",1,-10.5,3.1,-2,-4.821049575378947,2.20169956891,0.0
0,2,4,5.3,400.0,400.0,10.0,0,100.0,"[7, 8, 5, 0, 6, 9, 3, 1, 2, 7, 9, 6, 8, 5, 3, 0, 6, 5, 9, 4, 4, 8, 9, 3, 1]",0.11150908470153809,5,0,22.0,1,"[2, 3, 9, 4, 1, 8, 4, 0, 5, 6, 4, 1, 7, 0, 2, 7, 2, 1, 8, 3, 2, 6, 5, 0, 7]",1,-10.5,3.1,1,2.865396332514667,4.4586437240052605,0.0
0,4,6,5.3,400.0,400.0,10.0,1,100.0,"[7, 3, 5, 4, 7, 0, 1, 7, 1, 8, 6, 3, 7, 1, 2, 3, 4, 6, 8, 9, 5, 6, 8, 9, 1]",0.11092901229858398,5,0,22.0,1,"[1, 5, 9, 3, 2, 6, 8, 0, 2, 3, 4, 9, 5, 8, 0, 2, 7, 1, 0, 5, 3, 0, 4, 2, 7]",2,-10.5,3.1,1,4.821049575378947,2.201699568909998,0.0
