offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,10,12,5.3,400.0,400.0,10.0,-1,100.0,"[7, 5, 4, 9, 6, 6, 4, 2, 7, 6, 4, 8, 5, 5, 0, 7, 0, 6, 5, 4, 9, 1, 5, 6, 4]",0.11222195625305176,13,1,22.0,2,"[1, 3, 2, 8, 0, 9, 1, 8, 1, 3, 9, 0, 2, 8, 3, 3, 9, 1, 8, 2, 8, 7, 0, 2, 3]",1,0,3.1,0,1.4931825512595793,-5.085312760156835,0.0
0,4,6,5.3,400.0,400.0,10.0,-2,100.0,"[5, 6, 5, 9, 1, 0, 8, 5, 6, 3, 8, 3, 0, 5, 9, 8, 3, 6, 4, 7, 7, 0, 1, 9, 5]",0.11153984069824219,13,1,22.0,2,"[7, 0, 7, 4, 3, 2, 6, 7, 9, 8, 1, 2, 4, 7, 6, 2, 5, 9, 1, 0, 3, 8, 4, 6, 2]",2,0,3.1,-1,4.821049575378947,2.201699568909998,0.0
0,20,0,5.3,400.0,400.0,10.0,-1,100.0,"[5, 1, 3, 2, 4, 5, 4, 6, 3, 8, 0, 7, 9, 2, 4, 6, 7, 1, 1, 0, 9, 8, 8, 4, 3]",0.11207389831542969,13,1,22.0,1,"[3, 7, 5, 0, 9, 0, 2, 7, 9, 1, 3, 5, 6, 1, 8, 5, 3, 9, 7, 6, 2, 4, 1, 5, 9]",2,0,3.1,0,-2.8653963325146705,4.458643724005258,0.0
0,20,0,5.3,400.0,400.0,10.0,2,100.0,"[9, 6, 2, 4, 8, 2, 8, 3, 9, 6, 1, 5, 8, 9, 6, 5, 8, 4, 8, 6, 4, 1, 2, 1, 9]",0.11262702941894531,13,1,22.0,2,"[7, 3, 1, 5, 9, 7, 5, 0, 4, 1, 0, 3, 2, 7, 4, 6, 1, 0, 5, 0, 2, 3, 7, 6, 3]",1,0,3.1,-1,-2.8653963325146705,4.458643724005258,0.0
0,9,11,5.3,400.0,400.0,10.0,-1,100.0,"[1, 2, 4, 9, 8, 0, 8, 2, 5, 4, 7, 3, 4, 6, 2, 4, 7, 1, 3, 8, 1, 8, 6, 5, 9]",0.11102104187011719,13,1,22.0,2,"[6, 0, 7, 5, 3, 6, 7, 1, 9, 6, 0, 8, 5, 8, 0, 0, 2, 5, 9, 6, 3, 4, 7, 2, 0]",1,0,3.1,-1,2.8653963325146665,-4.4586437240052605,0.0
0,8,10,5.3,400.0,400.0,10.0,0,100.0,"[2, 6, 8, 9, 7, 7, 7, 3, 6, 4, 0, 7, 6, 2, 8, 6, 1, 3, 8, 7, 4, 1, 0, 6, 7]",0.11223793029785156,13,1,22.0,1,"[4, 3, 1, 0, 5, 2, 1, 2, 5, 9, 8, 1, 3, 0, 5, 4, 0, 5, 2, 9, 3, 2, 8, 9, 5]",2,0,3.1,0,4.005472744077569,-3.47076188991001,0.0
0,20,0,5.3,400.0,400.0,10.0,0,100.0,"[1, 1, 7, 5, 2, 0, 8, 5, 9, 4, 4, 7, 6, 8, 0, 4, 6, 1, 3, 6, 2, 8, 0, 9, 6]",0.11200714111328125,13,1,22.0,2,"[0, 3, 6, 0, 9, 7, 3, 6, 1, 2, 1, 2, 9, 5, 3, 7, 2, 0, 7, 4, 9, 5, 8, 4, 5]",1,0,3.1,0,-2.8653963325146705,4.458643724005258,0.0
0,0,2,5.3,400.0,400.0,10.0,-2,100.0,"[3, 2, 5, 7, 4, 2, 9, 6, 3, 8, 1, 5, 9, 0, 4, 0, 1, 4, 9, 2, 0, 8, 8, 9, 4]",0.11115908622741699,13,1,22.0,1,"[6, 9, 7, 9, 5, 7, 5, 0, 4, 1, 2, 7, 6, 8, 3, 8, 7, 5, 6, 3, 4, 1, 6, 5, 3]",2,0,3.1,1,0.0,5.3,0.0
0,13,15,5.3,400.0,400.0,10.0,2,100.0,"[2, 7, 5, 8, 4, 9, 7, 5, 0, 2, 9, 9, 3, 5, 8, 7, 4, 2, 5, 0, 7, 3, 8, 5, 2]",0.11254286766052246,13,1,22.0,2,"[0, 1, 9, 6, 3, 4, 8, 6, 3, 1, 0, 4, 6, 2, 0, 1, 7, 6, 1, 9, 1, 0, 4, 9, 6]",1,0,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,16,18,5.3,400.0,400.0,10.0,0,100.0,"[0, 8, 9, 6, 7, 7, 8, 0, 3, 4, 3, 2, 7, 5, 9, 5, 6, 8, 4, 5, 7, 4, 8, 0, 1]",0.11203789710998535,13,1,22.0,1,"[2, 5, 4, 3, 1, 1, 5, 2, 6, 9, 0, 8, 9, 4, 1, 3, 0, 2, 7, 9, 5, 2, 9, 3, 6]",1,0,3.1,-2,-5.246053641968943,-0.7542686428484117,0.0
