offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,6,8,5.3,400.0,400.0,10.0,2,100.0,"[9, 0, 1, 7, 1, 9, 8, 7, 4, 2, 8, 9, 2, 0, 3, 1, 3, 0, 8, 9, 1, 5, 4, 7, 3]",0.11275100708007812,8,5,22.0,1,"[2, 5, 6, 4, 3, 6, 0, 5, 2, 6, 7, 4, 1, 6, 5, 5, 7, 2, 4, 6, 6, 8, 2, 0, 9]",1,8,3.1,-1,5.246053641968944,-0.7542686428484106,0.0
10,17,19,5.3,400.0,400.0,10.0,2,100.0,"[1, 5, 3, 0, 7, 6, 8, 5, 1, 7, 4, 2, 1, 0, 3, 1, 4, 8, 0, 3, 4, 3, 6, 1, 2]",0.11147403717041016,8,5,22.0,1,"[8, 2, 9, 4, 6, 2, 3, 0, 4, 9, 5, 7, 6, 9, 8, 6, 9, 2, 5, 7, 7, 5, 0, 8, 9]",1,8,3.1,-1,-5.246053641968944,0.7542686428484098,0.0
10,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[5, 9, 1, 3, 0, 7, 9, 5, 6, 4, 9, 4, 9, 6, 3, 2, 0, 5, 6, 7, 7, 2, 9, 1, 8]",0.11251521110534668,8,5,22.0,2,"[6, 4, 7, 2, 8, 0, 1, 8, 3, 2, 5, 8, 5, 0, 7, 1, 1, 8, 9, 3, 0, 5, 4, 3, 6]",1,8,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
10,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[1, 4, 6, 3, 2, 0, 2, 0, 9, 5, 3, 8, 9, 5, 0, 3, 1, 5, 7, 0, 7, 8, 1, 5, 3]",0.11203193664550781,8,5,22.0,2,"[0, 7, 5, 9, 8, 8, 6, 1, 7, 4, 8, 1, 4, 7, 6, 4, 2, 6, 9, 8, 0, 9, 4, 6, 2]",2,8,3.1,0,4.005472744077569,-3.47076188991001,0.0
10,10,12,5.3,400.0,400.0,10.0,1,100.0,"[7, 0, 5, 6, 8, 5, 4, 6, 7, 2, 3, 8, 0, 8, 7, 5, 4, 9, 3, 7, 3, 7, 1, 0, 6]",0.11260199546813965,8,5,22.0,1,"[9, 1, 2, 3, 4, 9, 0, 1, 9, 4, 6, 5, 1, 6, 2, 6, 8, 1, 2, 0, 8, 5, 4, 9, 2]",1,8,3.1,-1,1.4931825512595793,-5.085312760156835,0.0
10,3,5,5.3,400.0,400.0,10.0,1,100.0,"[6, 2, 3, 0, 6, 5, 0, 4, 9, 3, 0, 8, 3, 7, 9, 3, 4, 1, 5, 8, 3, 8, 2, 7, 9]",0.11238908767700195,8,5,22.0,1,"[0, 9, 1, 7, 8, 4, 8, 1, 5, 6, 4, 6, 5, 2, 1, 0, 9, 2, 7, 6, 5, 0, 1, 6, 4]",2,8,3.1,1,4.005472744077569,3.470761889910011,0.0
10,0,2,5.3,400.0,400.0,10.0,-2,100.0,"[0, 6, 5, 4, 0, 7, 9, 0, 1, 3, 5, 8, 4, 7, 3, 0, 9, 8, 2, 7, 7, 9, 9, 8, 7]",0.11103487014770508,8,5,22.0,1,"[1, 2, 8, 7, 3, 6, 8, 5, 2, 4, 6, 0, 1, 2, 9, 5, 1, 3, 4, 6, 3, 4, 1, 2, 5]",2,8,3.1,0,0.0,5.3,0.0
10,15,17,5.3,400.0,400.0,10.0,-2,100.0,"[4, 2, 7, 3, 0, 5, 6, 1, 4, 9, 1, 0, 7, 9, 5, 8, 3, 1, 6, 3, 7, 2, 9, 0, 6]",0.11088895797729492,8,5,22.0,2,"[6, 8, 1, 9, 5, 7, 8, 3, 0, 2, 9, 3, 8, 6, 2, 7, 0, 4, 5, 0, 4, 8, 5, 1, 3]",2,8,3.1,-1,-4.821049575378945,-2.201699568910002,0.0
10,11,13,5.3,400.0,400.0,10.0,0,100.0,"[4, 9, 1, 2, 0, 8, 0, 3, 6, 6, 8, 4, 0, 3, 4, 1, 7, 0, 6, 4, 8, 2, 5, 7, 3]",0.11183500289916992,8,5,22.0,2,"[3, 7, 6, 8, 5, 9, 5, 2, 1, 5, 7, 1, 9, 2, 7, 2, 5, 9, 8, 3, 0, 1, 6, 9, 4]",2,8,3.1,-2,6.490628035480972e-16,-5.3,0.0
10,17,19,5.3,400.0,400.0,10.0,-1,100.0,"[6, 3, 0, 5, 7, 9, 2, 3, 8, 6, 8, 9, 7, 6, 4, 1, 6, 2, 4, 3, 5, 4, 8, 1, 9]",0.11244988441467285,8,5,22.0,1,"[9, 8, 1, 4, 2, 0, 1, 4, 5, 7, 2, 0, 3, 5, 1, 5, 9, 7, 8, 0, 3, 2, 0, 7, 6]",1,8,3.1,2,-5.246053641968944,0.7542686428484098,0.0
