offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,13,15,5.3,400.0,400.0,10.0,-2,100.0,"[5, 4, 7, 2, 1, 4, 9, 0, 2, 7, 8, 2, 1, 5, 4, 8, 7, 2, 4, 1, 1, 6, 8, 7, 9]",0.10308313369750977,0,2,22.0,1,"[9, 6, 0, 3, 8, 6, 8, 3, 5, 1, 9, 0, 9, 3, 7, 6, 0, 6, 9, 3, 2, 0, 5, 3, 4]",2,0,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,14,16,5.3,400.0,400.0,10.0,2,100.0,"[1, 7, 3, 4, 5, 2, 1, 7, 3, 9, 4, 2, 2, 5, 1, 8, 4, 2, 4, 3, 8, 2, 4, 3, 1]",0.10300517082214355,0,2,22.0,2,"[0, 9, 8, 2, 6, 4, 5, 0, 8, 6, 0, 7, 6, 9, 0, 7, 3, 6, 1, 0, 6, 9, 0, 5, 7]",1,0,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
0,0,2,5.3,400.0,400.0,10.0,1,100.0,"[5, 9, 6, 0, 3, 1, 4, 9, 3, 0, 2, 6, 4, 3, 0, 8, 0, 9, 6, 5, 0, 3, 4, 5, 6]",0.10300993919372559,0,2,22.0,1,"[8, 4, 7, 8, 9, 8, 6, 5, 2, 7, 5, 1, 8, 7, 9, 1, 3, 7, 4, 2, 1, 2, 2, 9, 1]",2,0,3.1,0,0.0,5.3,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,"[0, 6, 2, 9, 3, 6, 0, 2, 5, 3, 2, 6, 7, 5, 6, 0, 4, 1, 0, 2, 9, 3, 2, 5, 0]",0.10306978225708008,0,2,22.0,2,"[7, 5, 4, 1, 8, 9, 4, 7, 1, 8, 1, 9, 3, 2, 7, 9, 8, 3, 3, 4, 7, 4, 6, 1, 8]",2,0,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,5,7,5.3,400.0,400.0,10.0,-1,100.0,"[1, 8, 2, 8, 5, 1, 4, 6, 9, 3, 0, 9, 8, 5, 6, 0, 6, 7, 9, 3, 4, 1, 2, 5, 0]",0.1030738353729248,0,2,22.0,2,"[4, 7, 9, 7, 9, 2, 0, 3, 5, 6, 4, 7, 1, 2, 3, 8, 5, 4, 2, 1, 6, 3, 8, 7, 9]",1,0,3.1,-1,5.246053641968943,0.7542686428484122,0.0
0,5,7,5.3,400.0,400.0,10.0,2,100.0,"[9, 5, 2, 6, 4, 5, 2, 9, 8, 4, 3, 4, 9, 2, 5, 0, 3, 1, 8, 5, 2, 7, 3, 4, 9]",0.10330700874328613,0,2,22.0,1,"[4, 1, 6, 3, 8, 7, 0, 1, 9, 7, 8, 1, 0, 6, 7, 6, 2, 4, 7, 9, 6, 0, 5, 1, 8]",2,0,3.1,2,5.246053641968943,0.7542686428484122,0.0
0,7,9,5.3,400.0,400.0,10.0,-2,100.0,"[3, 2, 9, 8, 0, 2, 8, 5, 7, 3, 5, 8, 7, 6, 4, 6, 7, 0, 3, 9, 0, 6, 1, 8, 5]",0.10306286811828613,0,2,22.0,2,"[7, 6, 5, 4, 1, 9, 4, 6, 0, 1, 3, 9, 0, 1, 2, 2, 5, 1, 8, 4, 4, 7, 3, 2, 9]",2,0,3.1,-1,4.8210495753789475,-2.2016995689099974,0.0
0,18,20,5.3,400.0,400.0,10.0,-1,100.0,"[6, 4, 1, 8, 7, 9, 2, 6, 8, 3, 6, 9, 0, 3, 8, 9, 1, 7, 8, 2, 5, 0, 6, 4, 9]",0.1030738353729248,0,2,22.0,1,"[0, 5, 9, 2, 3, 4, 5, 0, 1, 7, 7, 5, 1, 2, 4, 0, 4, 0, 6, 3, 9, 2, 5, 8, 7]",1,0,3.1,0,-4.821049575378947,2.20169956891,0.0
0,13,15,5.3,400.0,400.0,10.0,2,100.0,"[3, 6, 7, 0, 8, 4, 6, 1, 5, 0, 0, 3, 7, 5, 2, 8, 5, 0, 7, 4, 0, 2, 6, 5, 4]",0.1031038761138916,0,2,22.0,2,"[2, 1, 9, 4, 5, 8, 2, 9, 3, 7, 6, 1, 9, 6, 0, 4, 3, 8, 9, 6, 1, 3, 8, 9, 7]",1,0,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,16,18,5.3,400.0,400.0,10.0,2,100.0,"[9, 1, 7, 3, 0, 1, 2, 0, 3, 5, 9, 4, 0, 8, 6, 2, 9, 4, 0, 4, 3, 0, 2, 1, 4]",0.10310482978820801,0,2,22.0,1,"[2, 8, 6, 5, 4, 4, 6, 7, 8, 9, 6, 1, 7, 5, 5, 3, 8, 1, 7, 1, 9, 5, 6, 8, 7]",2,0,3.1,2,-5.246053641968943,-0.7542686428484117,0.0
