offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,21,1,5.3,400.0,400.0,10.0,-1,100.0,"[5, 2, 4, 3, 9, 0, 2, 5, 6, 8, 1, 3, 2, 0, 5, 6, 4, 1, 0, 1, 0, 9, 7, 1, 4]",0.10334300994873047,6,0,22.0,1,"[8, 6, 1, 6, 7, 1, 7, 3, 9, 4, 8, 9, 4, 6, 7, 7, 3, 5, 9, 3, 4, 7, 9, 5, 2]",2,-9,3.1,1,-1.4931825512595778,5.085312760156836,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[4, 8, 0, 3, 6, 2, 0, 4, 5, 9, 1, 4, 7, 9, 2, 0, 9, 3, 4, 7, 3, 8, 0, 4, 9]",0.10323095321655273,6,0,22.0,1,"[3, 1, 4, 5, 9, 7, 6, 3, 2, 8, 8, 6, 0, 5, 3, 2, 8, 5, 1, 6, 2, 6, 7, 1, 5]",2,-9,3.1,-2,4.005472744077569,3.470761889910011,0.0
0,5,7,5.3,400.0,400.0,10.0,-1,100.0,"[9, 5, 2, 7, 6, 8, 1, 4, 1, 3, 8, 4, 7, 1, 0, 5, 9, 4, 0, 1, 2, 1, 9, 4, 7]",0.10338997840881348,6,0,22.0,1,"[1, 8, 6, 5, 2, 3, 0, 9, 7, 6, 5, 3, 2, 9, 6, 8, 7, 2, 6, 3, 5, 0, 6, 3, 8]",2,-9,3.1,0,5.246053641968943,0.7542686428484122,0.0
0,8,10,5.3,400.0,400.0,10.0,-1,100.0,"[9, 1, 6, 8, 7, 0, 5, 0, 9, 8, 3, 4, 6, 5, 1, 3, 1, 0, 9, 4, 4, 5, 0, 9, 6]",0.10326504707336426,6,0,22.0,1,"[0, 3, 2, 5, 4, 4, 4, 7, 1, 2, 6, 0, 7, 8, 9, 8, 7, 2, 6, 5, 3, 1, 2, 8, 7]",1,-9,3.1,1,4.005472744077569,-3.47076188991001,0.0
0,3,5,5.3,400.0,400.0,10.0,-2,100.0,"[2, 0, 3, 6, 9, 2, 8, 2, 5, 4, 5, 4, 2, 3, 7, 8, 3, 9, 4, 2, 1, 5, 6, 9, 2]",0.10331296920776367,6,0,22.0,2,"[1, 4, 1, 7, 5, 8, 0, 9, 6, 3, 9, 1, 6, 0, 8, 7, 6, 5, 0, 1, 8, 7, 4, 3, 0]",1,-9,3.1,2,4.005472744077569,3.470761889910011,0.0
0,11,13,5.3,400.0,400.0,10.0,-2,100.0,"[7, 4, 9, 0, 5, 9, 2, 0, 5, 5, 3, 6, 7, 9, 4, 0, 7, 4, 6, 2, 1, 9, 3, 0, 2]",0.10306501388549805,6,0,22.0,2,"[2, 3, 8, 1, 6, 8, 3, 1, 4, 2, 8, 4, 1, 0, 5, 9, 5, 8, 1, 3, 8, 4, 7, 5, 6]",1,-9,3.1,-2,6.490413675258599e-16,-5.3,0.0
0,0,2,5.3,400.0,400.0,10.0,-1,100.0,"[9, 5, 8, 9, 7, 2, 0, 3, 9, 1, 8, 5, 7, 0, 3, 9, 7, 8, 3, 6, 6, 2, 7, 6, 9]",0.10339188575744629,6,0,22.0,1,"[0, 1, 7, 6, 0, 4, 8, 6, 5, 7, 2, 1, 6, 4, 9, 2, 0, 4, 5, 1, 3, 4, 2, 4, 5]",2,-9,3.1,0,0.0,5.3,0.0
0,18,20,5.3,400.0,400.0,10.0,-1,100.0,"[9, 6, 2, 8, 4, 8, 9, 6, 1, 7, 2, 6, 0, 7, 8, 4, 5, 9, 8, 3, 4, 7, 4, 6, 2]",0.10332989692687988,6,0,22.0,1,"[1, 7, 5, 0, 3, 2, 0, 4, 3, 5, 5, 1, 9, 3, 4, 6, 1, 7, 0, 2, 6, 3, 8, 9, 5]",2,-9,3.1,0,-4.821049575378947,2.20169956891,0.0
0,14,16,5.3,400.0,400.0,10.0,-2,100.0,"[4, 1, 7, 8, 9, 2, 7, 9, 5, 0, 0, 1, 8, 3, 4, 1, 7, 1, 2, 0, 1, 6, 3, 7, 0]",0.10322713851928711,6,0,22.0,2,"[3, 5, 6, 2, 0, 1, 4, 3, 8, 6, 8, 5, 5, 6, 2, 0, 9, 3, 9, 8, 5, 2, 4, 9, 8]",2,-9,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
0,19,21,5.3,400.0,400.0,10.0,1,100.0,"[7, 6, 2, 1, 8, 8, 3, 5, 6, 2, 2, 4, 0, 8, 9, 9, 0, 9, 6, 4, 7, 8, 9, 6, 2]",0.10325288772583008,6,0,22.0,1,"[5, 4, 0, 9, 3, 1, 4, 7, 9, 0, 3, 1, 7, 6, 5, 4, 2, 5, 0, 1, 3, 2, 4, 0, 5]",2,-9,3.1,-1,-4.005472744077568,3.470761889910012,0.0
