offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,8,10,5.3,400.0,400.0,10.0,1,100.0,"[2, 9, 8, 4, 7, 7, 5, 6, 9, 3, 1, 7, 9, 6, 1, 2, 0, 3, 1, 8, 8, 4, 1, 3, 2]",0.10323500633239746,11,0,22.0,1,"[1, 0, 3, 5, 6, 3, 0, 7, 4, 8, 2, 0, 5, 8, 2, 5, 9, 7, 6, 4, 0, 5, 7, 6, 9]",2,-12,3.1,0,4.005472744077569,-3.47076188991001,0.0
0,18,20,5.3,400.0,400.0,10.0,2,100.0,"[5, 2, 4, 9, 0, 4, 5, 3, 9, 6, 8, 7, 9, 2, 5, 3, 5, 2, 1, 9, 7, 2, 7, 6, 9]",0.10324811935424805,11,0,22.0,1,"[6, 7, 3, 1, 8, 1, 7, 2, 0, 8, 1, 4, 0, 3, 6, 1, 0, 8, 4, 6, 3, 4, 8, 3, 5]",1,-12,3.1,0,-4.821049575378947,2.20169956891,0.0
0,2,4,5.3,400.0,400.0,10.0,0,100.0,"[2, 7, 0, 3, 9, 4, 0, 7, 8, 9, 6, 7, 0, 4, 1, 5, 6, 3, 7, 4, 9, 0, 4, 2, 7]",0.10317778587341309,11,0,22.0,2,"[8, 5, 4, 1, 6, 6, 5, 2, 1, 3, 2, 9, 3, 8, 5, 1, 9, 2, 0, 8, 1, 3, 6, 8, 5]",1,-12,3.1,-2,2.865396332514667,4.4586437240052605,0.0
0,10,12,5.3,400.0,400.0,10.0,-1,100.0,"[6, 5, 4, 2, 7, 8, 5, 6, 2, 7, 1, 6, 8, 1, 2, 5, 6, 2, 7, 3, 4, 9, 0, 7, 5]",0.10325407981872559,11,0,22.0,2,"[9, 1, 0, 8, 3, 7, 4, 3, 3, 5, 9, 0, 4, 8, 9, 1, 4, 0, 9, 8, 2, 6, 8, 1, 3]",2,-12,3.1,1,1.4931825512595793,-5.085312760156835,0.0
0,11,13,5.3,400.0,400.0,10.0,0,100.0,"[1, 4, 7, 3, 0, 8, 2, 5, 1, 0, 3, 5, 9, 1, 9, 9, 6, 5, 1, 7, 9, 2, 1, 4, 7]",0.10319900512695312,11,0,22.0,1,"[2, 9, 5, 6, 8, 0, 6, 4, 3, 7, 6, 2, 8, 4, 6, 4, 0, 3, 2, 8, 0, 6, 3, 8, 5]",2,-12,3.1,0,6.490413675258599e-16,-5.3,0.0
0,8,10,5.3,400.0,400.0,10.0,0,100.0,"[9, 1, 8, 7, 3, 2, 8, 4, 0, 3, 2, 8, 3, 4, 7, 6, 9, 4, 0, 8, 6, 5, 4, 2, 7]",0.10335898399353027,11,0,22.0,2,"[2, 6, 0, 4, 5, 1, 1, 5, 9, 7, 6, 2, 6, 9, 1, 7, 2, 5, 3, 1, 8, 9, 1, 3, 0]",2,-12,3.1,-1,4.005472744077569,-3.47076188991001,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,"[4, 6, 8, 0, 1, 0, 8, 1, 2, 7, 7, 5, 6, 1, 2, 0, 6, 5, 1, 3, 9, 6, 8, 0, 3]",0.10306715965270996,11,0,22.0,2,"[2, 5, 3, 7, 9, 4, 5, 3, 6, 9, 0, 9, 8, 4, 3, 7, 9, 2, 8, 4, 7, 1, 5, 2, 4]",1,-12,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,10,12,5.3,400.0,400.0,10.0,1,100.0,"[3, 1, 9, 8, 4, 6, 2, 5, 9, 8, 3, 6, 1, 6, 2, 7, 1, 6, 9, 3, 3, 7, 0, 8, 5]",0.10326409339904785,11,0,22.0,2,"[6, 5, 2, 7, 0, 9, 0, 3, 4, 2, 7, 0, 5, 5, 8, 4, 5, 0, 8, 2, 1, 6, 9, 4, 2]",2,-12,3.1,2,1.4931825512595793,-5.085312760156835,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,"[7, 0, 5, 3, 9, 1, 8, 2, 9, 7, 2, 7, 6, 4, 8, 2, 3, 7, 1, 8, 2, 3, 8, 6, 5]",0.10310196876525879,11,0,22.0,2,"[8, 4, 1, 6, 2, 5, 0, 6, 3, 4, 5, 9, 1, 3, 0, 9, 4, 6, 5, 0, 0, 1, 7, 9, 4]",1,-12,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,14,16,5.3,400.0,400.0,10.0,1,100.0,"[1, 8, 7, 0, 6, 6, 0, 7, 3, 4, 4, 6, 1, 4, 3, 9, 5, 9, 2, 6, 4, 6, 1, 8, 9]",0.1031639575958252,11,0,22.0,1,"[4, 9, 3, 2, 5, 2, 9, 5, 1, 8, 0, 9, 0, 6, 8, 2, 7, 0, 3, 5, 2, 0, 7, 3, 5]",2,-12,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
