offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,11,13,5.3,400.0,400.0,10.0,0,100.0,"[7, 8, 2, 5, 9, 7, 8, 9, 1, 6, 2, 5, 4, 7, 0, 5, 6, 4, 0, 2, 8, 5, 0, 6, 1]",0.10324382781982422,13,1,22.0,1,"[0, 3, 4, 6, 1, 3, 4, 2, 6, 1, 0, 9, 8, 3, 1, 7, 1, 9, 3, 8, 4, 9, 2, 3, 7]",2,0,3.1,2,6.490413675258599e-16,-5.3,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[1, 4, 4, 0, 9, 8, 7, 1, 7, 4, 3, 8, 7, 2, 9, 5, 2, 7, 0, 8, 8, 6, 5, 4, 2]",0.10323596000671387,13,1,22.0,1,"[3, 8, 5, 3, 6, 2, 1, 8, 9, 3, 1, 0, 4, 5, 6, 3, 1, 9, 6, 4, 0, 3, 9, 1, 7]",1,0,3.1,1,4.821049575378947,2.201699568909998,0.0
0,5,7,5.3,400.0,400.0,10.0,-1,100.0,"[0, 7, 4, 4, 3, 0, 9, 2, 5, 7, 3, 2, 6, 9, 8, 4, 3, 6, 5, 9, 3, 8, 0, 1, 6]",0.1032259464263916,13,1,22.0,1,"[5, 2, 1, 5, 7, 6, 1, 8, 3, 9, 0, 1, 4, 7, 5, 7, 8, 2, 1, 0, 4, 5, 2, 7, 9]",1,0,3.1,1,5.246053641968943,0.7542686428484122,0.0
0,16,18,5.3,400.0,400.0,10.0,2,100.0,"[4, 0, 1, 6, 2, 4, 8, 9, 3, 7, 2, 5, 0, 9, 1, 8, 9, 3, 2, 9, 7, 0, 4, 8, 2]",0.10323214530944824,13,1,22.0,1,"[7, 9, 5, 3, 8, 5, 0, 2, 6, 1, 7, 6, 1, 3, 4, 7, 6, 0, 5, 8, 5, 6, 1, 3, 9]",2,0,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
0,12,14,5.3,400.0,400.0,10.0,1,100.0,"[1, 5, 8, 6, 7, 8, 9, 7, 2, 0, 5, 7, 2, 4, 3, 8, 6, 7, 5, 1, 4, 6, 3, 5, 7]",0.10324311256408691,13,1,22.0,2,"[9, 4, 0, 2, 3, 1, 3, 5, 4, 6, 6, 0, 8, 9, 1, 9, 0, 4, 3, 2, 2, 8, 9, 1, 0]",1,0,3.1,1,-1.4931825512595758,-5.085312760156836,0.0
0,21,1,5.3,400.0,400.0,10.0,1,100.0,"[3, 6, 3, 7, 6, 4, 0, 8, 3, 6, 9, 2, 1, 3, 4, 1, 8, 5, 0, 2, 1, 4, 4, 1, 6]",0.10316896438598633,13,1,22.0,1,"[0, 5, 0, 9, 2, 1, 7, 9, 5, 2, 0, 6, 7, 8, 5, 9, 4, 2, 7, 8, 7, 9, 7, 3, 9]",2,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,12,14,5.3,400.0,400.0,10.0,0,100.0,"[2, 0, 8, 4, 6, 0, 8, 1, 9, 2, 5, 7, 0, 2, 4, 7, 1, 8, 4, 0, 3, 4, 9, 8, 1]",0.10325503349304199,13,1,22.0,2,"[5, 9, 1, 7, 3, 4, 7, 6, 3, 5, 3, 8, 6, 1, 9, 2, 3, 5, 9, 6, 5, 0, 6, 2, 7]",1,0,3.1,-1,-1.4931825512595758,-5.085312760156836,0.0
0,8,10,5.3,400.0,400.0,10.0,0,100.0,"[3, 5, 8, 4, 9, 2, 2, 5, 1, 0, 7, 6, 2, 5, 0, 1, 7, 2, 5, 6, 9, 2, 5, 6, 4]",0.10322690010070801,13,1,22.0,1,"[1, 6, 7, 2, 0, 0, 8, 9, 4, 3, 6, 4, 3, 7, 1, 3, 0, 8, 4, 9, 3, 0, 8, 1, 7]",1,0,3.1,2,4.005472744077569,-3.47076188991001,0.0
0,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[3, 4, 5, 2, 9, 5, 5, 0, 6, 4, 7, 0, 3, 8, 7, 9, 3, 2, 8, 6, 5, 7, 0, 9, 8]",0.10325884819030762,13,1,22.0,1,"[1, 7, 8, 0, 6, 0, 2, 9, 1, 8, 3, 4, 9, 5, 6, 5, 7, 0, 4, 1, 3, 1, 2, 4, 6]",2,0,3.1,2,4.005472744077569,-3.47076188991001,0.0
0,20,0,5.3,400.0,400.0,10.0,1,100.0,"[2, 3, 0, 9, 6, 8, 3, 7, 9, 1, 8, 3, 6, 9, 5, 6, 7, 1, 4, 1, 0, 5, 2, 0, 5]",0.10326194763183594,13,1,22.0,1,"[8, 1, 7, 8, 2, 2, 6, 0, 4, 5, 1, 4, 0, 7, 2, 8, 4, 3, 9, 6, 3, 7, 4, 6, 1]",2,0,3.1,0,-2.8653963325146705,4.458643724005258,0.0
