offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,20,0,5.3,400.0,400.0,10.0,-2,100.0,"[8, 5, 9, 1, 8, 4, 7, 5, 1, 0, 2, 7, 4, 1, 3, 3, 8, 7, 0, 6, 1, 7, 2, 1, 5]",0.1031498908996582,9,0,22.0,1,"[3, 6, 3, 0, 7, 9, 2, 6, 8, 3, 0, 6, 5, 9, 8, 0, 4, 9, 2, 5, 9, 4, 7, 6, 9]",1,-10.5,3.1,2,-2.8653963325146705,4.458643724005258,0.0
0,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[3, 8, 7, 2, 1, 0, 7, 6, 3, 9, 0, 2, 1, 5, 1, 3, 0, 2, 9, 5, 1, 5, 3, 2, 9]",0.10310101509094238,9,0,22.0,1,"[4, 6, 9, 0, 5, 1, 2, 8, 5, 4, 8, 9, 3, 7, 6, 7, 5, 8, 4, 6, 6, 8, 7, 4, 0]",1,-10.5,3.1,1,-5.246053641968943,-0.7542686428484117,0.0
0,10,12,5.3,400.0,400.0,10.0,2,100.0,"[6, 2, 9, 4, 3, 6, 9, 1, 2, 5, 4, 8, 7, 7, 8, 9, 6, 0, 5, 3, 9, 8, 3, 2, 0]",0.10327386856079102,9,0,22.0,1,"[7, 8, 1, 5, 0, 4, 5, 2, 6, 0, 1, 3, 9, 3, 6, 2, 1, 4, 7, 8, 5, 1, 7, 6, 4]",2,-10.5,3.1,0,1.4931825512595793,-5.085312760156835,0.0
0,0,2,5.3,400.0,400.0,10.0,2,100.0,"[6, 8, 2, 5, 2, 4, 9, 8, 0, 3, 9, 7, 0, 6, 5, 3, 0, 8, 9, 7, 5, 9, 3, 6, 2]",0.10327887535095215,9,0,22.0,2,"[4, 7, 0, 4, 1, 7, 1, 5, 2, 6, 8, 4, 2, 1, 3, 1, 6, 5, 4, 2, 3, 1, 7, 0, 9]",2,-10.5,3.1,-1,0.0,5.3,0.0
0,6,8,5.3,400.0,400.0,10.0,0,100.0,"[0, 2, 7, 4, 9, 2, 6, 7, 0, 9, 4, 0, 2, 9, 8, 8, 5, 0, 4, 1, 9, 3, 2, 1, 8]",0.10328102111816406,9,0,22.0,2,"[5, 9, 3, 1, 1, 3, 5, 4, 8, 7, 6, 3, 7, 5, 1, 6, 9, 7, 2, 3, 0, 5, 4, 6, 7]",1,-10.5,3.1,-1,5.246053641968944,-0.7542686428484106,0.0
0,15,17,5.3,400.0,400.0,10.0,2,100.0,"[3, 1, 9, 8, 6, 6, 7, 4, 0, 8, 1, 3, 8, 1, 5, 6, 0, 9, 3, 4, 6, 3, 1, 9, 7]",0.10324692726135254,9,0,22.0,2,"[0, 7, 5, 2, 4, 9, 1, 2, 3, 5, 7, 4, 2, 7, 4, 3, 8, 2, 9, 0, 8, 4, 2, 5, 0]",2,-10.5,3.1,1,-4.821049575378945,-2.201699568910002,0.0
0,20,0,5.3,400.0,400.0,10.0,-1,100.0,"[6, 4, 9, 1, 3, 5, 0, 8, 1, 2, 6, 3, 1, 5, 0, 4, 5, 7, 0, 9, 7, 2, 3, 2, 8]",0.10322284698486328,9,0,22.0,1,"[3, 7, 6, 5, 2, 4, 7, 6, 9, 3, 9, 2, 4, 8, 7, 8, 9, 1, 1, 8, 5, 4, 7, 5, 1]",2,-10.5,3.1,-1,-2.8653963325146705,4.458643724005258,0.0
0,5,7,5.3,400.0,400.0,10.0,-1,100.0,"[5, 1, 2, 3, 0, 2, 6, 4, 5, 4, 5, 9, 4, 1, 7, 8, 3, 0, 5, 1, 6, 5, 9, 8, 1]",0.10319399833679199,9,0,22.0,1,"[8, 7, 4, 9, 7, 1, 8, 5, 0, 9, 2, 3, 8, 6, 0, 2, 4, 6, 7, 9, 0, 4, 3, 2, 7]",1,-10.5,3.1,1,5.246053641968943,0.7542686428484122,0.0
0,15,17,5.3,400.0,400.0,10.0,-1,100.0,"[1, 9, 4, 7, 2, 7, 6, 2, 8, 1, 3, 1, 5, 9, 5, 7, 8, 2, 9, 6, 2, 8, 3, 4, 0]",0.10321593284606934,9,0,22.0,1,"[6, 8, 5, 0, 3, 3, 9, 5, 0, 4, 2, 0, 8, 4, 0, 6, 1, 3, 1, 7, 9, 6, 7, 1, 5]",1,-10.5,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[1, 0, 7, 4, 9, 4, 2, 1, 7, 9, 6, 3, 8, 5, 9, 7, 8, 1, 0, 9, 5, 8, 1, 0, 3]",0.10320711135864258,9,0,22.0,2,"[7, 2, 1, 5, 2, 3, 5, 8, 6, 0, 1, 7, 4, 2, 0, 6, 3, 5, 4, 6, 3, 4, 9, 2, 6]",1,-10.5,3.1,1,-1.4931825512595778,5.085312760156836,0.0
