offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,1,3,5.3,400.0,400.0,10.0,0,100.0,"[3, 9, 1, 5, 9, 0, 7, 9, 3, 2, 8, 3, 6, 5, 1, 2, 8, 6, 0, 9, 9, 8, 5, 6, 2]",0.11290693283081055,13,1,22.0,1,"[4, 2, 0, 6, 3, 6, 1, 8, 4, 5, 9, 7, 4, 2, 0, 7, 3, 4, 1, 5, 4, 7, 1, 8, 3]",2,0,3.1,0,1.493182551259577,5.085312760156836,0.0
0,12,14,5.3,400.0,400.0,10.0,1,100.0,"[5, 7, 1, 2, 4, 4, 7, 1, 5, 0, 0, 7, 5, 6, 3, 0, 1, 8, 2, 9, 1, 2, 6, 9, 3]",0.11248302459716797,13,1,22.0,1,"[0, 3, 8, 9, 6, 3, 8, 9, 2, 6, 9, 8, 2, 4, 1, 5, 6, 4, 7, 3, 4, 0, 5, 7, 8]",2,0,3.1,1,-1.4931825512595758,-5.085312760156836,0.0
0,2,4,5.3,400.0,400.0,10.0,-1,100.0,"[9, 7, 3, 5, 1, 4, 5, 0, 9, 2, 8, 0, 4, 2, 5, 2, 1, 6, 3, 4, 7, 3, 1, 4, 8]",0.11272001266479492,13,1,22.0,2,"[6, 8, 0, 4, 2, 8, 1, 6, 7, 3, 3, 9, 6, 7, 1, 9, 7, 0, 8, 5, 2, 0, 6, 5, 9]",1,0,3.1,0,2.865396332514667,4.4586437240052605,0.0
0,2,4,5.3,400.0,400.0,10.0,2,100.0,"[2, 4, 7, 0, 1, 3, 2, 9, 1, 8, 5, 0, 7, 9, 3, 5, 2, 7, 1, 8, 6, 0, 8, 9, 7]",0.11270904541015625,13,1,22.0,2,"[8, 5, 3, 9, 6, 0, 7, 6, 5, 4, 6, 4, 8, 2, 1, 9, 4, 3, 6, 0, 5, 2, 3, 1, 4]",2,0,3.1,1,2.865396332514667,4.4586437240052605,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[4, 9, 1, 7, 2, 8, 2, 3, 1, 0, 2, 1, 9, 7, 5, 3, 6, 1, 7, 8, 1, 4, 9, 7, 6]",0.11289620399475098,13,1,22.0,1,"[5, 4, 3, 5, 0, 6, 4, 5, 6, 8, 3, 4, 8, 6, 0, 5, 2, 4, 9, 0, 8, 2, 0, 5, 3]",2,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,"[7, 0, 2, 3, 5, 6, 7, 5, 8, 0, 2, 1, 0, 9, 4, 8, 4, 9, 0, 1, 5, 7, 0, 4, 9]",0.11145591735839844,13,1,22.0,2,"[1, 8, 4, 6, 9, 9, 1, 2, 4, 3, 8, 7, 3, 5, 6, 3, 5, 2, 7, 6, 3, 1, 8, 6, 2]",1,0,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,21,1,5.3,400.0,400.0,10.0,-1,100.0,"[1, 0, 9, 1, 0, 8, 2, 1, 4, 5, 1, 4, 5, 2, 9, 9, 5, 6, 1, 4, 8, 7, 9, 0, 3]",0.11101102828979492,13,1,22.0,2,"[5, 2, 6, 5, 2, 7, 3, 9, 0, 6, 3, 6, 8, 7, 0, 3, 8, 4, 7, 6, 9, 3, 4, 2, 1]",1,0,3.1,-1,-1.4931825512595778,5.085312760156836,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,"[2, 0, 7, 4, 1, 6, 1, 8, 4, 8, 5, 9, 3, 3, 7, 9, 5, 0, 4, 8, 7, 0, 8, 5, 3]",0.11106300354003906,13,1,22.0,1,"[5, 3, 9, 8, 6, 7, 0, 5, 2, 7, 1, 0, 6, 6, 1, 1, 3, 2, 7, 6, 4, 6, 1, 9, 2]",1,0,3.1,2,1.4931825512595793,-5.085312760156835,0.0
0,13,15,5.3,400.0,400.0,10.0,2,100.0,"[5, 6, 4, 0, 8, 9, 0, 6, 7, 5, 9, 0, 3, 1, 9, 8, 5, 1, 3, 9, 9, 7, 8, 3, 5]",0.11176204681396484,13,1,22.0,2,"[9, 2, 1, 7, 3, 4, 2, 8, 3, 1, 3, 4, 7, 2, 6, 5, 4, 2, 8, 7, 6, 0, 1, 2, 4]",1,0,3.1,2,-2.865396332514667,-4.4586437240052605,0.0
0,16,18,5.3,400.0,400.0,10.0,1,100.0,"[8, 3, 4, 0, 9, 5, 0, 2, 8, 7, 6, 0, 5, 9, 3, 8, 4, 6, 1, 4, 9, 5, 2, 4, 0]",0.11264514923095703,13,1,22.0,1,"[1, 5, 7, 2, 6, 6, 9, 4, 3, 1, 2, 3, 1, 7, 9, 5, 7, 2, 0, 6, 8, 1, 3, 7, 6]",1,0,3.1,2,-5.246053641968943,-0.7542686428484117,0.0
