offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,7,9,5.3,400.0,400.0,10.0,0,100.0,"[9, 0, 2, 7, 6, 5, 8, 6, 2, 1, 3, 6, 5, 4, 9, 6, 8, 9, 7, 5, 9, 0, 4, 1, 2]",0.11207914352416992,8,5,22.0,1,"[3, 8, 5, 4, 1, 4, 3, 9, 7, 0, 8, 1, 2, 0, 7, 2, 3, 1, 4, 0, 3, 8, 6, 7, 5]",1,8,3.1,1,4.8210495753789475,-2.2016995689099974,0.0
10,20,0,5.3,400.0,400.0,10.0,-2,100.0,"[9, 5, 8, 6, 0, 6, 8, 3, 5, 7, 1, 3, 2, 8, 6, 1, 7, 6, 2, 1, 7, 6, 9, 2, 5]",0.11193490028381348,8,5,22.0,1,"[4, 4, 1, 7, 3, 0, 4, 1, 9, 2, 9, 4, 7, 5, 0, 3, 2, 8, 5, 0, 3, 8, 3, 8, 1]",1,8,3.1,2,-2.8653963325146705,4.458643724005258,0.0
10,5,7,5.3,400.0,400.0,10.0,0,100.0,"[9, 8, 3, 4, 3, 2, 8, 9, 7, 8, 5, 8, 2, 0, 4, 7, 3, 1, 0, 6, 5, 4, 2, 3, 0]",0.11101698875427246,8,5,22.0,2,"[6, 0, 7, 1, 0, 6, 7, 5, 4, 2, 9, 1, 6, 7, 3, 4, 8, 5, 2, 9, 9, 8, 6, 1, 7]",2,8,3.1,-1,5.246053641968943,0.7542686428484122,0.0
10,20,0,5.3,400.0,400.0,10.0,1,100.0,"[9, 7, 8, 5, 0, 4, 1, 3, 6, 8, 1, 9, 5, 3, 6, 9, 8, 4, 3, 4, 7, 1, 7, 2, 6]",0.11238503456115723,8,5,22.0,1,"[6, 3, 9, 1, 6, 9, 5, 2, 7, 0, 7, 2, 4, 8, 0, 1, 0, 6, 8, 5, 2, 0, 3, 4, 9]",2,8,3.1,-1,-2.8653963325146705,4.458643724005258,0.0
10,21,1,5.3,400.0,400.0,10.0,-2,100.0,"[8, 3, 6, 0, 3, 6, 8, 1, 3, 4, 5, 2, 9, 8, 0, 8, 3, 5, 0, 2, 9, 6, 7, 1, 2]",0.11284685134887695,8,5,22.0,1,"[0, 5, 5, 4, 8, 9, 7, 5, 0, 2, 4, 3, 6, 7, 1, 6, 9, 7, 2, 1, 7, 4, 6, 8, 4]",2,8,3.1,-2,-1.4931825512595778,5.085312760156836,0.0
10,12,14,5.3,400.0,400.0,10.0,1,100.0,"[5, 3, 8, 6, 1, 2, 1, 0, 8, 6, 4, 8, 2, 1, 6, 2, 1, 4, 7, 0, 1, 9, 3, 7, 5]",0.1118919849395752,8,5,22.0,1,"[4, 2, 0, 9, 7, 4, 5, 7, 3, 9, 5, 7, 3, 9, 0, 5, 3, 8, 9, 6, 8, 0, 4, 6, 2]",1,8,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
10,15,17,5.3,400.0,400.0,10.0,0,100.0,"[4, 2, 6, 8, 0, 4, 8, 1, 6, 7, 3, 2, 7, 9, 6, 2, 3, 7, 5, 8, 9, 1, 5, 8, 7]",0.11273908615112305,8,5,22.0,1,"[3, 5, 7, 9, 1, 9, 3, 0, 2, 5, 8, 4, 6, 0, 5, 4, 8, 1, 2, 1, 0, 4, 2, 6, 3]",1,8,3.1,-1,-4.821049575378945,-2.201699568910002,0.0
10,1,3,5.3,400.0,400.0,10.0,-2,100.0,"[5, 6, 1, 0, 7, 9, 2, 8, 0, 4, 0, 9, 3, 8, 7, 7, 0, 2, 9, 5, 2, 3, 9, 4, 7]",0.11179709434509277,8,5,22.0,1,"[8, 4, 2, 9, 2, 7, 1, 3, 5, 6, 1, 6, 4, 5, 2, 8, 3, 1, 4, 6, 6, 7, 3, 8, 5]",2,8,3.1,2,1.493182551259577,5.085312760156836,0.0
10,16,18,5.3,400.0,400.0,10.0,1,100.0,"[6, 8, 4, 5, 7, 2, 3, 1, 7, 4, 4, 6, 3, 9, 1, 9, 0, 5, 3, 7, 4, 7, 5, 3, 0]",0.1126549243927002,8,5,22.0,2,"[3, 0, 2, 1, 9, 9, 8, 6, 0, 5, 5, 0, 2, 1, 2, 6, 7, 8, 4, 4, 9, 6, 2, 8, 1]",2,8,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
10,10,12,5.3,400.0,400.0,10.0,0,100.0,"[4, 1, 2, 5, 7, 5, 9, 6, 7, 2, 3, 9, 6, 3, 6, 2, 5, 8, 7, 9, 5, 1, 7, 2, 8]",0.11214709281921387,8,5,22.0,2,"[9, 3, 6, 8, 0, 2, 0, 8, 5, 8, 4, 1, 0, 9, 4, 3, 0, 4, 6, 1, 6, 0, 4, 3, 9]",1,8,3.1,-1,1.4931825512595793,-5.085312760156835,0.0
