offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,6,8,5.3,400.0,400.0,10.0,0,100.0,"[6, 3, 7, 4, 8, 4, 9, 6, 2, 7, 9, 7, 4, 0, 5, 1, 5, 9, 7, 0, 0, 2, 6, 4, 3]",0.11267900466918945,11,0,22.0,1,"[8, 1, 2, 9, 5, 1, 7, 0, 3, 2, 1, 8, 2, 3, 6, 4, 3, 8, 6, 2, 5, 7, 1, 8, 9]",2,-12,3.1,0,5.246053641968944,-0.7542686428484106,0.0
0,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[2, 8, 3, 6, 9, 7, 5, 0, 2, 6, 9, 7, 4, 6, 3, 1, 8, 0, 4, 9, 0, 2, 3, 8, 1]",0.11284899711608887,11,0,22.0,2,"[0, 7, 5, 4, 1, 3, 4, 8, 9, 1, 2, 1, 5, 8, 6, 5, 2, 9, 7, 3, 7, 9, 4, 5, 6]",1,-12,3.1,1,-5.246053641968943,-0.7542686428484117,0.0
0,20,0,5.3,400.0,400.0,10.0,1,100.0,"[8, 8, 9, 4, 5, 7, 1, 9, 3, 5, 7, 5, 0, 8, 2, 6, 5, 4, 1, 6, 0, 5, 7, 3, 9]",0.11179018020629883,11,0,22.0,1,"[2, 6, 0, 3, 7, 6, 8, 0, 2, 4, 3, 9, 4, 1, 6, 8, 0, 3, 7, 4, 3, 9, 6, 4, 2]",2,-12,3.1,-1,-2.8653963325146705,4.458643724005258,0.0
0,6,8,5.3,400.0,400.0,10.0,2,100.0,"[8, 2, 4, 7, 7, 4, 0, 1, 2, 6, 7, 9, 5, 0, 2, 5, 6, 9, 7, 0, 1, 8, 2, 6, 7]",0.11115789413452148,11,0,22.0,1,"[3, 5, 6, 0, 3, 8, 9, 6, 5, 4, 6, 4, 8, 1, 3, 3, 2, 1, 4, 8, 5, 0, 4, 9, 3]",2,-12,3.1,-1,5.246053641968944,-0.7542686428484106,0.0
0,3,5,5.3,400.0,400.0,10.0,-2,100.0,"[3, 7, 9, 0, 8, 2, 2, 4, 7, 9, 0, 5, 2, 6, 8, 8, 2, 1, 0, 4, 7, 6, 9, 0, 3]",0.11334514617919922,11,0,22.0,2,"[8, 6, 1, 5, 4, 3, 3, 5, 6, 8, 7, 4, 3, 1, 9, 5, 7, 6, 3, 9, 2, 4, 5, 8, 1]",1,-12,3.1,0,4.005472744077569,3.470761889910011,0.0
0,1,3,5.3,400.0,400.0,10.0,-2,100.0,"[1, 6, 3, 9, 2, 0, 7, 6, 3, 5, 1, 2, 6, 5, 4, 4, 5, 1, 8, 6, 3, 5, 1, 4, 9]",0.11178016662597656,11,0,22.0,1,"[2, 7, 8, 4, 7, 1, 8, 4, 9, 2, 8, 3, 7, 0, 9, 9, 3, 2, 7, 0, 2, 0, 8, 7, 5]",1,-12,3.1,0,1.493182551259577,5.085312760156836,0.0
0,0,2,5.3,400.0,400.0,10.0,0,100.0,"[4, 6, 7, 0, 5, 3, 6, 5, 0, 7, 1, 8, 0, 5, 7, 4, 1, 8, 2, 6, 2, 5, 3, 2, 1]",0.11177897453308105,11,0,22.0,1,"[1, 3, 9, 6, 9, 2, 4, 8, 9, 1, 9, 2, 3, 4, 6, 0, 9, 7, 3, 5, 8, 0, 5, 9, 7]",2,-12,3.1,0,0.0,5.3,0.0
0,7,9,5.3,400.0,400.0,10.0,2,100.0,"[9, 5, 3, 7, 8, 1, 7, 2, 3, 8, 0, 1, 4, 3, 2, 3, 4, 2, 6, 8, 8, 3, 9, 2, 5]",0.11222505569458008,11,0,22.0,2,"[2, 4, 1, 6, 0, 4, 9, 6, 5, 0, 7, 5, 8, 6, 9, 9, 0, 5, 7, 1, 6, 0, 4, 1, 7]",2,-12,3.1,-1,4.8210495753789475,-2.2016995689099974,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,"[2, 1, 9, 0, 7, 6, 8, 7, 0, 9, 4, 7, 2, 1, 3, 5, 0, 7, 1, 4, 5, 0, 1, 3, 2]",0.11210203170776367,11,0,22.0,2,"[5, 3, 8, 4, 6, 5, 3, 4, 2, 1, 8, 8, 6, 9, 4, 0, 2, 6, 5, 3, 8, 9, 6, 4, 7]",2,-12,3.1,-2,-2.865396332514667,-4.4586437240052605,0.0
0,19,21,5.3,400.0,400.0,10.0,0,100.0,"[9, 7, 4, 1, 2, 2, 6, 3, 7, 1, 0, 6, 7, 3, 4, 2, 3, 9, 1, 5, 2, 0, 8, 7, 3]",0.11220908164978027,11,0,22.0,2,"[3, 0, 6, 8, 5, 5, 9, 8, 4, 0, 2, 8, 9, 1, 5, 5, 7, 6, 4, 7, 3, 8, 1, 4, 9]",1,-12,3.1,2,-4.005472744077568,3.470761889910012,0.0
