offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,0,2,5.3,400.0,400.0,10.0,1,100.0,"[5, 2, 9, 4, 0, 2, 3, 6, 1, 5, 7, 2, 0, 6, 5, 0, 6, 9, 7, 3, 3, 0, 3, 7, 8]",0.11088180541992188,8,5,22.0,2,"[1, 7, 4, 2, 8, 7, 9, 8, 0, 4, 9, 4, 8, 1, 3, 5, 2, 1, 4, 8, 8, 6, 5, 4, 1]",2,8,3.1,-1,0.0,5.3,0.0
10,13,15,5.3,400.0,400.0,10.0,1,100.0,"[0, 7, 6, 8, 4, 4, 0, 8, 3, 7, 0, 9, 0, 8, 5, 7, 7, 6, 8, 5, 9, 2, 7, 3, 1]",0.11155104637145996,8,5,22.0,2,"[3, 2, 9, 1, 5, 9, 6, 1, 5, 2, 7, 4, 1, 6, 3, 2, 4, 1, 0, 9, 5, 8, 6, 0, 4]",2,8,3.1,2,-2.865396332514667,-4.4586437240052605,0.0
10,14,16,5.3,400.0,400.0,10.0,2,100.0,"[1, 2, 3, 0, 5, 6, 9, 1, 7, 8, 8, 9, 7, 1, 6, 2, 3, 7, 6, 8, 9, 3, 8, 0, 1]",0.11261987686157227,8,5,22.0,1,"[9, 4, 6, 7, 8, 2, 0, 5, 3, 4, 3, 0, 5, 4, 0, 9, 8, 5, 4, 2, 6, 7, 5, 4, 2]",1,8,3.1,-2,-4.005472744077568,-3.4707618899100114,0.0
10,14,16,5.3,400.0,400.0,10.0,2,100.0,"[8, 9, 6, 2, 0, 9, 1, 4, 0, 7, 3, 5, 8, 7, 1, 5, 2, 3, 5, 2, 4, 6, 2, 1, 7]",0.11242103576660156,8,5,22.0,1,"[3, 1, 4, 7, 5, 8, 3, 2, 5, 6, 1, 2, 3, 0, 4, 6, 9, 4, 8, 0, 0, 5, 3, 8, 9]",2,8,3.1,2,-4.005472744077568,-3.4707618899100114,0.0
10,0,2,5.3,400.0,400.0,10.0,-2,100.0,"[3, 8, 6, 5, 2, 5, 8, 7, 1, 4, 9, 2, 8, 1, 7, 2, 8, 5, 7, 3, 4, 2, 1, 5, 3]",0.11256694793701172,8,5,22.0,2,"[9, 7, 1, 8, 9, 0, 2, 6, 9, 3, 0, 5, 6, 4, 3, 6, 0, 9, 4, 1, 0, 5, 0, 6, 7]",2,8,3.1,-1,0.0,5.3,0.0
10,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[6, 8, 0, 3, 2, 9, 7, 3, 0, 6, 6, 7, 2, 3, 5, 4, 8, 6, 2, 4, 6, 9, 2, 4, 8]",0.11099004745483398,8,5,22.0,1,"[1, 5, 4, 9, 7, 8, 5, 1, 2, 4, 7, 6, 0, 8, 9, 1, 1, 3, 7, 5, 5, 3, 0, 7, 1]",2,8,3.1,-1,-2.865396332514667,-4.4586437240052605,0.0
10,19,21,5.3,400.0,400.0,10.0,1,100.0,"[0, 9, 5, 8, 3, 9, 0, 6, 3, 5, 3, 8, 2, 7, 9, 2, 4, 7, 0, 3, 4, 9, 5, 1, 2]",0.11256790161132812,8,5,22.0,2,"[7, 2, 1, 4, 6, 7, 2, 8, 1, 4, 0, 4, 1, 5, 6, 8, 7, 6, 2, 8, 1, 5, 3, 6, 8]",2,8,3.1,2,-4.005472744077568,3.470761889910012,0.0
10,1,3,5.3,400.0,400.0,10.0,-2,100.0,"[4, 2, 5, 0, 8, 1, 7, 9, 6, 2, 2, 0, 6, 1, 8, 2, 9, 8, 5, 0, 6, 8, 3, 1, 5]",0.11261701583862305,8,5,22.0,2,"[6, 3, 1, 9, 6, 3, 4, 5, 0, 8, 4, 9, 7, 3, 5, 4, 6, 7, 1, 3, 7, 7, 2, 8, 0]",1,8,3.1,2,1.493182551259577,5.085312760156836,0.0
10,10,12,5.3,400.0,400.0,10.0,0,100.0,"[1, 9, 3, 2, 8, 7, 5, 4, 0, 1, 2, 3, 6, 3, 5, 0, 8, 6, 7, 3, 2, 9, 1, 6, 5]",0.11095213890075684,8,5,22.0,1,"[6, 5, 7, 4, 0, 1, 3, 8, 7, 8, 9, 5, 4, 7, 9, 5, 1, 9, 4, 2, 7, 3, 0, 8, 4]",1,8,3.1,1,1.4931825512595793,-5.085312760156835,0.0
10,17,19,5.3,400.0,400.0,10.0,2,100.0,"[5, 7, 6, 0, 1, 5, 8, 6, 0, 3, 6, 7, 9, 8, 0, 8, 6, 9, 7, 5, 1, 5, 0, 9, 6]",0.11228704452514648,8,5,22.0,2,"[9, 4, 2, 8, 3, 7, 9, 2, 1, 4, 3, 5, 4, 2, 1, 1, 2, 4, 0, 3, 3, 8, 7, 4, 2]",1,8,3.1,1,-5.246053641968944,0.7542686428484098,0.0
