offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,14,16,5.3,400.0,400.0,10.0,1,100.0,"[4, 6, 8, 0, 1, 9, 3, 2, 4, 6, 3, 4, 2, 6, 1, 4, 0, 1, 2, 0, 2, 6, 7, 8, 1]",0.10330510139465332,13,1,22.0,2,"[7, 3, 2, 9, 5, 7, 1, 8, 5, 0, 0, 1, 9, 8, 3, 7, 5, 4, 9, 3, 9, 4, 0, 5, 3]",1,0,3.1,-2,-4.005472744077568,-3.4707618899100114,0.0
0,19,21,5.3,400.0,400.0,10.0,1,100.0,"[1, 6, 9, 0, 7, 3, 9, 0, 4, 5, 3, 4, 6, 8, 5, 0, 7, 5, 0, 3, 8, 6, 9, 8, 6]",0.10311603546142578,13,1,22.0,2,"[3, 4, 8, 5, 2, 1, 2, 8, 6, 7, 9, 2, 1, 7, 0, 1, 3, 7, 2, 9, 1, 4, 4, 5, 0]",1,0,3.1,0,-4.005472744077568,3.470761889910012,0.0
0,16,18,5.3,400.0,400.0,10.0,1,100.0,"[5, 1, 2, 9, 0, 1, 5, 4, 9, 3, 8, 7, 1, 4, 4, 1, 7, 2, 3, 9, 8, 6, 7, 0, 1]",0.10328102111816406,13,1,22.0,2,"[4, 8, 3, 7, 6, 8, 2, 0, 6, 7, 3, 9, 6, 2, 9, 6, 5, 8, 0, 2, 5, 9, 2, 4, 3]",1,0,3.1,-2,-5.246053641968943,-0.7542686428484117,0.0
0,1,3,5.3,400.0,400.0,10.0,-2,100.0,"[4, 3, 6, 1, 2, 2, 5, 3, 6, 8, 7, 6, 9, 1, 3, 0, 5, 7, 1, 3, 2, 9, 9, 6, 8]",0.10370397567749023,13,1,22.0,2,"[0, 5, 8, 2, 1, 1, 9, 7, 4, 0, 8, 4, 5, 2, 0, 2, 9, 4, 6, 8, 3, 7, 7, 0, 4]",1,0,3.1,2,1.493182551259577,5.085312760156836,0.0
0,20,0,5.3,400.0,400.0,10.0,1,100.0,"[5, 0, 8, 1, 7, 7, 1, 6, 9, 5, 1, 5, 8, 4, 6, 6, 7, 5, 1, 3, 0, 8, 0, 4, 2]",0.1036069393157959,13,1,22.0,2,"[9, 6, 3, 9, 5, 8, 0, 2, 4, 3, 9, 7, 0, 2, 3, 4, 1, 3, 4, 7, 2, 6, 8, 5, 6]",1,0,3.1,2,-2.8653963325146705,4.458643724005258,0.0
0,1,3,5.3,400.0,400.0,10.0,2,100.0,"[9, 7, 0, 2, 6, 5, 8, 1, 3, 0, 5, 7, 6, 9, 3, 7, 2, 1, 6, 9, 0, 3, 5, 2, 3]",0.10325813293457031,13,1,22.0,2,"[8, 4, 6, 1, 1, 9, 2, 4, 6, 7, 4, 1, 8, 0, 2, 5, 4, 8, 3, 0, 7, 5, 4, 9, 6]",1,0,3.1,0,1.493182551259577,5.085312760156836,0.0
0,20,0,5.3,400.0,400.0,10.0,0,100.0,"[8, 2, 0, 6, 3, 0, 7, 8, 3, 9, 8, 4, 2, 6, 3, 3, 6, 1, 3, 7, 0, 6, 2, 1, 6]",0.10310816764831543,13,1,22.0,1,"[2, 1, 9, 4, 5, 1, 2, 5, 6, 4, 9, 0, 7, 5, 1, 4, 2, 5, 5, 1, 9, 4, 0, 8, 5]",2,0,3.1,1,-2.8653963325146705,4.458643724005258,0.0
0,9,11,5.3,400.0,400.0,10.0,2,100.0,"[8, 5, 6, 9, 0, 7, 9, 0, 5, 4, 6, 1, 5, 2, 8, 2, 3, 5, 7, 4, 3, 8, 0, 4, 2]",0.10322690010070801,13,1,22.0,1,"[4, 1, 2, 7, 3, 4, 2, 7, 8, 3, 9, 2, 3, 0, 6, 6, 0, 8, 9, 1, 7, 1, 5, 9, 6]",1,0,3.1,1,2.8653963325146665,-4.4586437240052605,0.0
0,7,9,5.3,400.0,400.0,10.0,1,100.0,"[8, 6, 3, 4, 7, 2, 1, 7, 3, 6, 6, 3, 7, 4, 5, 4, 8, 6, 5, 0, 4, 6, 0, 5, 7]",0.10325193405151367,13,1,22.0,1,"[0, 9, 5, 1, 2, 9, 0, 4, 8, 5, 1, 8, 9, 2, 0, 9, 2, 3, 1, 7, 9, 3, 1, 8, 2]",2,0,3.1,2,4.8210495753789475,-2.2016995689099974,0.0
0,19,21,5.3,400.0,400.0,10.0,-1,100.0,"[0, 5, 1, 2, 4, 9, 4, 6, 1, 8, 5, 7, 6, 9, 8, 2, 7, 7, 1, 2, 5, 0, 4, 3, 6]",0.10329890251159668,13,1,22.0,1,"[3, 7, 8, 9, 6, 7, 0, 5, 2, 3, 1, 3, 0, 4, 2, 0, 3, 3, 9, 8, 4, 6, 0, 5, 2]",1,0,3.1,0,-4.005472744077568,3.470761889910012,0.0
