offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,6,8,5.3,400.0,400.0,10.0,-1,100.0,"[5, 9, 6, 3, 3, 9, 4, 7, 1, 7, 1, 7, 8, 6, 9, 7, 1, 5, 8, 6, 3, 1, 2, 5, 8]",0.10309696197509766,12,1,22.0,1,"[4, 1, 8, 2, 6, 0, 5, 2, 8, 6, 5, 2, 0, 3, 4, 4, 2, 3, 0, 9, 4, 0, 7, 6, 9]",1,0,3.1,2,5.246053641968944,-0.7542686428484106,0.0
0,16,18,5.3,400.0,400.0,10.0,1,100.0,"[8, 6, 1, 3, 0, 1, 8, 5, 3, 7, 7, 8, 3, 6, 1, 7, 6, 3, 0, 5, 8, 7, 6, 1, 3]",0.10324597358703613,12,1,22.0,1,"[5, 9, 4, 2, 7, 9, 4, 0, 2, 6, 1, 9, 4, 2, 4, 2, 5, 9, 8, 2, 4, 5, 2, 9, 0]",2,0,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
0,4,6,5.3,400.0,400.0,10.0,-2,100.0,"[4, 9, 4, 3, 8, 5, 7, 8, 9, 6, 0, 5, 9, 1, 2, 3, 1, 6, 4, 2, 2, 7, 3, 4, 9]",0.10325288772583008,12,1,22.0,2,"[8, 0, 1, 6, 0, 2, 9, 5, 1, 7, 7, 6, 4, 8, 3, 9, 5, 7, 8, 0, 8, 5, 1, 6, 0]",1,0,3.1,2,4.821049575378947,2.201699568909998,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,"[4, 0, 2, 1, 7, 4, 7, 9, 7, 3, 9, 0, 5, 7, 2, 5, 1, 4, 3, 9, 7, 1, 8, 2, 0]",0.10325312614440918,12,1,22.0,2,"[8, 9, 6, 3, 5, 8, 3, 6, 2, 8, 1, 4, 6, 9, 5, 6, 8, 7, 0, 2, 4, 6, 9, 3, 5]",1,0,3.1,2,1.4931825512595793,-5.085312760156835,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[6, 0, 3, 9, 2, 5, 1, 8, 2, 0, 7, 8, 6, 2, 5, 4, 7, 1, 5, 8, 9, 8, 0, 3, 5]",0.10309004783630371,12,1,22.0,2,"[2, 4, 8, 7, 1, 6, 7, 6, 9, 5, 4, 0, 1, 9, 3, 3, 2, 0, 6, 9, 2, 1, 6, 7, 4]",2,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[1, 3, 8, 1, 7, 7, 6, 0, 2, 4, 6, 2, 0, 5, 8, 4, 7, 8, 2, 7, 4, 0, 2, 6, 0]",0.10328197479248047,12,1,22.0,2,"[9, 6, 0, 2, 6, 9, 8, 5, 1, 3, 9, 1, 4, 3, 7, 3, 1, 5, 9, 8, 5, 2, 1, 4, 8]",1,0,3.1,1,-1.4931825512595778,5.085312760156836,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,"[6, 5, 4, 9, 8, 8, 9, 5, 6, 7, 3, 7, 9, 7, 6, 4, 0, 1, 1, 2, 0, 6, 8, 5, 1]",0.10322308540344238,12,1,22.0,1,"[1, 7, 0, 3, 2, 3, 2, 1, 4, 0, 5, 2, 4, 8, 2, 3, 9, 5, 6, 5, 3, 9, 4, 2, 7]",1,0,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
0,7,9,5.3,400.0,400.0,10.0,1,100.0,"[5, 0, 8, 6, 4, 3, 0, 8, 6, 4, 3, 8, 4, 0, 2, 9, 6, 2, 7, 3, 4, 3, 2, 6, 9]",0.10319113731384277,12,1,22.0,1,"[1, 2, 9, 3, 7, 7, 1, 5, 2, 9, 7, 5, 6, 1, 9, 1, 0, 8, 5, 4, 5, 7, 0, 1, 8]",2,0,3.1,1,4.8210495753789475,-2.2016995689099974,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,"[0, 4, 3, 6, 2, 5, 2, 8, 2, 0, 8, 6, 3, 6, 7, 6, 8, 4, 7, 5, 3, 6, 8, 0, 2]",0.10325884819030762,12,1,22.0,2,"[7, 1, 5, 8, 9, 4, 1, 0, 5, 1, 7, 9, 4, 9, 5, 0, 3, 1, 2, 9, 1, 9, 7, 5, 4]",1,0,3.1,1,1.4931825512595793,-5.085312760156835,0.0
0,12,14,5.3,400.0,400.0,10.0,2,100.0,"[0, 6, 9, 8, 4, 7, 2, 5, 3, 4, 8, 2, 5, 3, 6, 2, 9, 1, 3, 5, 6, 0, 4, 1, 9]",0.10398316383361816,12,1,22.0,2,"[2, 5, 1, 3, 7, 6, 8, 0, 9, 1, 7, 4, 0, 1, 9, 8, 6, 0, 7, 4, 5, 8, 2, 7, 3]",1,0,3.1,-1,-1.4931825512595758,-5.085312760156836,0.0
