offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,6,8,5.3,400.0,400.0,10.0,1,100.0,"[5, 0, 8, 1, 8, 6, 3, 4, 5, 9, 0, 8, 6, 7, 2, 5, 1, 3, 7, 9, 7, 1, 2, 3, 9]",0.10307502746582031,12,1,22.0,1,"[4, 3, 7, 9, 1, 0, 2, 7, 9, 8, 3, 4, 9, 1, 5, 4, 0, 8, 2, 6, 4, 8, 6, 0, 5]",2,0,3.1,1,5.246053641968944,-0.7542686428484106,0.0
0,10,12,5.3,400.0,400.0,10.0,-2,100.0,"[2, 1, 5, 7, 3, 2, 6, 7, 1, 9, 3, 7, 0, 6, 4, 3, 4, 2, 6, 9, 1, 3, 4, 6, 5]",0.10323691368103027,12,1,22.0,1,"[6, 0, 9, 4, 8, 5, 9, 3, 8, 4, 2, 6, 5, 8, 7, 5, 8, 0, 7, 1, 9, 7, 2, 0, 8]",1,0,3.1,0,1.4931825512595793,-5.085312760156835,0.0
0,19,21,5.3,400.0,400.0,10.0,2,100.0,"[6, 5, 2, 1, 3, 5, 6, 8, 4, 0, 4, 8, 9, 6, 0, 4, 8, 0, 9, 6, 3, 4, 4, 5, 1]",0.10326194763183594,12,1,22.0,2,"[4, 9, 0, 8, 7, 1, 9, 2, 3, 7, 2, 3, 5, 7, 1, 3, 1, 1, 2, 8, 5, 7, 2, 6, 0]",2,0,3.1,-1,-4.005472744077568,3.470761889910012,0.0
0,4,6,5.3,400.0,400.0,10.0,-1,100.0,"[1, 0, 6, 4, 7, 1, 3, 3, 9, 8, 6, 4, 3, 5, 7, 6, 5, 7, 0, 8, 2, 3, 4, 8, 6]",0.10327386856079102,12,1,22.0,1,"[9, 4, 2, 9, 0, 8, 5, 4, 7, 0, 2, 9, 1, 0, 8, 3, 9, 1, 4, 2, 7, 5, 1, 9, 0]",1,0,3.1,2,4.821049575378947,2.201699568909998,0.0
0,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[2, 1, 5, 9, 6, 4, 2, 0, 5, 8, 6, 1, 4, 2, 3, 0, 8, 2, 9, 7, 5, 3, 1, 6, 7]",0.10327696800231934,12,1,22.0,1,"[7, 3, 0, 4, 8, 6, 3, 1, 4, 9, 7, 8, 0, 5, 9, 5, 6, 3, 1, 4, 0, 2, 9, 8, 4]",1,0,3.1,1,4.005472744077569,-3.47076188991001,0.0
0,19,21,5.3,400.0,400.0,10.0,2,100.0,"[7, 1, 4, 5, 9, 7, 0, 5, 1, 9, 9, 1, 7, 5, 8, 6, 5, 0, 4, 6, 7, 5, 9, 2, 1]",0.10325217247009277,12,1,22.0,1,"[6, 2, 0, 3, 8, 2, 8, 3, 6, 4, 4, 0, 2, 6, 3, 2, 1, 1, 2, 9, 8, 3, 6, 4, 8]",1,0,3.1,-1,-4.005472744077568,3.470761889910012,0.0
0,17,19,5.3,400.0,400.0,10.0,2,100.0,"[2, 5, 7, 1, 9, 8, 5, 1, 7, 0, 8, 3, 9, 6, 7, 1, 5, 8, 7, 0, 4, 7, 3, 8, 2]",0.10326194763183594,12,1,22.0,1,"[8, 0, 4, 6, 3, 4, 2, 9, 6, 3, 2, 5, 4, 0, 1, 3, 6, 4, 9, 2, 0, 6, 9, 5, 1]",2,0,3.1,-1,-5.246053641968944,0.7542686428484098,0.0
0,2,4,5.3,400.0,400.0,10.0,1,100.0,"[0, 4, 6, 9, 3, 0, 8, 9, 6, 7, 1, 8, 7, 5, 3, 2, 6, 9, 5, 7, 9, 2, 8, 3, 6]",0.10327410697937012,12,1,22.0,1,"[1, 7, 5, 2, 8, 3, 1, 2, 5, 4, 6, 0, 2, 9, 4, 1, 3, 4, 0, 8, 1, 5, 7, 4, 0]",2,0,3.1,1,2.865396332514667,4.4586437240052605,0.0
0,4,6,5.3,400.0,400.0,10.0,-1,100.0,"[3, 0, 2, 8, 6, 4, 3, 0, 3, 7, 8, 0, 1, 3, 4, 8, 2, 9, 0, 4, 2, 1, 0, 4, 5]",0.1032860279083252,12,1,22.0,2,"[4, 6, 5, 7, 1, 0, 9, 5, 1, 9, 5, 2, 6, 7, 9, 1, 5, 3, 6, 7, 6, 9, 3, 8, 7]",2,0,3.1,2,4.821049575378947,2.201699568909998,0.0
0,9,11,5.3,400.0,400.0,10.0,1,100.0,"[9, 5, 3, 7, 2, 5, 1, 6, 8, 3, 7, 0, 1, 2, 8, 4, 2, 6, 7, 0, 2, 6, 9, 3, 1]",0.10325813293457031,12,1,22.0,1,"[1, 6, 0, 4, 8, 2, 6, 5, 4, 9, 1, 2, 4, 6, 9, 9, 1, 3, 5, 8, 4, 7, 8, 0, 5]",2,0,3.1,-1,2.8653963325146665,-4.4586437240052605,0.0
