offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,5,7,5.3,400.0,400.0,10.0,-2,100.0,"[5, 8, 1, 0, 4, 5, 9, 1, 1, 9, 1, 4, 0, 5, 2, 7, 9, 2, 0, 1, 3, 4, 7, 6, 9]",0.10332489013671875,11,0,22.0,2,"[6, 2, 7, 2, 6, 7, 3, 8, 0, 7, 3, 9, 8, 6, 7, 5, 6, 3, 8, 4, 2, 1, 8, 5, 0]",1,-12,3.1,-2,5.246053641968943,0.7542686428484122,0.0
0,1,3,5.3,400.0,400.0,10.0,1,100.0,"[0, 9, 1, 8, 0, 8, 3, 6, 0, 4, 1, 3, 9, 7, 8, 4, 6, 7, 0, 1, 8, 4, 5, 9, 7]",0.10324501991271973,11,0,22.0,1,"[2, 5, 7, 6, 7, 5, 9, 2, 7, 1, 0, 2, 5, 4, 6, 5, 8, 3, 2, 9, 6, 3, 3, 4, 2]",1,-12,3.1,0,1.493182551259577,5.085312760156836,0.0
0,9,11,5.3,400.0,400.0,10.0,2,100.0,"[4, 3, 6, 2, 1, 7, 9, 6, 4, 0, 3, 5, 8, 6, 9, 6, 7, 1, 8, 2, 7, 3, 8, 4, 9]",0.10325193405151367,11,0,22.0,1,"[9, 0, 7, 5, 8, 8, 2, 9, 1, 8, 7, 2, 2, 5, 1, 9, 3, 0, 5, 4, 1, 5, 2, 6, 0]",1,-12,3.1,0,2.8653963325146665,-4.4586437240052605,0.0
0,6,8,5.3,400.0,400.0,10.0,1,100.0,"[3, 1, 5, 6, 1, 8, 0, 7, 9, 9, 0, 7, 8, 5, 2, 6, 9, 4, 5, 7, 9, 5, 7, 6, 0]",0.10325908660888672,11,0,22.0,2,"[8, 7, 9, 2, 6, 3, 4, 2, 5, 7, 6, 9, 4, 1, 3, 3, 0, 2, 1, 8, 4, 3, 8, 1, 2]",2,-12,3.1,-2,5.246053641968944,-0.7542686428484106,0.0
0,15,17,5.3,400.0,400.0,10.0,2,100.0,"[9, 6, 5, 8, 2, 9, 7, 4, 2, 6, 6, 8, 1, 7, 5, 8, 3, 2, 8, 6, 1, 5, 0, 2, 4]",0.1032400131225586,11,0,22.0,1,"[1, 3, 0, 7, 4, 5, 3, 1, 8, 0, 9, 7, 4, 6, 9, 4, 1, 0, 2, 7, 3, 8, 6, 7, 9]",2,-12,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,19,21,5.3,400.0,400.0,10.0,-1,100.0,"[2, 0, 1, 3, 9, 2, 4, 6, 5, 7, 9, 3, 5, 6, 4, 4, 9, 6, 0, 4, 9, 5, 1, 4, 7]",0.10327386856079102,11,0,22.0,2,"[6, 4, 8, 7, 5, 0, 3, 8, 9, 1, 1, 0, 8, 7, 2, 8, 2, 3, 7, 8, 1, 2, 2, 6, 8]",1,-12,3.1,0,-4.005472744077568,3.470761889910012,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[0, 1, 9, 0, 5, 7, 3, 8, 3, 6, 8, 5, 4, 0, 3, 9, 6, 3, 7, 4, 6, 8, 2, 5, 1]",0.10326290130615234,11,0,22.0,1,"[2, 7, 6, 4, 1, 2, 8, 7, 1, 0, 6, 2, 9, 1, 7, 0, 8, 1, 2, 5, 3, 4, 0, 7, 9]",2,-12,3.1,1,4.821049575378947,2.201699568909998,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,"[6, 7, 0, 9, 6, 4, 2, 8, 9, 4, 4, 2, 6, 7, 5, 9, 8, 0, 7, 2, 6, 5, 2, 4, 1]",0.10321307182312012,11,0,22.0,1,"[8, 2, 9, 5, 7, 0, 3, 1, 3, 7, 9, 0, 1, 8, 3, 4, 5, 3, 1, 6, 8, 3, 0, 7, 9]",2,-12,3.1,0,5.246053641968943,0.7542686428484122,0.0
0,11,13,5.3,400.0,400.0,10.0,2,100.0,"[0, 6, 5, 2, 3, 9, 4, 1, 3, 4, 7, 5, 6, 1, 0, 8, 5, 3, 6, 2, 1, 2, 7, 3, 5]",0.10325098037719727,11,0,22.0,1,"[4, 1, 7, 9, 8, 5, 0, 7, 8, 8, 3, 9, 0, 2, 6, 4, 9, 0, 7, 1, 0, 9, 8, 4, 6]",2,-12,3.1,-2,6.490413675258599e-16,-5.3,0.0
0,13,15,5.3,400.0,400.0,10.0,0,100.0,"[2, 5, 9, 1, 8, 3, 0, 5, 9, 1, 0, 9, 3, 1, 0, 2, 7, 9, 6, 1, 9, 0, 6, 4, 1]",0.1032569408416748,11,0,22.0,2,"[7, 4, 6, 3, 0, 7, 4, 6, 8, 2, 8, 8, 5, 4, 6, 7, 4, 8, 2, 5, 5, 8, 2, 7, 3]",1,-12,3.1,2,-2.865396332514667,-4.4586437240052605,0.0
