offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,18,20,5.3,400.0,400.0,10.0,-2,100.0,"[7, 6, 8, 3, 0, 2, 9, 1, 7, 4, 8, 6, 2, 1, 9, 3, 7, 6, 5, 1, 2, 1, 4, 7, 9]",0.10327887535095215,8,5,22.0,2,"[9, 1, 2, 5, 4, 3, 8, 6, 0, 5, 3, 4, 7, 0, 5, 4, 4, 3, 9, 0, 8, 2, 0, 8, 6]",2,8,3.1,2,-4.821049575378947,2.20169956891,0.0
10,15,17,5.3,400.0,400.0,10.0,2,100.0,"[4, 6, 0, 3, 8, 5, 9, 2, 8, 3, 6, 3, 2, 7, 5, 9, 1, 2, 8, 5, 4, 2, 6, 9, 8]",0.10325288772583008,8,5,22.0,1,"[1, 2, 9, 5, 7, 0, 1, 6, 4, 7, 7, 0, 9, 3, 8, 6, 4, 0, 1, 6, 7, 3, 5, 0, 1]",2,8,3.1,-1,-4.821049575378945,-2.201699568910002,0.0
10,12,14,5.3,400.0,400.0,10.0,0,100.0,"[6, 9, 2, 1, 7, 4, 6, 9, 2, 3, 1, 0, 4, 3, 6, 3, 0, 7, 1, 2, 7, 8, 4, 6, 2]",0.10323381423950195,8,5,22.0,2,"[5, 4, 0, 8, 3, 8, 7, 5, 0, 1, 8, 2, 9, 5, 7, 8, 9, 6, 4, 5, 1, 9, 3, 5, 0]",2,8,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
10,18,20,5.3,400.0,400.0,10.0,-1,100.0,"[5, 1, 0, 8, 7, 2, 7, 8, 0, 4, 7, 5, 9, 0, 4, 6, 9, 3, 7, 4, 8, 2, 4, 7, 0]",0.10327005386352539,8,5,22.0,1,"[3, 2, 9, 6, 4, 6, 5, 3, 1, 9, 8, 1, 3, 6, 2, 2, 6, 2, 0, 5, 1, 6, 1, 9, 3]",1,8,3.1,-2,-4.821049575378947,2.20169956891,0.0
10,2,4,5.3,400.0,400.0,10.0,0,100.0,"[0, 5, 6, 1, 3, 5, 4, 1, 9, 0, 7, 1, 9, 8, 0, 4, 5, 8, 0, 7, 1, 2, 0, 8, 9]",0.10325121879577637,8,5,22.0,2,"[9, 4, 2, 7, 8, 6, 2, 8, 7, 3, 6, 5, 3, 2, 4, 3, 1, 6, 9, 2, 3, 7, 4, 5, 6]",1,8,3.1,1,2.865396332514667,4.4586437240052605,0.0
10,13,15,5.3,400.0,400.0,10.0,1,100.0,"[7, 5, 9, 0, 1, 0, 9, 3, 4, 2, 6, 7, 6, 3, 4, 5, 0, 1, 8, 3, 6, 5, 3, 0, 8]",0.10316610336303711,8,5,22.0,2,"[4, 6, 8, 3, 2, 6, 7, 1, 5, 8, 7, 8, 2, 9, 0, 1, 5, 6, 2, 9, 7, 4, 2, 9, 1]",1,8,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
10,8,10,5.3,400.0,400.0,10.0,0,100.0,"[8, 3, 0, 1, 2, 9, 6, 1, 5, 7, 0, 4, 5, 8, 6, 2, 3, 9, 1, 4, 9, 0, 2, 8, 7]",0.10317397117614746,8,5,22.0,1,"[9, 7, 4, 6, 5, 7, 2, 4, 8, 3, 9, 3, 0, 2, 1, 0, 7, 5, 8, 6, 4, 3, 5, 1, 6]",2,8,3.1,1,4.005472744077569,-3.47076188991001,0.0
10,5,7,5.3,400.0,400.0,10.0,0,100.0,"[9, 3, 2, 9, 3, 7, 1, 4, 7, 4, 1, 4, 8, 2, 9, 2, 1, 0, 4, 7, 2, 7, 8, 3, 5]",0.10319209098815918,8,5,22.0,2,"[8, 4, 1, 6, 5, 0, 8, 2, 0, 3, 0, 6, 3, 5, 7, 9, 3, 6, 8, 5, 6, 4, 9, 1, 0]",1,8,3.1,-2,5.246053641968943,0.7542686428484122,0.0
10,11,13,5.3,400.0,400.0,10.0,2,100.0,"[5, 8, 1, 3, 2, 6, 5, 4, 0, 8, 5, 4, 6, 9, 7, 1, 4, 0, 3, 9, 9, 1, 6, 5, 0]",0.10322380065917969,8,5,22.0,2,"[7, 6, 9, 4, 0, 3, 1, 9, 8, 1, 0, 7, 3, 2, 8, 5, 8, 2, 7, 6, 2, 8, 7, 3, 4]",2,8,3.1,-2,6.490413675258599e-16,-5.3,0.0
10,14,16,5.3,400.0,400.0,10.0,-2,100.0,"[5, 4, 6, 7, 1, 4, 9, 8, 1, 7, 7, 1, 5, 9, 0, 7, 6, 2, 7, 1, 6, 8, 5, 4, 7]",0.10317206382751465,8,5,22.0,1,"[2, 3, 9, 8, 0, 6, 3, 2, 5, 0, 3, 0, 1, 4, 3, 8, 2, 3, 5, 8, 0, 1, 9, 2, 3]",2,8,3.1,0,-4.005472744077568,-3.4707618899100114,0.0
