offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,12,14,5.3,400.0,400.0,10.0,-1,100.0,"[0, 5, 3, 7, 6, 0, 1, 7, 5, 3, 2, 4, 3, 7, 0, 2, 1, 3, 8, 9, 2, 8, 5, 6, 3]",0.10326194763183594,11,0,22.0,2,"[2, 8, 1, 9, 4, 8, 6, 4, 2, 9, 9, 6, 8, 1, 5, 7, 6, 0, 5, 4, 7, 1, 4, 0, 9]",2,-12,3.1,-2,-1.4931825512595758,-5.085312760156836,0.0
0,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[9, 4, 3, 0, 6, 2, 3, 4, 7, 9, 7, 1, 9, 6, 3, 8, 5, 7, 1, 0, 5, 9, 2, 3, 4]",0.10329890251159668,11,0,22.0,1,"[1, 2, 8, 7, 5, 1, 6, 8, 0, 5, 8, 2, 3, 5, 0, 4, 9, 6, 2, 3, 1, 8, 7, 6, 0]",1,-12,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
0,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[3, 2, 8, 4, 9, 7, 0, 3, 5, 4, 3, 0, 7, 6, 9, 1, 8, 7, 1, 3, 4, 6, 3, 2, 5]",0.10317707061767578,11,0,22.0,1,"[1, 7, 6, 0, 5, 9, 2, 1, 8, 6, 1, 3, 2, 4, 8, 5, 2, 0, 6, 9, 0, 9, 8, 7, 1]",2,-12,3.1,1,-2.865396332514667,-4.4586437240052605,0.0
0,18,20,5.3,400.0,400.0,10.0,-1,100.0,"[5, 9, 2, 0, 1, 1, 9, 5, 0, 6, 3, 8, 9, 5, 6, 2, 5, 9, 0, 7, 4, 8, 7, 3, 2]",0.10322093963623047,11,0,22.0,2,"[3, 7, 4, 6, 8, 4, 3, 8, 7, 2, 1, 4, 0, 7, 2, 9, 8, 1, 3, 2, 6, 5, 9, 6, 1]",1,-12,3.1,-2,-4.821049575378947,2.20169956891,0.0
0,19,21,5.3,400.0,400.0,10.0,-1,100.0,"[0, 8, 1, 2, 3, 2, 0, 9, 3, 6, 4, 2, 6, 1, 3, 4, 2, 2, 1, 0, 6, 8, 8, 7, 1]",0.10309314727783203,11,0,22.0,2,"[7, 9, 6, 5, 4, 5, 4, 8, 7, 1, 5, 7, 8, 9, 0, 0, 9, 7, 9, 5, 4, 3, 3, 4, 0]",1,-12,3.1,-1,-4.005472744077568,3.470761889910012,0.0
0,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[2, 6, 0, 1, 9, 6, 3, 5, 0, 7, 0, 6, 4, 2, 8, 3, 7, 9, 0, 2, 4, 9, 5, 2, 6]",0.10317802429199219,11,0,22.0,2,"[4, 5, 3, 7, 8, 1, 9, 4, 2, 8, 8, 0, 9, 5, 1, 7, 4, 8, 3, 1, 3, 1, 0, 7, 8]",1,-12,3.1,-1,-2.865396332514667,-4.4586437240052605,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,"[7, 0, 4, 5, 7, 3, 6, 3, 5, 0, 6, 2, 1, 4, 5, 4, 7, 9, 0, 1, 2, 5, 4, 3, 0]",0.10326719284057617,11,0,22.0,1,"[1, 2, 1, 9, 8, 6, 7, 1, 4, 8, 9, 8, 3, 7, 0, 6, 2, 8, 5, 3, 7, 1, 8, 9, 6]",2,-12,3.1,-2,4.005472744077569,3.470761889910011,0.0
0,8,10,5.3,400.0,400.0,10.0,1,100.0,"[5, 8, 3, 9, 4, 7, 1, 0, 2, 7, 5, 9, 3, 5, 7, 8, 9, 2, 5, 3, 4, 2, 8, 9, 5]",0.10308098793029785,11,0,22.0,1,"[1, 0, 2, 6, 7, 5, 3, 4, 9, 6, 8, 4, 8, 0, 1, 7, 6, 0, 1, 4, 1, 3, 6, 0, 7]",1,-12,3.1,0,4.005472744077569,-3.47076188991001,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[1, 2, 7, 6, 9, 1, 5, 3, 4, 6, 3, 9, 8, 5, 0, 9, 5, 2, 3, 8, 5, 9, 0, 6, 8]",0.1031038761138916,11,0,22.0,2,"[0, 4, 5, 1, 3, 7, 9, 2, 0, 8, 6, 7, 4, 2, 1, 0, 1, 8, 4, 3, 6, 7, 7, 4, 9]",2,-12,3.1,2,-1.4931825512595778,5.085312760156836,0.0
0,1,3,5.3,400.0,400.0,10.0,0,100.0,"[1, 5, 0, 4, 7, 9, 0, 4, 6, 7, 7, 0, 2, 9, 1, 5, 2, 1, 9, 0, 3, 9, 7, 8, 2]",0.10310006141662598,11,0,22.0,1,"[3, 6, 2, 7, 0, 3, 8, 2, 5, 1, 6, 4, 5, 3, 8, 4, 3, 7, 6, 8, 0, 8, 4, 5, 9]",2,-12,3.1,0,1.493182551259577,5.085312760156836,0.0
