offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,12,14,5.3,400.0,400.0,10.0,1,100.0,"[7, 6, 4, 8, 5, 9, 2, 3, 5, 7, 3, 6, 5, 0, 1, 4, 3, 2, 8, 9, 6, 5, 0, 8, 3]",0.10326910018920898,13,1,22.0,1,"[1, 3, 0, 9, 2, 6, 0, 8, 4, 1, 2, 4, 8, 7, 9, 1, 0, 7, 5, 6, 4, 9, 2, 7, 1]",2,0,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
0,17,19,5.3,400.0,400.0,10.0,2,100.0,"[0, 5, 1, 3, 2, 9, 0, 5, 3, 1, 1, 9, 6, 3, 0, 6, 5, 9, 1, 4, 4, 1, 3, 7, 6]",0.10326910018920898,13,1,22.0,2,"[4, 6, 8, 9, 7, 8, 2, 7, 4, 6, 8, 4, 5, 2, 7, 8, 3, 2, 7, 0, 2, 8, 9, 0, 5]",2,0,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,"[8, 7, 0, 9, 1, 0, 5, 6, 3, 2, 4, 8, 7, 8, 0, 6, 2, 7, 7, 5, 9, 6, 3, 1, 8]",0.1032419204711914,13,1,22.0,2,"[5, 3, 6, 4, 2, 9, 4, 8, 1, 7, 3, 2, 0, 9, 4, 5, 3, 1, 3, 6, 5, 7, 4, 2, 0]",2,0,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,11,13,5.3,400.0,400.0,10.0,1,100.0,"[6, 0, 4, 7, 8, 4, 6, 7, 1, 3, 6, 8, 7, 1, 1, 4, 0, 2, 6, 9, 4, 5, 6, 3, 1]",0.10328912734985352,13,1,22.0,1,"[9, 1, 3, 5, 2, 5, 8, 2, 9, 5, 9, 4, 2, 0, 2, 8, 5, 7, 3, 1, 8, 9, 2, 0, 7]",2,0,3.1,-2,6.490413675258599e-16,-5.3,0.0
0,8,10,5.3,400.0,400.0,10.0,0,100.0,"[5, 0, 9, 8, 1, 3, 2, 3, 8, 6, 7, 1, 7, 9, 4, 8, 6, 7, 9, 0, 7, 3, 9, 8, 0]",0.10326194763183594,13,1,22.0,2,"[7, 2, 3, 4, 6, 2, 4, 5, 1, 0, 9, 5, 6, 2, 0, 3, 2, 4, 5, 1, 6, 4, 1, 5, 2]",2,0,3.1,2,4.005472744077569,-3.47076188991001,0.0
0,9,11,5.3,400.0,400.0,10.0,1,100.0,"[5, 3, 0, 4, 7, 4, 7, 7, 9, 8, 4, 1, 1, 8, 5, 8, 2, 9, 5, 7, 8, 3, 9, 6, 2]",0.10323691368103027,13,1,22.0,1,"[6, 9, 1, 2, 8, 9, 2, 3, 5, 2, 6, 0, 3, 6, 0, 6, 3, 1, 4, 0, 4, 5, 0, 7, 1]",1,0,3.1,-1,2.8653963325146665,-4.4586437240052605,0.0
0,19,21,5.3,400.0,400.0,10.0,-2,100.0,"[5, 0, 1, 3, 9, 1, 3, 9, 5, 4, 8, 0, 5, 9, 7, 8, 6, 4, 5, 1, 8, 6, 6, 9, 3]",0.10306596755981445,13,1,22.0,1,"[8, 6, 2, 7, 4, 6, 2, 8, 0, 7, 4, 2, 3, 6, 1, 2, 3, 9, 0, 7, 3, 2, 0, 7, 4]",1,0,3.1,0,-4.005472744077568,3.470761889910012,0.0
0,9,11,5.3,400.0,400.0,10.0,-1,100.0,"[2, 3, 8, 0, 5, 8, 5, 2, 8, 7, 6, 3, 7, 0, 6, 2, 8, 4, 7, 0, 9, 3, 7, 6, 0]",0.10324907302856445,13,1,22.0,2,"[1, 7, 4, 9, 6, 2, 0, 5, 4, 1, 9, 0, 9, 2, 1, 3, 9, 5, 1, 6, 8, 1, 4, 2, 5]",2,0,3.1,0,2.8653963325146665,-4.4586437240052605,0.0
0,15,17,5.3,400.0,400.0,10.0,-2,100.0,"[9, 3, 6, 8, 2, 9, 8, 4, 0, 3, 0, 5, 2, 4, 6, 7, 9, 1, 5, 2, 9, 8, 5, 4, 2]",0.1033029556274414,13,1,22.0,1,"[5, 7, 0, 4, 1, 6, 7, 2, 5, 1, 4, 3, 6, 3, 5, 0, 8, 2, 6, 7, 6, 3, 0, 7, 1]",1,0,3.1,1,-4.821049575378945,-2.201699568910002,0.0
0,16,18,5.3,400.0,400.0,10.0,-2,100.0,"[8, 3, 7, 5, 9, 7, 5, 4, 6, 0, 2, 1, 6, 4, 5, 9, 7, 4, 3, 8, 6, 9, 8, 4, 7]",0.10323214530944824,13,1,22.0,1,"[0, 2, 1, 4, 6, 9, 2, 1, 3, 8, 7, 9, 3, 5, 0, 6, 2, 1, 8, 2, 0, 3, 5, 2, 1]",2,0,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
