offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,17,19,5.3,400.0,400.0,10.0,1,100.0,"[7, 4, 1, 0, 5, 1, 3, 0, 4, 2, 3, 4, 7, 9, 5, 2, 3, 0, 5, 4, 3, 7, 4, 6, 1]",0.10318303108215332,9,0,22.0,2,"[6, 9, 3, 8, 2, 7, 5, 6, 8, 9, 6, 0, 1, 8, 2, 6, 8, 9, 1, 7, 8, 0, 2, 5, 9]",1,-10.5,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[5, 1, 2, 8, 7, 4, 2, 8, 5, 9, 5, 3, 1, 2, 9, 8, 2, 0, 6, 7, 4, 2, 7, 5, 3]",0.10323095321655273,9,0,22.0,2,"[6, 4, 9, 3, 0, 3, 6, 1, 7, 0, 0, 7, 0, 4, 5, 6, 4, 1, 3, 5, 9, 0, 8, 6, 1]",2,-10.5,3.1,1,-2.865396332514667,-4.4586437240052605,0.0
0,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[7, 4, 9, 3, 6, 6, 2, 3, 4, 6, 8, 4, 9, 7, 8, 2, 7, 6, 9, 4, 3, 9, 7, 6, 8]",0.10307192802429199,9,0,22.0,2,"[2, 1, 8, 0, 5, 9, 7, 9, 5, 0, 1, 2, 1, 3, 6, 1, 5, 0, 8, 3, 4, 0, 5, 1, 2]",1,-10.5,3.1,-1,4.005472744077569,-3.47076188991001,0.0
0,13,15,5.3,400.0,400.0,10.0,-2,100.0,"[3, 1, 6, 4, 8, 1, 7, 5, 0, 4, 8, 7, 6, 9, 3, 1, 8, 7, 6, 5, 3, 4, 2, 5, 9]",0.10305595397949219,9,0,22.0,2,"[5, 2, 7, 9, 0, 9, 2, 8, 3, 6, 3, 5, 0, 8, 2, 4, 2, 4, 9, 3, 6, 7, 8, 0, 1]",2,-10.5,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,12,14,5.3,400.0,400.0,10.0,2,100.0,"[0, 7, 3, 9, 5, 7, 1, 0, 8, 3, 3, 4, 0, 2, 8, 6, 2, 7, 3, 4, 3, 0, 5, 7, 1]",0.10326600074768066,9,0,22.0,1,"[2, 1, 8, 6, 4, 2, 6, 5, 4, 9, 1, 6, 9, 7, 5, 1, 5, 0, 8, 9, 4, 9, 6, 2, 8]",1,-10.5,3.1,0,-1.4931825512595758,-5.085312760156836,0.0
0,3,5,5.3,400.0,400.0,10.0,-2,100.0,"[9, 7, 5, 4, 8, 3, 6, 7, 9, 2, 3, 7, 1, 6, 2, 1, 0, 2, 4, 6, 4, 2, 3, 9, 0]",0.10323405265808105,9,0,22.0,2,"[4, 1, 2, 0, 9, 6, 3, 5, 0, 8, 0, 5, 9, 4, 8, 8, 3, 5, 7, 9, 6, 1, 8, 5, 7]",1,-10.5,3.1,1,4.005472744077569,3.470761889910011,0.0
0,11,13,5.3,400.0,400.0,10.0,2,100.0,"[5, 4, 0, 3, 2, 1, 4, 0, 6, 7, 4, 1, 5, 8, 4, 2, 0, 5, 3, 7, 0, 3, 5, 7, 1]",0.10324788093566895,9,0,22.0,2,"[8, 7, 9, 1, 6, 5, 8, 3, 9, 6, 0, 9, 3, 2, 7, 6, 4, 1, 8, 9, 8, 4, 2, 6, 9]",1,-10.5,3.1,0,6.490413675258599e-16,-5.3,0.0
0,14,16,5.3,400.0,400.0,10.0,2,100.0,"[8, 2, 1, 0, 3, 8, 2, 0, 4, 1, 4, 5, 4, 8, 5, 1, 2, 9, 6, 1, 7, 9, 2, 1, 3]",0.10317802429199219,9,0,22.0,1,"[9, 4, 6, 5, 7, 5, 7, 6, 9, 3, 9, 2, 0, 9, 7, 3, 6, 7, 3, 2, 5, 0, 4, 8, 6]",1,-10.5,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
0,11,13,5.3,400.0,400.0,10.0,0,100.0,"[0, 8, 3, 9, 5, 7, 5, 2, 9, 6, 0, 8, 9, 3, 3, 9, 4, 6, 2, 0, 1, 4, 0, 9, 2]",0.10321903228759766,9,0,22.0,2,"[2, 7, 4, 1, 6, 8, 0, 1, 4, 7, 2, 4, 1, 5, 0, 7, 3, 1, 8, 5, 6, 8, 7, 3, 5]",1,-10.5,3.1,-2,6.490413675258599e-16,-5.3,0.0
0,11,13,5.3,400.0,400.0,10.0,0,100.0,"[9, 2, 0, 3, 6, 4, 0, 5, 9, 3, 4, 1, 9, 8, 9, 4, 3, 0, 6, 8, 1, 9, 6, 2, 5]",0.10326600074768066,9,0,22.0,1,"[4, 1, 8, 7, 5, 3, 8, 6, 1, 7, 5, 6, 2, 0, 1, 5, 9, 2, 1, 7, 4, 7, 3, 8, 0]",2,-10.5,3.1,-2,6.490413675258599e-16,-5.3,0.0
