offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,15,17,5.3,400.0,400.0,10.0,0,100.0,"[0, 2, 8, 5, 7, 8, 9, 1, 0, 7, 0, 4, 7, 5, 8, 2, 1, 4, 3, 2, 0, 1, 4, 5, 2]",0.10325288772583008,8,5,22.0,2,"[6, 3, 1, 9, 4, 5, 2, 3, 6, 4, 8, 1, 2, 0, 6, 3, 9, 7, 1, 7, 6, 3, 7, 9, 8]",1,8,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
10,12,14,5.3,400.0,400.0,10.0,-1,100.0,"[3, 2, 4, 6, 0, 9, 0, 8, 7, 2, 0, 8, 1, 2, 5, 7, 0, 4, 3, 1, 5, 3, 1, 0, 8]",0.10338020324707031,8,5,22.0,1,"[5, 8, 7, 9, 1, 5, 4, 1, 6, 3, 3, 4, 7, 9, 6, 9, 6, 5, 2, 8, 7, 4, 2, 6, 9]",1,8,3.1,0,-1.4931825512595758,-5.085312760156836,0.0
10,11,13,5.3,400.0,400.0,10.0,-1,100.0,"[0, 8, 2, 5, 6, 1, 9, 3, 8, 8, 9, 1, 3, 7, 5, 1, 6, 7, 2, 9, 0, 1, 8, 2, 3]",0.10327816009521484,8,5,22.0,2,"[4, 7, 9, 3, 1, 7, 0, 2, 4, 6, 5, 4, 0, 2, 0, 5, 8, 0, 4, 3, 4, 5, 6, 9, 7]",1,8,3.1,1,6.490413675258599e-16,-5.3,0.0
10,20,0,5.3,400.0,400.0,10.0,1,100.0,"[1, 8, 2, 0, 5, 8, 2, 1, 0, 9, 4, 0, 9, 5, 2, 1, 5, 2, 5, 7, 6, 2, 9, 6, 4]",0.10325312614440918,8,5,22.0,2,"[4, 7, 6, 9, 4, 7, 5, 4, 6, 3, 6, 1, 8, 3, 7, 9, 0, 4, 3, 9, 0, 8, 7, 8, 3]",1,8,3.1,-2,-2.8653963325146705,4.458643724005258,0.0
10,1,3,5.3,400.0,400.0,10.0,-1,100.0,"[8, 2, 6, 3, 4, 3, 2, 9, 1, 4, 1, 8, 7, 6, 2, 3, 1, 7, 0, 2, 7, 4, 0, 5, 9]",0.10324692726135254,8,5,22.0,1,"[7, 0, 5, 1, 3, 7, 0, 8, 6, 5, 3, 0, 9, 5, 4, 6, 9, 5, 8, 4, 1, 9, 8, 2, 4]",2,8,3.1,0,1.493182551259577,5.085312760156836,0.0
10,21,1,5.3,400.0,400.0,10.0,-1,100.0,"[4, 0, 4, 3, 0, 3, 0, 7, 1, 9, 1, 6, 0, 4, 3, 6, 4, 9, 3, 7, 6, 5, 5, 6, 2]",0.10325098037719727,8,5,22.0,1,"[9, 1, 1, 2, 7, 4, 8, 6, 5, 2, 2, 7, 8, 9, 5, 1, 2, 8, 5, 3, 2, 8, 8, 0, 9]",1,8,3.1,1,-1.4931825512595778,5.085312760156836,0.0
10,14,16,5.3,400.0,400.0,10.0,1,100.0,"[0, 2, 3, 6, 5, 9, 4, 8, 7, 2, 0, 3, 9, 3, 0, 4, 1, 4, 6, 7, 4, 1, 9, 6, 5]",0.10325098037719727,8,5,22.0,2,"[4, 8, 7, 9, 1, 1, 5, 6, 0, 3, 5, 6, 2, 5, 8, 7, 6, 3, 0, 5, 7, 3, 8, 2, 0]",2,8,3.1,2,-4.005472744077568,-3.4707618899100114,0.0
10,17,19,5.3,400.0,400.0,10.0,0,100.0,"[3, 5, 4, 9, 0, 7, 5, 2, 8, 3, 4, 1, 8, 0, 2, 4, 2, 6, 1, 5, 0, 5, 9, 8, 3]",0.10325884819030762,8,5,22.0,1,"[7, 6, 1, 8, 2, 6, 0, 1, 9, 4, 7, 5, 3, 9, 6, 7, 0, 3, 9, 8, 6, 7, 2, 1, 4]",2,8,3.1,0,-5.246053641968944,0.7542686428484098,0.0
10,4,6,5.3,400.0,400.0,10.0,2,100.0,"[5, 3, 8, 4, 7, 6, 1, 2, 1, 7, 3, 2, 9, 7, 1, 5, 7, 8, 2, 6, 3, 2, 8, 5, 1]",0.10325193405151367,8,5,22.0,2,"[7, 0, 5, 2, 3, 0, 9, 6, 3, 4, 0, 6, 4, 5, 8, 1, 0, 9, 4, 3, 4, 6, 0, 7, 9]",2,8,3.1,1,4.821049575378947,2.201699568909998,0.0
10,15,17,5.3,400.0,400.0,10.0,-1,100.0,"[8, 3, 1, 5, 2, 5, 6, 7, 4, 8, 3, 6, 5, 4, 2, 5, 9, 1, 8, 3, 9, 3, 2, 5, 4]",0.1030569076538086,8,5,22.0,2,"[9, 7, 6, 4, 0, 9, 3, 0, 1, 2, 1, 7, 4, 0, 7, 6, 3, 8, 2, 4, 8, 7, 6, 1, 0]",2,8,3.1,1,-4.821049575378945,-2.201699568910002,0.0
