offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,13,15,5.3,400.0,400.0,10.0,1,100.0,"[0, 7, 3, 5, 9, 5, 9, 1, 8, 0, 4, 3, 2, 4, 7, 5, 5, 3, 6, 9, 9, 8, 6, 1, 5]",0.10326290130615234,8,5,22.0,1,"[1, 2, 6, 8, 4, 7, 6, 2, 3, 4, 2, 6, 8, 1, 9, 0, 2, 4, 7, 1, 0, 2, 4, 3, 7]",1,8,3.1,-1,-2.865396332514667,-4.4586437240052605,0.0
10,0,2,5.3,400.0,400.0,10.0,1,100.0,"[5, 7, 2, 3, 6, 4, 0, 6, 8, 1, 7, 5, 9, 6, 1, 6, 4, 3, 7, 8, 1, 3, 4, 6, 8]",0.10326600074768066,8,5,22.0,1,"[0, 9, 4, 5, 9, 7, 9, 5, 2, 3, 0, 2, 4, 8, 3, 9, 0, 5, 2, 1, 6, 8, 1, 9, 0]",1,8,3.1,0,0.0,5.3,0.0
10,4,6,5.3,400.0,400.0,10.0,0,100.0,"[5, 4, 8, 4, 7, 3, 5, 2, 9, 8, 3, 5, 8, 2, 1, 4, 1, 2, 0, 6, 4, 5, 2, 3, 0]",0.10327696800231934,8,5,22.0,2,"[7, 3, 0, 9, 6, 1, 2, 3, 1, 6, 0, 7, 4, 6, 9, 3, 9, 7, 8, 5, 6, 1, 9, 8, 7]",1,8,3.1,-1,4.821049575378947,2.201699568909998,0.0
10,2,4,5.3,400.0,400.0,10.0,0,100.0,"[0, 7, 9, 2, 4, 4, 3, 5, 0, 7, 1, 2, 6, 8, 0, 6, 8, 0, 7, 4, 7, 3, 1, 9, 5]",0.103118896484375,8,5,22.0,1,"[5, 6, 1, 3, 8, 1, 6, 9, 2, 8, 3, 7, 4, 9, 5, 2, 5, 1, 3, 9, 0, 6, 4, 2, 8]",2,8,3.1,0,2.865396332514667,4.4586437240052605,0.0
10,8,10,5.3,400.0,400.0,10.0,-1,100.0,"[7, 1, 6, 5, 2, 3, 5, 7, 3, 1, 0, 7, 6, 9, 3, 6, 7, 5, 2, 8, 8, 2, 5, 6, 1]",0.10309314727783203,8,5,22.0,1,"[8, 0, 9, 3, 4, 2, 9, 4, 2, 8, 6, 5, 4, 1, 8, 9, 3, 4, 0, 1, 3, 0, 9, 7, 4]",1,8,3.1,-2,4.005472744077569,-3.47076188991001,0.0
10,8,10,5.3,400.0,400.0,10.0,0,100.0,"[6, 0, 7, 4, 8, 4, 6, 1, 4, 8, 5, 7, 8, 9, 1, 8, 1, 6, 3, 0, 5, 3, 6, 2, 1]",0.10326886177062988,8,5,22.0,2,"[5, 1, 3, 9, 2, 9, 2, 3, 9, 7, 0, 2, 6, 3, 0, 2, 9, 7, 4, 5, 7, 9, 0, 4, 8]",1,8,3.1,0,4.005472744077569,-3.47076188991001,0.0
10,13,15,5.3,400.0,400.0,10.0,-2,100.0,"[2, 4, 9, 5, 0, 8, 5, 6, 7, 1, 6, 0, 2, 4, 6, 9, 1, 2, 0, 4, 0, 4, 7, 9, 1]",0.10326910018920898,8,5,22.0,1,"[6, 8, 7, 1, 3, 3, 0, 2, 9, 4, 7, 7, 3, 1, 8, 5, 9, 8, 7, 6, 5, 8, 3, 6, 2]",1,8,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
10,5,7,5.3,400.0,400.0,10.0,0,100.0,"[3, 6, 7, 1, 9, 0, 6, 2, 5, 6, 0, 7, 6, 2, 1, 1, 0, 9, 3, 7, 9, 7, 8, 6, 3]",0.10309290885925293,8,5,22.0,2,"[4, 2, 9, 4, 3, 5, 8, 7, 7, 4, 5, 3, 8, 9, 4, 4, 2, 8, 6, 5, 5, 4, 0, 1, 2]",1,8,3.1,0,5.246053641968943,0.7542686428484122,0.0
10,10,12,5.3,400.0,400.0,10.0,0,100.0,"[4, 6, 1, 2, 0, 3, 0, 8, 7, 8, 9, 2, 4, 3, 9, 7, 6, 2, 9, 3, 5, 2, 8, 9, 1]",0.10326385498046875,8,5,22.0,1,"[3, 9, 7, 8, 5, 1, 2, 7, 3, 5, 1, 0, 6, 0, 8, 1, 8, 5, 4, 0, 6, 3, 7, 4, 0]",2,8,3.1,0,1.4931825512595793,-5.085312760156835,0.0
10,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[6, 1, 8, 5, 3, 6, 3, 2, 8, 5, 2, 8, 1, 4, 5, 0, 8, 4, 6, 4, 1, 9, 2, 4, 5]",0.10326194763183594,8,5,22.0,1,"[7, 9, 4, 0, 2, 0, 1, 4, 9, 7, 3, 6, 9, 0, 7, 2, 1, 3, 9, 8, 0, 6, 8, 7, 3]",2,8,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
