offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,7,9,5.3,400.0,400.0,10.0,0,100.0,"[4, 3, 2, 1, 5, 1, 9, 3, 6, 5, 9, 1, 4, 0, 2, 2, 9, 0, 3, 8, 0, 7, 3, 1, 9]",0.10311508178710938,1,3.0,22.0,1,"[8, 0, 6, 7, 9, 0, 8, 7, 2, 4, 5, 8, 7, 6, 3, 7, 1, 4, 6, 5, 2, 4, 6, 5, 8]",1,3.75,3.1,-2,4.8210495753789475,-2.2016995689099974,0.0
0,15,17,5.3,400.0,400.0,10.0,2,100.0,"[7, 0, 3, 4, 1, 3, 7, 9, 0, 4, 0, 3, 8, 6, 3, 1, 5, 4, 3, 0, 5, 9, 8, 4, 3]",0.10320615768432617,1,3.0,22.0,1,"[9, 6, 8, 2, 5, 2, 6, 1, 8, 5, 2, 6, 4, 0, 7, 9, 8, 2, 9, 4, 1, 0, 2, 6, 7]",2,3.75,3.1,1,-4.821049575378945,-2.201699568910002,0.0
0,18,20,5.3,400.0,400.0,10.0,0,100.0,"[9, 0, 8, 5, 1, 2, 1, 9, 7, 6, 8, 0, 2, 3, 7, 2, 6, 1, 5, 9, 3, 9, 2, 1, 8]",0.10308194160461426,1,3.0,22.0,1,"[2, 3, 4, 6, 7, 3, 0, 8, 5, 4, 4, 9, 1, 5, 6, 1, 8, 0, 4, 7, 2, 5, 6, 7, 4]",1,3.75,3.1,-2,-4.821049575378947,2.20169956891,0.0
0,11,13,5.3,400.0,400.0,10.0,0,100.0,"[5, 9, 8, 4, 3, 9, 5, 8, 3, 0, 8, 3, 1, 5, 8, 5, 9, 3, 0, 2, 9, 7, 5, 6, 3]",0.10323596000671387,1,3.0,22.0,1,"[0, 2, 7, 6, 1, 0, 1, 4, 7, 6, 4, 9, 2, 7, 9, 4, 7, 6, 8, 1, 2, 8, 4, 0, 1]",1,3.75,3.1,1,6.490413675258599e-16,-5.3,0.0
0,19,21,5.3,400.0,400.0,10.0,-2,100.0,"[0, 2, 9, 5, 7, 4, 3, 8, 0, 5, 2, 8, 4, 1, 5, 6, 1, 1, 9, 2, 3, 7, 7, 5, 3]",0.10462093353271484,1,3.0,22.0,1,"[8, 1, 4, 3, 6, 6, 9, 1, 7, 2, 7, 3, 9, 0, 6, 4, 9, 0, 6, 5, 4, 8, 0, 8, 4]",2,3.75,3.1,1,-4.005472744077568,3.470761889910012,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[7, 8, 9, 8, 5, 6, 7, 9, 8, 5, 2, 5, 4, 7, 0, 2, 1, 4, 6, 3, 5, 0, 2, 4, 3]",0.10313916206359863,1,3.0,22.0,1,"[1, 9, 4, 2, 0, 3, 4, 2, 0, 1, 1, 9, 3, 6, 8, 5, 7, 0, 3, 6, 2, 4, 6, 7, 1]",1,3.75,3.1,-2,-1.4931825512595778,5.085312760156836,0.0
0,0,2,5.3,400.0,400.0,10.0,1,100.0,"[4, 5, 8, 0, 3, 1, 7, 9, 6, 4, 5, 7, 1, 0, 9, 6, 9, 8, 5, 0, 2, 9, 8, 3, 1]",0.10314702987670898,1,3.0,22.0,1,"[1, 0, 3, 7, 5, 5, 0, 8, 2, 3, 3, 8, 2, 6, 4, 4, 2, 3, 1, 7, 7, 6, 2, 5, 7]",2,3.75,3.1,-1,0.0,5.3,0.0
0,15,17,5.3,400.0,400.0,10.0,-2,100.0,"[4, 2, 1, 6, 8, 5, 4, 9, 3, 1, 0, 9, 3, 2, 8, 7, 0, 4, 4, 6, 4, 1, 9, 5, 7]",0.1032719612121582,1,3.0,22.0,1,"[7, 3, 9, 0, 5, 7, 6, 2, 0, 8, 5, 8, 4, 9, 1, 5, 6, 3, 3, 2, 3, 0, 2, 6, 8]",1,3.75,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,7,9,5.3,400.0,400.0,10.0,0,100.0,"[1, 9, 2, 8, 6, 0, 5, 9, 3, 7, 3, 1, 4, 8, 9, 9, 5, 1, 3, 2, 5, 8, 0, 9, 2]",0.10341000556945801,1,3.0,22.0,2,"[5, 0, 3, 4, 7, 6, 1, 8, 2, 4, 7, 6, 2, 0, 5, 0, 8, 4, 7, 6, 1, 6, 4, 7, 3]",2,3.75,3.1,2,4.8210495753789475,-2.2016995689099974,0.0
0,15,17,5.3,400.0,400.0,10.0,2,100.0,"[6, 1, 5, 9, 7, 8, 0, 1, 3, 4, 0, 8, 2, 6, 4, 5, 3, 0, 9, 7, 0, 4, 2, 6, 1]",0.10329794883728027,1,3.0,22.0,1,"[3, 0, 4, 2, 8, 7, 6, 5, 2, 9, 7, 3, 5, 9, 1, 8, 2, 7, 4, 2, 3, 7, 8, 5, 9]",1,3.75,3.1,-1,-4.821049575378945,-2.201699568910002,0.0
