offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,12,14,5.3,400.0,400.0,10.0,1,100.0,"[0, 5, 2, 4, 8, 3, 6, 9, 7, 8, 1, 7, 3, 6, 9, 5, 7, 6, 8, 9, 7, 4, 8, 5, 6]",0.10320901870727539,9,0,22.0,1,"[7, 9, 3, 1, 6, 1, 5, 0, 4, 2, 0, 4, 5, 8, 2, 2, 3, 4, 0, 1, 9, 1, 0, 2, 3]",1,-10.5,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
0,12,14,5.3,400.0,400.0,10.0,-2,100.0,"[0, 4, 8, 5, 7, 9, 5, 7, 0, 6, 7, 8, 9, 3, 6, 5, 8, 6, 9, 0, 4, 1, 6, 0, 3]",0.10323190689086914,9,0,22.0,1,"[2, 9, 3, 6, 1, 1, 3, 4, 2, 8, 1, 0, 2, 5, 4, 3, 2, 4, 1, 7, 2, 5, 7, 8, 9]",1,-10.5,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
0,8,10,5.3,400.0,400.0,10.0,0,100.0,"[1, 7, 4, 8, 6, 5, 3, 0, 9, 7, 1, 6, 7, 5, 2, 4, 5, 1, 2, 3, 1, 9, 6, 3, 8]",0.10325503349304199,9,0,22.0,2,"[5, 2, 0, 9, 3, 4, 8, 4, 2, 5, 6, 9, 4, 0, 1, 6, 7, 9, 8, 0, 2, 0, 5, 4, 7]",2,-10.5,3.1,-1,4.005472744077569,-3.47076188991001,0.0
0,15,17,5.3,400.0,400.0,10.0,2,100.0,"[0, 4, 3, 1, 8, 0, 7, 3, 5, 8, 9, 8, 7, 9, 6, 1, 2, 7, 2, 5, 6, 4, 3, 8, 9]",0.10325312614440918,9,0,22.0,1,"[6, 9, 2, 5, 7, 6, 4, 9, 1, 2, 3, 6, 4, 0, 8, 3, 5, 4, 8, 4, 7, 0, 1, 5, 2]",2,-10.5,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
0,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[7, 0, 6, 9, 1, 3, 9, 5, 8, 2, 6, 4, 9, 3, 7, 6, 2, 1, 3, 8, 1, 2, 7, 4, 6]",0.10327410697937012,9,0,22.0,2,"[4, 5, 3, 8, 2, 2, 3, 4, 0, 1, 7, 0, 8, 5, 2, 5, 9, 4, 0, 7, 3, 5, 8, 0, 9]",2,-10.5,3.1,1,4.005472744077569,-3.47076188991001,0.0
0,11,13,5.3,400.0,400.0,10.0,-1,100.0,"[9, 5, 4, 0, 1, 8, 6, 3, 7, 5, 9, 4, 2, 1, 7, 4, 8, 0, 2, 6, 2, 8, 3, 1, 4]",0.1032710075378418,9,0,22.0,1,"[7, 6, 3, 2, 8, 1, 5, 0, 4, 7, 6, 3, 0, 8, 6, 7, 1, 3, 5, 9, 7, 5, 6, 9, 0]",1,-10.5,3.1,1,6.490413675258599e-16,-5.3,0.0
0,19,21,5.3,400.0,400.0,10.0,0,100.0,"[6, 1, 0, 7, 3, 1, 0, 8, 2, 5, 3, 1, 6, 4, 5, 1, 4, 3, 5, 9, 8, 4, 7, 4, 0]",0.10325908660888672,9,0,22.0,2,"[2, 4, 8, 5, 9, 7, 4, 6, 9, 3, 7, 2, 8, 9, 0, 6, 8, 2, 6, 7, 1, 0, 8, 5, 9]",2,-10.5,3.1,2,-4.005472744077568,3.470761889910012,0.0
0,20,0,5.3,400.0,400.0,10.0,0,100.0,"[2, 2, 1, 6, 4, 4, 3, 2, 7, 8, 5, 9, 1, 4, 3, 1, 4, 3, 1, 5, 0, 3, 7, 8, 3]",0.10326886177062988,9,0,22.0,1,"[9, 3, 8, 9, 0, 1, 6, 0, 9, 5, 6, 0, 2, 8, 7, 7, 6, 9, 7, 6, 8, 4, 6, 1, 5]",2,-10.5,3.1,0,-2.8653963325146705,4.458643724005258,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,"[2, 5, 4, 0, 9, 6, 8, 5, 3, 4, 0, 9, 6, 7, 5, 0, 5, 6, 9, 1, 8, 0, 2, 9, 5]",0.10327291488647461,9,0,22.0,1,"[6, 7, 2, 8, 1, 3, 0, 7, 1, 2, 2, 8, 4, 1, 3, 8, 2, 7, 3, 4, 6, 7, 3, 4, 1]",1,-10.5,3.1,-2,4.005472744077569,3.470761889910011,0.0
0,7,9,5.3,400.0,400.0,10.0,-1,100.0,"[6, 9, 2, 3, 4, 6, 9, 1, 8, 0, 0, 5, 8, 7, 6, 5, 1, 6, 0, 7, 9, 4, 0, 3, 7]",0.10319304466247559,9,0,22.0,2,"[5, 8, 1, 0, 7, 2, 7, 5, 3, 4, 2, 1, 4, 9, 3, 4, 9, 3, 2, 8, 8, 1, 6, 2, 5]",1,-10.5,3.1,-1,4.8210495753789475,-2.2016995689099974,0.0
