cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,0,1,0.0999548435211,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100128173828,-1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100115060806,-1,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100209951401,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100121974945,-1,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100115060806,0,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.1000020504,-1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.10015296936,1,94.0,2,5,5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.100040197372,-1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100107908249,1,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100171089172,-1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100208044052,2,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100148200989,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100058078766,1,94.0,2,14,-4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.099828004837,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100101947784,1,94.0,2,3,4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100119113922,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100087165833,2,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100134134293,-1,94.0,1,3,4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.10015296936,2,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.10011100769,2,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100154161453,-1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0998830795288,1,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100091934204,-1,94.0,1,20,-2.86539633251,4.45864372401,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.10009098053,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100136995316,1,94.0,2,5,5.24605364197,0.754268642848,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100052118301,2,94.0,2,4,4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100088834763,-1,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100157022476,2,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.1001060009,1,94.0,2,3,4.00547274408,3.47076188991,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100131034851,2,94.0,1,4,4.82104957538,2.20169956891,5.3,0,9,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.10014796257,-1,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,9,-10.5,5.0,400.0
