cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,0,2,0.10005402565,0,94.0,1,4,4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100116968155,1,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100124835968,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.099986076355,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100116968155,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100157022476,-2,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.10012793541,1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100045919418,1,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100130081177,-1,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.100069046021,1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.10001707077,1,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.100112915039,-2,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100078821182,1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100098133087,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100142002106,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100140094757,1,94.0,1,4,4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100098848343,1,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.0999178886414,1,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100087165833,-1,94.0,2,16,-5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100115776062,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100354909897,1,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100062131882,1,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.10013794899,0,94.0,2,15,-4.82104957538,-2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100029945374,0,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100265979767,2,94.0,1,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100113868713,0,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100099086761,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.10012793541,2,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.0998198986053,0,94.0,2,1,1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100146055222,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100170850754,0,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100023031235,2,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100096940994,0,94.0,2,13,-2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100130796432,0,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.1001060009,0,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100128173828,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.099781036377,0,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.10012793541,-1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.10014295578,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100036144257,0,94.0,1,10,1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100075960159,-2,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100049972534,0,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100124120712,1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100064992905,2,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.0999100208282,-2,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100119113922,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100142002106,1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100131988525,1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100106954575,1,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100122928619,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100110054016,2,94.0,2,11,6.49041367526e-16,-5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0999100208282,1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100131988525,0,94.0,1,0,0.0,5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100076913834,0,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100078821182,1,94.0,1,0,0.0,5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.1001060009,2,94.0,2,4,4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,2,0.100131034851,0,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.10003900528,-1,94.0,1,10,1.49318255126,-5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100190877914,1,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.100128173828,-1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100149154663,-2,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100188016891,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0999658107758,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100136995316,-1,94.0,1,8,4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.10008597374,0,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.10011100769,-1,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.1001060009,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100091934204,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.0999219417572,2,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.100040197372,-2,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.100135087967,-2,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100116014481,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100095033646,1,94.0,1,0,0.0,5.3,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100112915039,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100079059601,0,94.0,2,21,-1.49318255126,5.08531276016,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.100148200989,1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100126981735,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100046873093,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100143909454,0,94.0,2,5,5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100109100342,0,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100126028061,1,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100082874298,1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100112199783,1,94.0,2,5,5.24605364197,0.754268642848,5.3,0,5,-10.5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100092887878,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5,-10.5,5.0,400.0
