cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,400.0,22.0,1,0.0972249507904,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.0971968173981,1,94.0,2,14,-4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0970571041107,0,94.0,2,21,-1.49318255126,5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0970559120178,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.097589969635,-1,94.0,2,3,4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.0972311496735,-1,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0972368717194,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.0972280502319,0,94.0,1,2,2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.097226858139,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0970821380615,0,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0971899032593,0,94.0,2,5,5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.0970921516418,1,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.0972239971161,0,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.0972220897675,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,2,0.0972280502319,2,94.0,2,3,4.00547274408,3.47076188991,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0972030162811,0,94.0,2,4,4.82104957538,2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0972130298615,-1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0972180366516,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.0972039699554,2,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0972189903259,-2,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.0972180366516,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.0972039699554,0,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.0972058773041,-2,94.0,2,16,-5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0972089767456,-1,94.0,1,1,1.49318255126,5.08531276016,5.3,0,5.0,300.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0972299575806,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,5.0,300.0,-10.5
