cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,400.0,22.0,0,0.0970509052277,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,1,0.0970261096954,1,94.0,1,4,4.82104957538,2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,1,0.0971698760986,1,94.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,0,0.0970268249512,0,94.0,2,18,-4.82104957538,2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,0,0.0971682071686,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,-1,0.0970320701599,-2,94.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,2,0.0973169803619,-1,94.0,2,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-1,0.0970098972321,0,94.0,1,0,0.0,5.3,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-1,0.0970041751862,2,94.0,1,19,-4.00547274408,3.47076188991,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0972120761871,2,94.0,2,18,-4.82104957538,2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,-1,0.0969920158386,1,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,2,0.0970330238342,-1,94.0,1,8,4.00547274408,-3.47076188991,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-1,0.0971660614014,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,2,0.097198009491,1,94.0,2,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-2,0.0971848964691,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0969960689545,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,-1,0.0969920158386,1,94.0,1,8,4.00547274408,-3.47076188991,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-2,0.0971729755402,2,94.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,300.0,5
