cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,1,400.0,22.0,0,0.0970499515533,1,94.0,1,21,-1.49318255126,5.08531276016,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,1,0.0970559120178,-2,94.0,2,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-1,0.0970401763916,-1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,-2,0.0972168445587,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,1,0.0972208976746,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,2,0.0970811843872,1,94.0,1,18,-4.82104957538,2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0971701145172,1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0972049236298,-1,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0972321033478,0,94.0,1,5,5.24605364197,0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,-1,0.0972399711609,0,94.0,1,3,4.00547274408,3.47076188991,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,0,0.0972561836243,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,1,400.0,22.0,0,0.0970780849457,0,94.0,2,2,2.86539633251,4.45864372401,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.097226858139,1,94.0,1,4,4.82104957538,2.20169956891,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0972020626068,-1,94.0,2,16,-5.24605364197,-0.754268642848,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0970301628113,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,3.0,5.0,300.0,5
3.1,0.0,2,400.0,22.0,0,0.0970468521118,0,94.0,1,12,-1.49318255126,-5.08531276016,5.3,3.0,5.0,300.0,5
