cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,1,400.0,22.0,0,1,0.100034952164,1,94.0,1,12,-1.49318255126,-5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.10018992424,1,94.0,2,14,-4.00547274408,-3.47076188991,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.101186990738,-1,94.0,2,10,1.49318255126,-5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100076913834,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100163936615,-1,94.0,1,2,2.86539633251,4.45864372401,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100119113922,0,94.0,1,3,4.00547274408,3.47076188991,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100095033646,0,94.0,2,2,2.86539633251,4.45864372401,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-1,0.100056886673,-1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.0997169017792,-2,94.0,2,14,-4.00547274408,-3.47076188991,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100104093552,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.0997779369354,-2,94.0,1,6,5.24605364197,-0.754268642848,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,1,0.100062847137,1,94.0,1,21,-1.49318255126,5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100055932999,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.100405931473,1,94.0,2,4,4.82104957538,2.20169956891,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,2,0.100038051605,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100131988525,-1,94.0,1,18,-4.82104957538,2.20169956891,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.100113153458,-1,94.0,1,5,5.24605364197,0.754268642848,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.100071907043,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,1,13,0,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.100059986115,0,94.0,2,4,4.82104957538,2.20169956891,5.3,1,13,0,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.10012793541,0,94.0,1,19,-4.00547274408,3.47076188991,5.3,1,13,0,5.0,400.0
