cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,400.0,22.0,-1,0.100099086761,-1,94.0,2,6,5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0997779369354,1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100159883499,0,94.0,1,0,0.0,5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100128889084,0,94.0,1,14,-4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.100121021271,-1,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100105047226,1,94.0,1,20,-2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100113868713,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.100156784058,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100131034851,1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.10011100769,-2,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100117921829,0,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100095033646,-1,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100126028061,0,94.0,1,1,1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.100131988525,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.100131034851,-1,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.0997619628906,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100064992905,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0999031066895,0,94.0,1,19,-4.00547274408,3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100111961365,2,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.10009598732,-1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.100072145462,-2,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100151062012,-2,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100113153458,0,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100461959839,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.100075006485,0,94.0,2,1,1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100118875504,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100078105927,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100159883499,2,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.100212097168,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100087881088,0,94.0,1,21,-1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100124835968,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100122928619,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.100103855133,2,94.0,1,18,-4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.100106954575,0,94.0,2,13,-2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.100153923035,-2,94.0,1,9,2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.100256919861,1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100049972534,0,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100144863129,1,94.0,1,4,4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100090026855,-1,94.0,2,1,1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100069999695,-2,94.0,2,19,-4.00547274408,3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100140094757,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,2,0.100157976151,0,94.0,2,18,-4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.099958896637,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-1,0.100178956985,-1,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.100078105927,1,94.0,2,2,2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100095033646,1,94.0,2,3,4.00547274408,3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.10009098053,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100116014481,-1,94.0,2,0,0.0,5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.100144147873,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100160121918,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100069046021,-1,94.0,1,16,-5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100085020065,-2,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-1,0.100088834763,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100044965744,-1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100127220154,0,94.0,1,3,4.00547274408,3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.0999939441681,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100157976151,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100079059601,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.10019493103,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.1001060009,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,-2,0.100146055222,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100114107132,1,94.0,2,8,4.00547274408,-3.47076188991,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100068807602,0,94.0,1,4,4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100198030472,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.100116014481,-2,94.0,1,11,6.49041367526e-16,-5.3,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,-2,0.100126981735,0,94.0,1,4,4.82104957538,2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100121021271,1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,1,0.100116014481,0,94.0,2,21,-1.49318255126,5.08531276016,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100171089172,0,94.0,1,5,5.24605364197,0.754268642848,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,1,0.100112199783,1,94.0,1,13,-2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100123167038,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100112915039,-2,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,2,400.0,22.0,0,0.100131988525,-1,94.0,2,9,2.86539633251,-4.45864372401,5.3,0,5.0,400.0,-10.5
3.1,0.0,1,400.0,22.0,0,0.100083112717,2,94.0,2,7,4.82104957538,-2.20169956891,5.3,0,5.0,400.0,-10.5
