cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,0,-2,0.0971939563751,-1,94.0,2,21,-1.49318255126,5.08531276016,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.0970420837402,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,3.0,2,5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.0972199440002,0,94.0,1,16,-5.24605364197,-0.754268642848,5.3,3.0,2,5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-2,0.0969979763031,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.0970048904419,-1,94.0,1,21,-1.49318255126,5.08531276016,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0969998836517,2,94.0,1,16,-5.24605364197,-0.754268642848,5.3,3.0,2,5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.0969998836517,-1,94.0,2,3,4.00547274408,3.47076188991,5.3,3.0,2,5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,0,0.0969960689545,-1,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.0969970226288,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0970118045807,-2,94.0,2,14,-4.00547274408,-3.47076188991,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,1,0.0970129966736,0,94.0,2,1,1.49318255126,5.08531276016,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,0,0.0970070362091,0,94.0,1,3,4.00547274408,3.47076188991,5.3,3.0,2,5,5.0,400.0
3.1,0.0,1,400.0,22.0,0,-1,0.0972239971161,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,3.0,2,5,5.0,400.0
3.1,0.0,2,400.0,22.0,0,-2,0.0970079898834,-2,94.0,2,20,-2.86539633251,4.45864372401,5.3,3.0,2,5,5.0,400.0
