cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials,offsett
3.1,0.0,2,400.0,22.0,0,0.0972020626068,-2,94.0,1,6,5.24605364197,-0.754268642848,5.3,3.0,5.0,400.0,5
3.1,0.0,1,400.0,22.0,-1,0.097186088562,-2,94.0,1,1,1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,5
3.1,0.0,1,400.0,22.0,-1,0.0970618724823,-1,94.0,2,0,0.0,5.3,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,0,0.0970778465271,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,0,0.0971839427948,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,0,0.0972220897675,-1,94.0,1,10,1.49318255126,-5.08531276016,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,0,0.0970039367676,0,94.0,1,13,-2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,-1,0.0970051288605,-1,94.0,1,17,-5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,-1,0.0970239639282,-2,94.0,1,19,-4.00547274408,3.47076188991,5.3,3.0,5.0,400.0,5
3.1,0.0,1,400.0,22.0,2,0.0970199108124,0,94.0,1,4,4.82104957538,2.20169956891,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,2,0.0970098972321,1,94.0,1,9,2.86539633251,-4.45864372401,5.3,3.0,5.0,400.0,5
3.1,0.0,1,400.0,22.0,1,0.0970220565796,0,94.0,1,5,5.24605364197,0.754268642848,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,-2,0.0970249176025,1,94.0,1,1,1.49318255126,5.08531276016,5.3,3.0,5.0,400.0,5
3.1,0.0,2,400.0,22.0,-2,0.0970249176025,1,94.0,2,19,-4.00547274408,3.47076188991,5.3,3.0,5.0,400.0,5
