offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,4,6,5.3,400.0,400.0,10.0,2,100.0,"[3, 6, 4, 0, 7, 6, 2, 4, 1, 9, 3, 4, 6, 9, 5, 2, 6, 9, 3, 4, 5, 2, 1, 4, 6]",0.11074709892272949,0,2,22.0,2,"[0, 8, 5, 1, 8, 3, 9, 6, 5, 8, 0, 8, 2, 7, 1, 1, 0, 5, 8, 7, 7, 9, 8, 0, 3]",2,0,3.1,0,4.821049575378947,2.201699568909998,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,"[7, 9, 5, 2, 4, 2, 5, 6, 3, 2, 4, 6, 5, 2, 4, 4, 1, 2, 3, 8, 9, 7, 6, 4, 0]",0.11223387718200684,0,2,22.0,1,"[6, 1, 0, 8, 3, 0, 9, 7, 1, 9, 0, 8, 7, 7, 9, 5, 6, 0, 9, 7, 8, 5, 1, 2, 3]",2,0,3.1,0,1.4931825512595793,-5.085312760156835,0.0
0,20,0,5.3,400.0,400.0,10.0,1,100.0,"[6, 8, 3, 1, 4, 9, 8, 3, 5, 6, 5, 4, 9, 8, 6, 5, 7, 9, 5, 2, 0, 3, 3, 9, 5]",0.11253595352172852,0,2,22.0,1,"[9, 0, 7, 9, 6, 7, 4, 1, 2, 0, 7, 2, 3, 0, 1, 1, 4, 3, 8, 1, 4, 7, 4, 8, 1]",1,0,3.1,0,-2.8653963325146705,4.458643724005258,0.0
0,4,6,5.3,400.0,400.0,10.0,1,100.0,"[8, 5, 1, 8, 3, 4, 6, 4, 5, 7, 4, 7, 1, 9, 8, 5, 3, 2, 8, 1, 9, 6, 7, 5, 8]",0.11251306533813477,0,2,22.0,2,"[7, 1, 0, 7, 5, 2, 9, 6, 0, 8, 0, 5, 3, 2, 6, 9, 4, 0, 6, 7, 3, 1, 4, 2, 0]",1,0,3.1,-2,4.821049575378947,2.201699568909998,0.0
0,12,14,5.3,400.0,400.0,10.0,0,100.0,"[4, 9, 2, 8, 5, 3, 5, 1, 9, 0, 6, 9, 0, 3, 7, 9, 7, 5, 8, 4, 7, 5, 8, 0, 9]",0.1125650405883789,0,2,22.0,2,"[3, 0, 7, 1, 6, 2, 6, 7, 4, 8, 8, 2, 1, 5, 4, 1, 0, 2, 6, 3, 4, 3, 2, 1, 6]",2,0,3.1,2,-1.4931825512595758,-5.085312760156836,0.0
0,12,14,5.3,400.0,400.0,10.0,0,100.0,"[8, 4, 9, 5, 1, 4, 0, 6, 1, 3, 0, 6, 4, 2, 9, 4, 3, 5, 2, 7, 2, 1, 8, 7, 3]",0.11146211624145508,0,2,22.0,1,"[6, 2, 3, 7, 0, 7, 5, 9, 8, 2, 8, 1, 7, 3, 5, 6, 0, 9, 8, 1, 5, 9, 0, 4, 6]",2,0,3.1,-2,-1.4931825512595758,-5.085312760156836,0.0
0,14,16,5.3,400.0,400.0,10.0,0,100.0,"[2, 5, 8, 9, 3, 2, 0, 5, 4, 8, 3, 6, 0, 4, 8, 6, 9, 0, 5, 3, 9, 3, 8, 5, 0]",0.11197400093078613,0,2,22.0,1,"[1, 4, 6, 0, 7, 7, 1, 3, 9, 6, 0, 2, 7, 1, 2, 3, 5, 6, 4, 8, 4, 1, 7, 6, 2]",2,0,3.1,-1,-4.005472744077568,-3.4707618899100114,0.0
0,14,16,5.3,400.0,400.0,10.0,2,100.0,"[6, 0, 3, 9, 1, 7, 1, 2, 8, 3, 2, 3, 9, 6, 8, 0, 7, 0, 5, 7, 1, 5, 7, 4, 0]",0.11258196830749512,0,2,22.0,2,"[5, 8, 4, 7, 2, 9, 0, 5, 4, 6, 8, 7, 4, 3, 2, 1, 5, 8, 9, 1, 2, 6, 9, 3, 8]",2,0,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
0,0,2,5.3,400.0,400.0,10.0,2,100.0,"[2, 4, 7, 5, 1, 3, 0, 4, 2, 9, 3, 0, 9, 8, 6, 2, 0, 1, 8, 9, 0, 1, 3, 5, 0]",0.11259603500366211,0,2,22.0,1,"[5, 6, 9, 6, 8, 1, 6, 8, 5, 7, 1, 5, 4, 7, 2, 7, 4, 3, 5, 6, 8, 3, 7, 2, 4]",2,0,3.1,-2,0.0,5.3,0.0
0,0,2,5.3,400.0,400.0,10.0,-1,100.0,"[2, 0, 8, 8, 5, 1, 6, 8, 2, 7, 8, 7, 5, 9, 4, 2, 1, 7, 0, 8, 5, 9, 2, 7, 6]",0.11151981353759766,0,2,22.0,2,"[3, 7, 1, 0, 7, 0, 3, 9, 5, 4, 6, 1, 0, 2, 3, 9, 6, 5, 4, 3, 4, 6, 9, 8, 0]",1,0,3.1,-2,0.0,5.3,0.0
