offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,20,0,5.3,400.0,400.0,10.0,-1,100.0,"[2, 8, 5, 4, 1, 4, 8, 3, 9, 1, 5, 6, 3, 0, 4, 2, 3, 1, 8, 7, 3, 9, 0, 4, 9]",0.11157798767089844,12,1,22.0,2,"[5, 6, 3, 9, 0, 7, 2, 5, 0, 6, 8, 7, 2, 1, 9, 4, 8, 7, 0, 6, 4, 1, 5, 3, 1]",2,0,3.1,-2,-2.8653963325146705,4.458643724005258,0.0
0,0,2,5.3,400.0,400.0,10.0,-1,100.0,"[4, 8, 2, 1, 8, 6, 0, 8, 5, 2, 6, 3, 9, 7, 5, 8, 3, 6, 5, 4, 6, 9, 4, 2, 0]",0.11252689361572266,12,1,22.0,1,"[5, 1, 7, 3, 6, 4, 7, 3, 1, 9, 8, 1, 0, 2, 4, 2, 1, 9, 0, 7, 3, 0, 3, 9, 8]",1,0,3.1,2,0.0,5.3,0.0
0,17,19,5.3,400.0,400.0,10.0,-2,100.0,"[6, 2, 5, 4, 3, 3, 2, 7, 4, 9, 0, 7, 2, 8, 3, 9, 3, 2, 0, 6, 1, 8, 2, 4, 5]",0.1141049861907959,12,1,22.0,2,"[1, 8, 0, 9, 7, 8, 6, 1, 5, 0, 5, 1, 6, 4, 9, 1, 5, 4, 7, 8, 0, 3, 7, 9, 6]",2,0,3.1,1,-5.246053641968944,0.7542686428484098,0.0
0,12,14,5.3,400.0,400.0,10.0,2,100.0,"[5, 4, 6, 7, 2, 7, 5, 2, 6, 3, 2, 3, 1, 0, 4, 1, 0, 4, 5, 2, 0, 1, 3, 4, 8]",0.11249613761901855,12,1,22.0,1,"[0, 8, 9, 1, 3, 1, 4, 9, 0, 8, 6, 8, 9, 5, 7, 7, 3, 9, 8, 6, 9, 6, 2, 7, 5]",1,0,3.1,-1,-1.4931825512595758,-5.085312760156836,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,"[3, 4, 5, 0, 1, 1, 5, 0, 6, 3, 6, 1, 8, 6, 3, 5, 6, 2, 1, 7, 2, 7, 4, 9, 0]",0.1126248836517334,12,1,22.0,1,"[9, 8, 7, 6, 2, 4, 8, 2, 9, 7, 3, 9, 4, 7, 0, 2, 4, 9, 3, 8, 5, 8, 1, 6, 3]",2,0,3.1,2,-2.865396332514667,-4.4586437240052605,0.0
0,20,0,5.3,400.0,400.0,10.0,0,100.0,"[1, 0, 7, 9, 8, 2, 0, 9, 8, 3, 5, 6, 4, 8, 3, 0, 2, 3, 6, 7, 8, 2, 0, 3, 6]",0.11088395118713379,12,1,22.0,1,"[9, 5, 4, 2, 3, 4, 5, 7, 1, 6, 7, 0, 2, 1, 9, 7, 4, 6, 3, 0, 5, 4, 4, 5, 7]",1,0,3.1,-1,-2.8653963325146705,4.458643724005258,0.0
0,8,10,5.3,400.0,400.0,10.0,2,100.0,"[7, 9, 4, 3, 1, 4, 9, 3, 2, 8, 5, 7, 3, 9, 5, 7, 4, 3, 1, 0, 8, 6, 2, 9, 7]",0.11259317398071289,12,1,22.0,1,"[6, 2, 8, 0, 5, 3, 4, 6, 1, 7, 0, 2, 1, 4, 8, 9, 8, 6, 5, 2, 0, 1, 5, 3, 4]",1,0,3.1,-1,4.005472744077569,-3.47076188991001,0.0
0,1,3,5.3,400.0,400.0,10.0,0,100.0,"[4, 0, 3, 2, 9, 1, 5, 7, 8, 3, 9, 8, 5, 7, 2, 2, 7, 0, 3, 9, 1, 6, 0, 9, 8]",0.11090207099914551,12,1,22.0,2,"[8, 1, 7, 9, 6, 4, 9, 0, 6, 2, 3, 0, 4, 6, 1, 4, 5, 6, 1, 8, 3, 5, 2, 4, 5]",1,0,3.1,1,1.493182551259577,5.085312760156836,0.0
0,7,9,5.3,400.0,400.0,10.0,-1,100.0,"[3, 9, 4, 1, 8, 1, 4, 0, 3, 5, 4, 8, 2, 0, 1, 6, 0, 5, 1, 4, 1, 7, 6, 8, 9]",0.11224603652954102,12,1,22.0,2,"[0, 6, 5, 2, 7, 2, 7, 9, 6, 8, 9, 6, 7, 5, 3, 7, 8, 3, 9, 2, 0, 3, 2, 4, 5]",1,0,3.1,1,4.8210495753789475,-2.2016995689099974,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[6, 8, 1, 8, 7, 9, 3, 3, 1, 6, 2, 3, 5, 7, 0, 3, 9, 5, 7, 0, 9, 5, 0, 7, 6]",0.11097502708435059,12,1,22.0,1,"[2, 7, 2, 0, 4, 6, 5, 7, 8, 4, 1, 4, 6, 9, 8, 2, 4, 8, 1, 6, 4, 1, 8, 3, 2]",1,0,3.1,-1,4.821049575378947,2.201699568909998,0.0
