offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
10,17,19,5.3,400.0,400.0,10.0,2,100.0,"[3, 7, 4, 1, 2, 0, 7, 8, 6, 3, 7, 9, 0, 1, 3, 4, 5, 7, 8, 2, 0, 6, 1, 7, 3]",0.10331106185913086,8,5,22.0,1,"[8, 5, 0, 6, 9, 2, 4, 1, 9, 5, 5, 8, 2, 6, 4, 0, 1, 9, 6, 3, 9, 4, 8, 2, 5]",2,8,3.1,-1,-5.246053641968944,0.7542686428484098,0.0
10,0,2,5.3,400.0,400.0,10.0,1,100.0,"[9, 3, 4, 2, 6, 2, 6, 4, 3, 1, 3, 9, 8, 1, 7, 5, 8, 1, 0, 6, 1, 7, 7, 2, 6]",0.10328388214111328,8,5,22.0,1,"[8, 6, 0, 0, 3, 8, 9, 5, 0, 7, 6, 2, 5, 4, 0, 9, 7, 3, 4, 2, 2, 5, 0, 4, 8]",2,8,3.1,2,0.0,5.3,0.0
10,14,16,5.3,400.0,400.0,10.0,-2,100.0,"[3, 6, 8, 7, 0, 6, 3, 4, 7, 5, 0, 1, 7, 0, 4, 6, 2, 8, 9, 3, 8, 0, 5, 4, 6]",0.10314011573791504,8,5,22.0,1,"[1, 9, 5, 4, 2, 8, 1, 0, 2, 9, 4, 8, 9, 5, 1, 3, 8, 0, 5, 4, 7, 2, 9, 1, 3]",1,8,3.1,2,-4.005472744077568,-3.4707618899100114,0.0
10,2,4,5.3,400.0,400.0,10.0,-1,100.0,"[5, 1, 4, 9, 8, 9, 7, 4, 3, 2, 9, 8, 5, 1, 2, 2, 5, 7, 6, 9, 8, 1, 7, 0, 5]",0.1031639575958252,8,5,22.0,1,"[6, 7, 2, 3, 0, 1, 8, 6, 5, 0, 3, 4, 6, 7, 0, 8, 4, 1, 0, 3, 2, 4, 9, 6, 3]",1,8,3.1,2,2.865396332514667,4.4586437240052605,0.0
10,3,5,5.3,400.0,400.0,10.0,-2,100.0,"[3, 8, 2, 3, 1, 9, 3, 8, 0, 4, 8, 0, 3, 2, 4, 4, 1, 3, 5, 7, 4, 0, 3, 2, 9]",0.1032571792602539,8,5,22.0,1,"[4, 7, 6, 0, 4, 5, 9, 2, 1, 6, 6, 1, 7, 9, 5, 8, 2, 6, 0, 9, 1, 7, 8, 5, 6]",2,8,3.1,1,4.005472744077569,3.470761889910011,0.0
10,20,0,5.3,400.0,400.0,10.0,2,100.0,"[0, 7, 8, 6, 1, 7, 0, 2, 6, 3, 3, 2, 1, 6, 4, 6, 1, 3, 4, 3, 9, 7, 6, 4, 3]",0.1030890941619873,8,5,22.0,2,"[6, 0, 9, 4, 5, 1, 9, 5, 4, 8, 7, 8, 0, 9, 5, 2, 7, 0, 2, 8, 5, 1, 1, 9, 8]",1,8,3.1,-2,-2.8653963325146705,4.458643724005258,0.0
10,14,16,5.3,400.0,400.0,10.0,0,100.0,"[8, 3, 9, 7, 0, 2, 7, 6, 9, 0, 9, 2, 2, 8, 1, 5, 7, 2, 8, 9, 1, 7, 4, 6, 5]",0.10325503349304199,8,5,22.0,1,"[1, 2, 6, 4, 5, 5, 4, 3, 1, 8, 8, 0, 9, 6, 3, 0, 4, 6, 4, 0, 8, 0, 3, 2, 9]",1,8,3.1,-1,-4.005472744077568,-3.4707618899100114,0.0
10,2,4,5.3,400.0,400.0,10.0,1,100.0,"[6, 4, 1, 0, 8, 5, 0, 7, 8, 2, 4, 5, 1, 6, 8, 3, 2, 1, 4, 7, 9, 2, 1, 7, 5]",0.1032400131225586,8,5,22.0,2,"[9, 5, 3, 2, 7, 1, 3, 9, 6, 4, 9, 2, 0, 3, 7, 9, 0, 8, 5, 6, 8, 6, 4, 3, 0]",1,8,3.1,2,2.865396332514667,4.4586437240052605,0.0
10,15,17,5.3,400.0,400.0,10.0,-1,100.0,"[8, 2, 1, 0, 3, 6, 7, 8, 4, 2, 5, 8, 9, 0, 3, 7, 4, 6, 0, 7, 1, 5, 2, 8, 3]",0.1030738353729248,8,5,22.0,1,"[6, 7, 5, 4, 9, 9, 1, 5, 0, 3, 4, 3, 6, 2, 9, 8, 5, 1, 8, 4, 0, 4, 9, 7, 6]",2,8,3.1,2,-4.821049575378945,-2.201699568910002,0.0
10,7,9,5.3,400.0,400.0,10.0,0,100.0,"[5, 8, 2, 4, 1, 0, 6, 9, 1, 3, 3, 0, 4, 1, 6, 3, 9, 8, 0, 1, 0, 1, 5, 3, 4]",0.10316896438598633,8,5,22.0,1,"[6, 9, 0, 7, 3, 8, 5, 2, 4, 7, 7, 9, 5, 2, 8, 5, 4, 7, 6, 2, 7, 8, 2, 6, 9]",2,8,3.1,0,4.8210495753789475,-2.2016995689099974,0.0
