offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,7,9,5.3,400.0,400.0,10.0,-2,100.0,"[7, 2, 4, 5, 9, 9, 1, 6, 8, 5, 4, 2, 7, 5, 9, 7, 9, 3, 1, 0, 1, 4, 0, 6, 3]",0.10332608222961426,13,1,22.0,2,"[0, 1, 3, 6, 8, 7, 4, 2, 0, 3, 0, 3, 6, 8, 1, 6, 5, 4, 8, 2, 2, 9, 8, 7, 5]",1,0,3.1,0,4.8210495753789475,-2.2016995689099974,0.0
0,8,10,5.3,400.0,400.0,10.0,2,100.0,"[9, 3, 6, 0, 4, 1, 8, 6, 4, 9, 2, 0, 4, 1, 2, 2, 7, 4, 5, 6, 6, 0, 8, 1, 7]",0.10324692726135254,13,1,22.0,1,"[5, 1, 7, 2, 8, 6, 5, 7, 3, 1, 0, 9, 8, 5, 3, 3, 0, 9, 8, 1, 3, 5, 2, 9, 4]",2,0,3.1,1,4.005472744077569,-3.47076188991001,0.0
0,2,4,5.3,400.0,400.0,10.0,2,100.0,"[6, 2, 4, 1, 9, 4, 7, 6, 9, 1, 9, 2, 0, 8, 6, 3, 0, 1, 8, 4, 0, 7, 2, 6, 1]",0.1030731201171875,13,1,22.0,1,"[8, 3, 5, 7, 0, 3, 2, 8, 5, 0, 3, 7, 1, 4, 5, 7, 6, 5, 2, 9, 5, 9, 8, 4, 3]",2,0,3.1,2,2.865396332514667,4.4586437240052605,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[8, 0, 1, 9, 7, 1, 9, 7, 2, 4, 4, 8, 0, 5, 3, 5, 2, 8, 6, 6, 3, 1, 7, 3, 5]",0.10324597358703613,13,1,22.0,1,"[2, 5, 5, 2, 4, 5, 3, 8, 0, 6, 6, 7, 9, 2, 1, 7, 1, 4, 0, 4, 9, 7, 2, 1, 4]",2,0,3.1,2,-1.4931825512595778,5.085312760156836,0.0
0,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[3, 8, 7, 6, 4, 3, 5, 9, 7, 1, 2, 7, 0, 9, 4, 2, 2, 0, 7, 5, 3, 5, 8, 4, 0]",0.1030890941619873,13,1,22.0,2,"[5, 0, 9, 1, 2, 8, 4, 6, 2, 0, 7, 8, 5, 3, 6, 1, 8, 3, 1, 4, 6, 2, 1, 9, 7]",2,0,3.1,2,-2.865396332514667,-4.4586437240052605,0.0
0,15,17,5.3,400.0,400.0,10.0,-1,100.0,"[2, 1, 3, 9, 0, 1, 9, 3, 2, 5, 9, 5, 1, 3, 0, 4, 8, 2, 6, 9, 6, 4, 5, 1, 8]",0.10305404663085938,13,1,22.0,2,"[7, 8, 4, 6, 5, 8, 6, 0, 7, 4, 6, 3, 4, 6, 1, 7, 9, 5, 0, 1, 9, 3, 7, 0, 2]",1,0,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,18,20,5.3,400.0,400.0,10.0,0,100.0,"[1, 0, 6, 2, 7, 3, 2, 9, 1, 4, 1, 2, 3, 8, 9, 3, 9, 2, 5, 1, 6, 4, 0, 2, 6]",0.10325002670288086,13,1,22.0,2,"[9, 8, 4, 3, 5, 5, 6, 7, 0, 8, 6, 0, 7, 5, 4, 7, 7, 8, 0, 4, 3, 1, 9, 8, 7]",1,0,3.1,0,-4.821049575378947,2.20169956891,0.0
0,21,1,5.3,400.0,400.0,10.0,2,100.0,"[2, 3, 2, 0, 4, 8, 4, 9, 1, 0, 3, 9, 1, 5, 2, 9, 4, 6, 5, 0, 8, 9, 3, 6, 8]",0.1032259464263916,13,1,22.0,2,"[6, 5, 6, 3, 8, 7, 5, 3, 6, 2, 7, 4, 8, 6, 0, 2, 1, 8, 3, 7, 4, 1, 0, 2, 5]",2,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,"[3, 8, 0, 5, 6, 4, 6, 5, 9, 2, 5, 6, 8, 2, 1, 7, 9, 2, 1, 5, 4, 7, 3, 8, 0]",0.10324883460998535,13,1,22.0,2,"[0, 3, 1, 9, 2, 7, 1, 8, 3, 7, 3, 9, 7, 4, 0, 6, 4, 8, 0, 3, 2, 5, 9, 6, 1]",1,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,9,11,5.3,400.0,400.0,10.0,-1,100.0,"[0, 3, 2, 4, 5, 1, 6, 4, 0, 1, 3, 8, 3, 8, 9, 8, 4, 3, 5, 2, 5, 1, 0, 6, 9]",0.10326910018920898,13,1,22.0,1,"[9, 8, 1, 6, 7, 7, 5, 7, 9, 2, 6, 5, 0, 6, 1, 7, 1, 9, 6, 0, 8, 7, 2, 3, 4]",1,0,3.1,1,2.8653963325146665,-4.4586437240052605,0.0
