offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,9,11,5.3,400.0,400.0,10.0,1,100.0,"[3, 6, 0, 4, 7, 5, 7, 6, 7, 9, 4, 1, 6, 7, 3, 6, 7, 8, 2, 4, 8, 0, 1, 5, 6]",0.10313105583190918,5,0,22.0,1,"[8, 1, 2, 5, 9, 4, 8, 5, 3, 0, 8, 2, 8, 5, 4, 0, 9, 3, 5, 1, 2, 7, 4, 9, 3]",1,-10.5,3.1,2,2.8653963325146665,-4.4586437240052605,0.0
0,6,8,5.3,400.0,400.0,10.0,-2,100.0,"[0, 4, 6, 1, 1, 6, 0, 2, 5, 8, 2, 9, 6, 1, 4, 2, 3, 1, 7, 5, 5, 3, 9, 1, 2]",0.10334396362304688,5,0,22.0,1,"[2, 9, 8, 3, 7, 3, 4, 8, 9, 1, 3, 7, 8, 5, 0, 6, 0, 9, 4, 8, 6, 8, 4, 7, 0]",1,-10.5,3.1,1,5.246053641968944,-0.7542686428484106,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,"[1, 3, 5, 9, 4, 6, 0, 3, 7, 8, 2, 7, 0, 3, 4, 0, 8, 4, 6, 7, 4, 8, 2, 4, 7]",0.10326719284057617,5,0,22.0,2,"[6, 5, 2, 8, 1, 9, 5, 4, 1, 2, 6, 9, 8, 5, 1, 3, 1, 7, 2, 0, 9, 2, 1, 3, 9]",1,-10.5,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[9, 9, 8, 2, 5, 1, 5, 8, 9, 4, 1, 3, 9, 0, 4, 2, 8, 0, 6, 9, 3, 4, 2, 7, 6]",0.10337495803833008,5,0,22.0,1,"[2, 3, 0, 6, 4, 7, 6, 3, 1, 0, 8, 2, 6, 5, 7, 4, 1, 3, 5, 7, 9, 5, 0, 1, 8]",2,-10.5,3.1,0,4.005472744077569,3.470761889910011,0.0
0,18,20,5.3,400.0,400.0,10.0,2,100.0,"[4, 5, 7, 3, 9, 4, 5, 2, 0, 9, 6, 9, 5, 1, 7, 4, 9, 6, 2, 7, 4, 9, 2, 8, 5]",0.10319089889526367,5,0,22.0,2,"[8, 0, 1, 2, 6, 6, 1, 8, 3, 7, 8, 2, 4, 0, 3, 6, 5, 8, 0, 1, 3, 1, 6, 4, 3]",2,-10.5,3.1,-1,-4.821049575378947,2.20169956891,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,"[8, 0, 2, 3, 1, 9, 7, 6, 8, 7, 0, 2, 4, 3, 5, 6, 5, 4, 1, 9, 0, 2, 3, 8, 6]",0.10318398475646973,5,0,22.0,1,"[3, 7, 5, 0, 2, 8, 4, 5, 3, 5, 8, 9, 6, 1, 7, 0, 7, 2, 3, 8, 7, 9, 5, 4, 1]",1,-10.5,3.1,1,5.246053641968943,0.7542686428484122,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,"[4, 3, 8, 2, 7, 5, 3, 0, 7, 8, 9, 1, 4, 9, 2, 7, 9, 2, 1, 3, 1, 9, 7, 8, 2]",0.10319805145263672,5,0,22.0,1,"[0, 5, 1, 9, 6, 2, 1, 9, 4, 6, 0, 8, 6, 0, 5, 3, 6, 7, 0, 8, 6, 4, 0, 3, 5]",2,-10.5,3.1,1,-2.865396332514667,-4.4586437240052605,0.0
0,13,15,5.3,400.0,400.0,10.0,0,100.0,"[2, 4, 8, 3, 7, 7, 8, 0, 3, 2, 4, 0, 4, 3, 6, 9, 6, 2, 1, 9, 1, 2, 6, 0, 5]",0.10327911376953125,5,0,22.0,1,"[0, 5, 6, 1, 9, 4, 1, 5, 6, 9, 6, 2, 7, 1, 8, 5, 5, 7, 4, 3, 8, 4, 9, 7, 3]",1,-10.5,3.1,1,-2.865396332514667,-4.4586437240052605,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,"[1, 6, 9, 0, 2, 9, 7, 5, 0, 8, 7, 6, 3, 4, 0, 5, 3, 2, 8, 5, 2, 8, 0, 3, 6]",0.10327005386352539,5,0,22.0,1,"[3, 5, 7, 4, 8, 4, 3, 6, 1, 2, 8, 1, 4, 1, 9, 7, 6, 8, 2, 7, 7, 9, 4, 5, 1]",2,-10.5,3.1,2,-4.821049575378945,-2.201699568910002,0.0
0,18,20,5.3,400.0,400.0,10.0,-2,100.0,"[5, 8, 6, 3, 2, 6, 0, 7, 5, 2, 2, 8, 1, 6, 5, 8, 1, 9, 0, 8, 7, 9, 4, 8, 2]",0.10328221321105957,5,0,22.0,1,"[1, 9, 0, 7, 4, 4, 3, 9, 8, 1, 3, 7, 0, 9, 4, 9, 2, 5, 6, 4, 3, 7, 0, 1, 5]",1,-10.5,3.1,1,-4.821049575378947,2.20169956891,0.0
