offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,6,8,5.3,400.0,400.0,10.0,-1,100.0,"[1, 0, 7, 9, 3, 6, 2, 0, 4, 3, 1, 6, 3, 8, 0, 2, 4, 3, 5, 7, 8, 9, 5, 2, 4]",0.10326600074768066,13,1,22.0,2,"[2, 6, 3, 8, 9, 7, 8, 1, 5, 0, 7, 2, 5, 4, 9, 6, 8, 9, 1, 0, 1, 3, 6, 7, 0]",1,0,3.1,-1,5.246053641968944,-0.7542686428484106,0.0
0,11,13,5.3,400.0,400.0,10.0,-1,100.0,"[4, 0, 5, 9, 7, 7, 0, 4, 3, 0, 8, 9, 3, 2, 5, 2, 7, 6, 9, 3, 3, 2, 0, 9, 8]",0.10327482223510742,13,1,22.0,2,"[3, 1, 2, 8, 6, 6, 9, 8, 5, 5, 6, 1, 4, 7, 0, 4, 0, 5, 1, 8, 4, 1, 6, 7, 5]",2,0,3.1,0,6.490413675258599e-16,-5.3,0.0
0,21,1,5.3,400.0,400.0,10.0,1,100.0,"[3, 1, 5, 7, 1, 0, 7, 5, 3, 9, 6, 4, 1, 7, 2, 0, 4, 3, 9, 8, 5, 4, 6, 0, 3]",0.10326099395751953,13,1,22.0,2,"[0, 7, 8, 6, 3, 2, 1, 4, 6, 8, 9, 3, 0, 8, 5, 1, 7, 2, 8, 9, 2, 6, 5, 1, 7]",1,0,3.1,1,-1.4931825512595778,5.085312760156836,0.0
0,9,11,5.3,400.0,400.0,10.0,2,100.0,"[0, 1, 8, 7, 4, 9, 4, 4, 0, 1, 9, 7, 8, 0, 7, 3, 6, 1, 5, 0, 5, 3, 0, 6, 7]",0.10325193405151367,13,1,22.0,2,"[3, 5, 2, 9, 6, 5, 0, 5, 2, 3, 6, 8, 3, 2, 9, 9, 4, 8, 7, 2, 9, 2, 4, 8, 1]",2,0,3.1,-1,2.8653963325146665,-4.4586437240052605,0.0
0,14,16,5.3,400.0,400.0,10.0,-2,100.0,"[7, 3, 1, 5, 6, 0, 4, 1, 8, 6, 8, 9, 1, 4, 8, 2, 6, 4, 3, 6, 6, 2, 1, 0, 3]",0.10328912734985352,13,1,22.0,2,"[8, 0, 9, 4, 2, 5, 2, 7, 9, 3, 3, 7, 7, 9, 3, 5, 0, 7, 1, 5, 9, 5, 7, 4, 8]",2,0,3.1,-1,-4.005472744077568,-3.4707618899100114,0.0
0,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[3, 7, 2, 1, 9, 8, 0, 2, 3, 7, 2, 8, 6, 4, 9, 0, 5, 3, 4, 1, 7, 5, 3, 8, 4]",0.10326409339904785,13,1,22.0,1,"[8, 6, 4, 5, 0, 1, 4, 5, 6, 9, 3, 1, 7, 9, 1, 7, 6, 2, 8, 2, 6, 1, 2, 0, 9]",1,0,3.1,-2,-5.246053641968943,-0.7542686428484117,0.0
0,20,0,5.3,400.0,400.0,10.0,2,100.0,"[5, 9, 3, 0, 6, 4, 9, 3, 1, 7, 0, 9, 6, 3, 2, 8, 9, 6, 2, 0, 3, 8, 3, 8, 5]",0.1032869815826416,13,1,22.0,1,"[9, 2, 4, 8, 1, 0, 6, 8, 5, 2, 8, 5, 7, 4, 1, 7, 2, 5, 6, 1, 7, 4, 0, 9, 2]",2,0,3.1,2,-2.8653963325146705,4.458643724005258,0.0
0,1,3,5.3,400.0,400.0,10.0,1,100.0,"[3, 2, 1, 8, 8, 8, 6, 1, 9, 5, 3, 8, 4, 0, 2, 8, 9, 1, 0, 4, 6, 0, 2, 9, 0]",0.10329198837280273,13,1,22.0,1,"[4, 5, 9, 6, 1, 4, 2, 3, 7, 0, 6, 5, 7, 9, 1, 7, 6, 3, 5, 2, 1, 7, 7, 5, 3]",1,0,3.1,0,1.493182551259577,5.085312760156836,0.0
0,0,2,5.3,400.0,400.0,10.0,0,100.0,"[2, 4, 3, 3, 0, 5, 1, 7, 0, 4, 2, 0, 8, 5, 6, 6, 5, 2, 7, 0, 7, 9, 3, 0, 6]",0.1032721996307373,13,1,22.0,2,"[5, 6, 0, 8, 1, 3, 8, 6, 2, 9, 9, 4, 3, 1, 7, 8, 1, 3, 4, 9, 8, 1, 9, 1, 2]",1,0,3.1,0,0.0,5.3,0.0
0,4,6,5.3,400.0,400.0,10.0,2,100.0,"[1, 5, 9, 8, 6, 3, 5, 3, 2, 4, 7, 6, 4, 1, 5, 0, 6, 2, 7, 3, 8, 2, 4, 6, 7]",0.1034250259399414,13,1,22.0,1,"[8, 3, 7, 0, 2, 4, 1, 5, 9, 6, 9, 0, 2, 3, 8, 8, 1, 9, 5, 4, 5, 0, 1, 9, 3]",2,0,3.1,-2,4.821049575378947,2.201699568909998,0.0
