offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,18,20,5.3,400.0,400.0,10.0,0,100.0,"[3, 0, 4, 5, 1, 5, 6, 9, 4, 3, 4, 9, 0, 5, 1, 0, 5, 9, 4, 3, 2, 8, 5, 2, 7]",0.10306215286254883,11,0,22.0,2,"[9, 2, 8, 6, 7, 1, 0, 2, 7, 8, 7, 3, 2, 6, 8, 4, 0, 8, 7, 6, 1, 9, 3, 6, 1]",1,-12,3.1,0,-4.821049575378947,2.20169956891,0.0
0,0,2,5.3,400.0,400.0,10.0,-2,100.0,"[4, 5, 3, 2, 1, 4, 6, 1, 5, 8, 3, 4, 1, 5, 7, 2, 3, 1, 0, 6, 9, 1, 0, 6, 3]",0.10308980941772461,11,0,22.0,1,"[0, 2, 7, 5, 4, 0, 3, 2, 9, 7, 2, 8, 6, 9, 0, 7, 4, 5, 8, 9, 6, 8, 1, 5, 9]",2,-12,3.1,-2,0.0,5.3,0.0
0,2,4,5.3,400.0,400.0,10.0,0,100.0,"[6, 1, 7, 0, 8, 5, 0, 4, 6, 8, 6, 2, 4, 7, 3, 4, 1, 7, 0, 3, 3, 8, 6, 0, 2]",0.10306906700134277,11,0,22.0,2,"[5, 3, 4, 2, 9, 2, 1, 7, 9, 3, 9, 1, 5, 8, 0, 8, 9, 6, 2, 5, 9, 7, 4, 5, 1]",1,-12,3.1,0,2.865396332514667,4.4586437240052605,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,"[3, 8, 5, 6, 0, 2, 4, 1, 6, 7, 0, 7, 5, 4, 2, 9, 6, 3, 4, 0, 5, 2, 8, 4, 6]",0.10322093963623047,11,0,22.0,1,"[9, 2, 7, 4, 1, 3, 0, 5, 8, 9, 2, 1, 8, 6, 0, 3, 9, 8, 7, 1, 1, 7, 9, 0, 3]",2,-12,3.1,-2,-2.865396332514667,-4.4586437240052605,0.0
0,20,0,5.3,400.0,400.0,10.0,2,100.0,"[4, 5, 2, 8, 0, 4, 0, 6, 1, 9, 0, 1, 5, 7, 2, 4, 1, 3, 6, 8, 2, 0, 4, 3, 8]",0.10326099395751953,11,0,22.0,2,"[9, 9, 7, 3, 6, 7, 2, 5, 3, 8, 3, 9, 4, 8, 6, 6, 9, 2, 1, 5, 7, 3, 9, 7, 6]",1,-12,3.1,1,-2.8653963325146705,4.458643724005258,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,"[6, 4, 2, 4, 3, 9, 8, 4, 5, 1, 1, 5, 8, 0, 3, 9, 6, 4, 8, 0, 7, 0, 8, 6, 9]",0.10332894325256348,11,0,22.0,2,"[8, 9, 1, 0, 5, 6, 7, 0, 2, 3, 9, 4, 7, 2, 6, 5, 2, 3, 7, 1, 4, 5, 2, 1, 3]",2,-12,3.1,-1,4.821049575378947,2.201699568909998,0.0
0,1,3,5.3,400.0,400.0,10.0,0,100.0,"[8, 3, 4, 2, 7, 7, 4, 0, 3, 2, 9, 5, 0, 2, 3, 1, 9, 6, 8, 3, 3, 0, 1, 4, 6]",0.10320901870727539,11,0,22.0,2,"[1, 5, 9, 7, 8, 9, 1, 8, 6, 5, 7, 6, 8, 4, 1, 4, 2, 0, 5, 7, 9, 6, 7, 2, 5]",1,-12,3.1,-2,1.493182551259577,5.085312760156836,0.0
0,18,20,5.3,400.0,400.0,10.0,0,100.0,"[4, 5, 2, 6, 1, 5, 2, 4, 6, 1, 2, 5, 0, 8, 7, 9, 6, 0, 2, 4, 5, 4, 2, 1, 6]",0.10321187973022461,11,0,22.0,2,"[0, 3, 9, 8, 7, 9, 3, 7, 8, 0, 4, 1, 3, 6, 9, 2, 8, 1, 9, 7, 3, 9, 5, 3, 8]",1,-12,3.1,1,-4.821049575378947,2.20169956891,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,"[3, 0, 9, 4, 5, 1, 1, 4, 6, 7, 1, 0, 8, 3, 2, 8, 3, 9, 2, 0, 9, 0, 7, 1, 6]",0.10326290130615234,11,0,22.0,2,"[6, 8, 3, 6, 7, 2, 5, 2, 3, 8, 6, 5, 7, 9, 4, 6, 1, 7, 4, 5, 5, 4, 8, 2, 3]",1,-12,3.1,0,4.005472744077569,3.470761889910011,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,"[6, 4, 0, 8, 2, 7, 9, 3, 0, 6, 4, 5, 2, 8, 9, 7, 5, 0, 9, 4, 0, 5, 6, 3, 2]",0.10326695442199707,11,0,22.0,2,"[7, 1, 3, 9, 5, 6, 4, 5, 8, 1, 1, 7, 6, 0, 3, 1, 3, 2, 8, 6, 7, 4, 9, 8, 1]",1,-12,3.1,0,4.005472744077569,3.470761889910011,0.0
