offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,16,18,5.3,400.0,400.0,10.0,-1,100.0,"[2, 3, 0, 1, 5, 3, 2, 6, 0, 9, 3, 5, 2, 0, 8, 9, 6, 7, 1, 2, 7, 5, 4, 9, 2]",0.10327792167663574,6,0,22.0,2,"[9, 6, 7, 4, 8, 4, 5, 8, 1, 7, 9, 1, 8, 6, 5, 4, 3, 2, 0, 0, 1, 0, 8, 3, 6]",1,-9,3.1,-1,-5.246053641968943,-0.7542686428484117,0.0
0,7,9,5.3,400.0,400.0,10.0,2,100.0,"[1, 8, 5, 9, 3, 2, 3, 8, 4, 5, 7, 4, 8, 6, 9, 7, 4, 3, 0, 5, 2, 8, 4, 7, 3]",0.10353493690490723,6,0,22.0,1,"[0, 6, 7, 4, 2, 1, 0, 6, 7, 9, 3, 5, 2, 1, 0, 1, 2, 9, 8, 6, 9, 0, 5, 6, 1]",1,-9,3.1,0,4.8210495753789475,-2.2016995689099974,0.0
0,9,11,5.3,400.0,400.0,10.0,1,100.0,"[8, 2, 5, 1, 3, 9, 4, 5, 8, 7, 1, 9, 4, 3, 7, 0, 8, 3, 7, 2, 5, 6, 9, 4, 2]",0.10338997840881348,6,0,22.0,1,"[9, 7, 4, 6, 0, 6, 2, 6, 4, 3, 2, 0, 1, 0, 2, 9, 4, 6, 5, 1, 1, 7, 3, 0, 8]",2,-9,3.1,0,2.8653963325146665,-4.4586437240052605,0.0
0,13,15,5.3,400.0,400.0,10.0,-1,100.0,"[6, 0, 3, 9, 7, 1, 9, 0, 2, 6, 8, 7, 4, 8, 5, 1, 7, 9, 6, 4, 3, 8, 7, 4, 6]",0.10329103469848633,6,0,22.0,1,"[5, 8, 2, 4, 1, 5, 4, 3, 7, 8, 0, 2, 6, 3, 0, 9, 5, 2, 3, 1, 9, 1, 2, 0, 5]",2,-9,3.1,0,-2.865396332514667,-4.4586437240052605,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,"[2, 4, 5, 3, 7, 2, 8, 9, 2, 5, 0, 9, 1, 3, 8, 4, 9, 1, 7, 0, 1, 2, 3, 9, 8]",0.1032569408416748,6,0,22.0,2,"[5, 6, 1, 8, 0, 9, 3, 4, 1, 0, 5, 2, 6, 7, 4, 8, 2, 6, 5, 3, 0, 5, 4, 7, 6]",2,-9,3.1,-1,4.005472744077569,3.470761889910011,0.0
0,15,17,5.3,400.0,400.0,10.0,-1,100.0,"[4, 3, 9, 2, 8, 0, 7, 5, 8, 6, 2, 4, 0, 7, 8, 5, 0, 2, 1, 0, 0, 7, 4, 8, 9]",0.10323810577392578,6,0,22.0,1,"[7, 0, 5, 6, 1, 4, 3, 2, 1, 9, 1, 5, 7, 6, 4, 3, 1, 9, 5, 6, 5, 2, 1, 3, 6]",2,-9,3.1,-1,-4.821049575378945,-2.201699568910002,0.0
0,7,9,5.3,400.0,400.0,10.0,0,100.0,"[0, 6, 3, 1, 8, 8, 3, 4, 1, 5, 2, 7, 3, 6, 5, 6, 0, 2, 7, 9, 9, 0, 3, 7, 2]",0.10323500633239746,6,0,22.0,1,"[9, 2, 4, 5, 7, 9, 6, 2, 0, 7, 0, 9, 8, 4, 1, 5, 1, 8, 3, 4, 6, 4, 5, 1, 8]",2,-9,3.1,0,4.8210495753789475,-2.2016995689099974,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,"[5, 3, 0, 1, 7, 1, 8, 0, 5, 9, 5, 4, 8, 9, 6, 5, 1, 7, 3, 6, 3, 1, 4, 0, 8]",0.10326194763183594,6,0,22.0,1,"[8, 6, 9, 4, 2, 4, 2, 3, 6, 7, 2, 1, 3, 0, 7, 2, 9, 8, 0, 4, 6, 9, 5, 2, 7]",2,-9,3.1,0,-5.246053641968944,0.7542686428484098,0.0
0,8,10,5.3,400.0,400.0,10.0,-2,100.0,"[6, 4, 2, 0, 3, 9, 0, 5, 1, 7, 2, 5, 3, 9, 1, 9, 0, 8, 6, 2, 2, 1, 5, 4, 7]",0.10329604148864746,6,0,22.0,1,"[5, 1, 8, 7, 9, 8, 9, 4, 8, 3, 6, 0, 2, 6, 7, 1, 3, 5, 7, 4, 3, 0, 9, 6, 8]",2,-9,3.1,1,4.005472744077569,-3.47076188991001,0.0
0,10,12,5.3,400.0,400.0,10.0,-1,100.0,"[4, 3, 7, 6, 2, 4, 6, 3, 1, 0, 3, 7, 9, 8, 5, 3, 0, 6, 5, 2, 8, 4, 7, 3, 5]",0.10309791564941406,6,0,22.0,1,"[0, 8, 1, 9, 5, 9, 8, 1, 8, 5, 2, 6, 4, 6, 2, 7, 4, 9, 8, 1, 0, 1, 2, 9, 6]",2,-9,3.1,-1,1.4931825512595793,-5.085312760156835,0.0
