offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,vComp,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,hComp,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,20,0,5.3,400.0,400.0,10.0,-1,100.0,"[4, 3, 1, 4, 9, 1, 2, 6, 0, 5, 7, 4, 9, 3, 8, 9, 2, 6, 6, 7, 1, 5, 7, 6, 2]",0.1108400821685791,-1,1,22.0,2,"[3, 7, 5, 6, 0, 9, 7, 4, 8, 3, 1, 2, 0, 5, 6, 0, 1, 3, 9, 2, 8, 0, 9, 4, 5]",1,0,3.1,0,-2.8653963325146705,4.458643724005258,0.0
0,19,21,5.3,400.0,400.0,10.0,1,100.0,"[0, 2, 3, 5, 8, 5, 2, 6, 4, 0, 3, 5, 2, 7, 0, 8, 4, 1, 8, 2, 9, 0, 1, 7, 2]",0.11162996292114258,-1,1,22.0,1,"[1, 4, 7, 9, 6, 9, 7, 1, 3, 8, 1, 6, 4, 9, 8, 1, 3, 3, 7, 4, 6, 5, 9, 8, 6]",1,0,3.1,-2,-4.005472744077568,3.470761889910012,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,"[8, 0, 6, 2, 4, 3, 9, 8, 9, 7, 4, 0, 9, 7, 2, 0, 2, 9, 4, 5, 7, 3, 1, 2, 8]",0.11186504364013672,-1,1,22.0,1,"[2, 5, 4, 6, 0, 5, 7, 1, 5, 0, 1, 3, 5, 6, 8, 8, 6, 7, 1, 3, 5, 6, 0, 9, 4]",1,0,3.1,2,5.246053641968943,0.7542686428484122,0.0
0,0,2,5.3,400.0,400.0,10.0,0,100.0,"[1, 2, 6, 2, 7, 0, 4, 5, 3, 6, 4, 0, 9, 5, 1, 8, 4, 7, 9, 6, 9, 5, 5, 9, 6]",0.11265993118286133,-1,1,22.0,1,"[4, 0, 7, 5, 4, 2, 9, 1, 8, 7, 7, 8, 2, 3, 6, 0, 5, 2, 1, 3, 3, 8, 0, 8, 4]",1,0,3.1,1,0.0,5.3,0.0
0,3,5,5.3,400.0,400.0,10.0,-2,100.0,"[0, 7, 1, 6, 5, 3, 3, 6, 0, 8, 4, 6, 0, 3, 2, 6, 3, 2, 0, 8, 7, 1, 3, 6, 4]",0.11243295669555664,-1,1,22.0,1,"[2, 8, 2, 0, 9, 4, 7, 2, 5, 4, 1, 9, 8, 5, 7, 7, 5, 4, 9, 1, 9, 5, 2, 0, 8]",1,0,3.1,1,4.005472744077569,3.470761889910011,0.0
0,14,16,5.3,400.0,400.0,10.0,0,100.0,"[9, 8, 5, 7, 0, 7, 6, 4, 2, 3, 6, 0, 7, 8, 1, 6, 5, 6, 5, 1, 6, 5, 9, 4, 1]",0.11210393905639648,-1,1,22.0,2,"[2, 4, 6, 1, 3, 0, 8, 9, 1, 5, 4, 5, 4, 9, 2, 3, 0, 2, 9, 3, 0, 3, 8, 2, 7]",1,0,3.1,-2,-4.005472744077568,-3.4707618899100114,0.0
0,11,13,5.3,400.0,400.0,10.0,-2,100.0,"[9, 7, 6, 3, 5, 1, 7, 3, 0, 0, 1, 4, 5, 9, 9, 7, 8, 3, 6, 4, 8, 0, 4, 7, 5]",0.1125800609588623,-1,1,22.0,2,"[4, 8, 1, 2, 0, 5, 2, 6, 8, 7, 6, 8, 2, 3, 3, 0, 1, 9, 5, 2, 1, 2, 3, 9, 6]",2,0,3.1,2,6.490628035480972e-16,-5.3,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,"[5, 2, 0, 7, 8, 9, 5, 1, 1, 0, 8, 3, 5, 7, 1, 7, 3, 2, 5, 4, 3, 8, 6, 7, 0]",0.11228799819946289,-1,1,22.0,1,"[8, 9, 1, 3, 0, 4, 2, 6, 9, 4, 0, 6, 4, 2, 9, 8, 0, 9, 6, 1, 5, 2, 1, 9, 4]",2,0,3.1,2,5.246053641968943,0.7542686428484122,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,"[6, 9, 4, 2, 0, 8, 5, 2, 7, 8, 1, 5, 3, 2, 9, 6, 1, 7, 4, 5, 6, 1, 8, 0, 2]",0.11085391044616699,-1,1,22.0,2,"[8, 7, 1, 3, 5, 0, 3, 4, 9, 0, 2, 6, 4, 3, 1, 9, 2, 8, 3, 0, 4, 5, 9, 3, 7]",2,0,3.1,-1,1.4931825512595793,-5.085312760156835,0.0
0,20,0,5.3,400.0,400.0,10.0,-2,100.0,"[7, 5, 1, 2, 8, 9, 1, 7, 4, 6, 5, 4, 8, 1, 6, 0, 1, 8, 0, 1, 6, 5, 4, 0, 8]",0.11212992668151855,-1,1,22.0,2,"[4, 7, 4, 6, 9, 5, 3, 2, 0, 8, 7, 9, 2, 0, 3, 2, 7, 6, 3, 9, 2, 8, 6, 7, 3]",1,0,3.1,1,-2.8653963325146705,4.458643724005258,0.0
