cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,10,0,0.0998809337616,1,94.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100053071976,0,94.0,2,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100047111511,2,94.0,2,3,4.00547274408,3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,2,0.0999870300293,-1,94.0,2,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-2,0.0999569892883,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,0.100128173828,-1,94.0,2,5,5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-2,0.10027718544,-1,94.0,1,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100166082382,1,94.0,1,21,-1.49318255126,5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,0.100122928619,-2,94.0,1,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,2,0.100055932999,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100069046021,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,2,0.100169897079,0,94.0,2,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.0997531414032,2,94.0,1,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100121021271,-1,94.0,2,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.0999019145966,1,94.0,1,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,1,0.0998678207397,2,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-1,0.100296020508,-2,94.0,1,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100087881088,-2,94.0,1,1,1.49318255126,5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100121021271,-1,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-2,0.100062847137,2,94.0,1,12,-1.49318255126,-5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.0998640060425,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100018024445,0,94.0,1,8,4.00547274408,-3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100063800812,0,94.0,1,21,-1.49318255126,5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100074052811,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-2,0.100091934204,-2,94.0,2,4,4.82104957538,2.20169956891,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,0.10014796257,-1,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-1,0.100114107132,-1,94.0,1,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,0.100113153458,-1,94.0,2,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100114107132,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.0999779701233,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-2,0.0997581481934,-2,94.0,1,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.100158929825,1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,1,0.0998339653015,1,94.0,1,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,0.100101947784,-1,94.0,2,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100409984589,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100104093552,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.10009098053,-1,94.0,2,5,5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,1,0.10004901886,1,94.0,2,21,-1.49318255126,5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-2,0.100142002106,-2,94.0,2,5,5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100108146667,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,0,0.100172996521,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100089073181,0,94.0,2,21,-1.49318255126,5.08531276016,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-2,0.100083112717,-2,94.0,2,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100116968155,0,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,400.0
3.1,0.0,1,400.0,22.0,10,-1,0.100118875504,-1,94.0,1,5,5.24605364197,0.754268642848,5.3,5,8,8,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,0.100066900253,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,400.0
