cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,10,0,0.0970129966736,-2,94.0,2,8,4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0970258712769,1,94.0,2,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0972018241882,-2,94.0,2,1,1.49318255126,5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0970420837402,-2,94.0,1,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0972039699554,-1,94.0,2,1,1.49318255126,5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0970830917358,2,94.0,2,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.097207069397,-2,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.097179889679,-1,94.0,2,4,4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0971839427948,0,94.0,2,12,-1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0970571041107,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971901416779,-2,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0970468521118,2,94.0,2,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972139835358,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0969989299774,0,94.0,1,3,4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972089767456,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0972099304199,-1,94.0,1,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0969948768616,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0972061157227,1,94.0,2,8,4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0970730781555,1,94.0,2,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971360206604,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0972170829773,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971829891205,0,94.0,1,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0970809459686,1,94.0,2,21,-1.49318255126,5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0972080230713,1,94.0,1,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971779823303,0,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.097179889679,-1,94.0,1,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0970149040222,1,94.0,1,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-2,0.0971760749817,1,94.0,1,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971760749817,0,94.0,2,4,4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0971829891205,1,94.0,2,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972039699554,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-2,0.0971169471741,-2,94.0,1,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971760749817,0,94.0,1,4,4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-2,0.0971620082855,-2,94.0,1,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972080230713,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-2,0.0970048904419,-2,94.0,1,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0970408916473,0,94.0,1,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0972170829773,-1,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972280502319,0,94.0,1,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0972111225128,-1,94.0,1,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0972051620483,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972020626068,0,94.0,1,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972058773041,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-2,0.0972080230713,-2,94.0,2,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971820354462,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971629619598,0,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0970690250397,1,94.0,1,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971870422363,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0971839427948,1,94.0,2,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0972118377686,0,94.0,2,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971708297729,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0971620082855,-1,94.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971741676331,0,94.0,1,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0971789360046,1,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.097195148468,1,94.0,2,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,2,0.0971658229828,2,94.0,2,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0970571041107,1,94.0,1,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.0972280502319,-1,94.0,1,19,-4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971930027008,0,94.0,1,12,-1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0970530509949,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.097039937973,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.097188949585,0,94.0,2,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0970311164856,0,94.0,1,11,6.49041367526e-16,-5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0972039699554,1,94.0,2,12,-1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0970139503479,1,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972998142242,0,94.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0972049236298,-1,94.0,2,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.0972018241882,1,94.0,1,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972018241882,0,94.0,1,12,-1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972020626068,0,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971779823303,0,94.0,1,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0970940589905,0,94.0,2,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,2,0.0972020626068,0,94.0,2,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0971729755402,1,94.0,2,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971670150757,0,94.0,2,17,-5.24605364197,0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-2,0.0971670150757,-2,94.0,2,8,4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0971670150757,-1,94.0,2,10,1.49318255126,-5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0971901416779,-2,94.0,1,1,1.49318255126,5.08531276016,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.097069978714,1,94.0,1,4,4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971739292145,0,94.0,1,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-2,0.0970711708069,-2,94.0,1,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971879959106,0,94.0,2,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0971739292145,-1,94.0,2,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.097058057785,0,94.0,1,14,-4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,-1,0.097058057785,-1,94.0,1,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0972008705139,0,94.0,2,9,2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0973489284515,0,94.0,2,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0971839427948,0,94.0,2,16,-5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0969979763031,1,94.0,2,18,-4.82104957538,2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,2,0.0972139835358,2,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.0972039699554,0,94.0,2,0,0.0,5.3,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,1,0.097039937973,1,94.0,1,3,4.00547274408,3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972208976746,0,94.0,1,5,5.24605364197,0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0972030162811,0,94.0,1,15,-4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0970900058746,0,94.0,1,6,5.24605364197,-0.754268642848,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0972120761871,-1,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,0,0.097198009491,0,94.0,2,7,4.82104957538,-2.20169956891,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,1,0.0971748828888,1,94.0,2,13,-2.86539633251,-4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971958637238,0,94.0,1,20,-2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
3.1,0.0,2,400.0,22.0,10,-1,0.0971801280975,-1,94.0,2,8,4.00547274408,-3.47076188991,5.3,5,8,8,5.0,300.0
3.1,0.0,1,400.0,22.0,10,0,0.0971839427948,-2,94.0,2,2,2.86539633251,4.45864372401,5.3,5,8,8,5.0,300.0
